Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"LGA10050",46285,
"LGA10110",23369,
"LGA10150",39670,
"LGA10200",64960,
"LGA10250",38462,
"LGA10300",2442,
"LGA10350",170488,
"LGA10470",35845,
"LGA10500",159393,
"LGA10550",31061,
"LGA10600",12417,
"LGA10650",7993,
"LGA10750",271712,
"LGA10800",6098,
"LGA10850",6594,
"LGA10900",74064,
"LGA10950",2879,
"LGA11000",2538,
"LGA11050",2292,
"LGA11100",35994,
"LGA11150",3094,
"LGA11200",1943,
"LGA11250",19366,
"LGA11300",30924,
"LGA11350",28765,
"LGA11400",12396,
"LGA11450",49645,
"LGA11500",143075,
"LGA11520",65746,
"LGA11550",129962,
"LGA11600",2817,
"LGA11700",1939,
"LGA11720",46209,
"LGA11730",48148,
"LGA11750",4915,
"LGA11800",64913,
"LGA11860",1675,
"LGA12000",4032,
"LGA12050",9728,
"LGA12150",4212,
"LGA12200",7317,
"LGA12300",10978,
"LGA12350",12478,
"LGA12500",7433,
"LGA12600",37845,
"LGA12700",8060,
"LGA12750",35013,
"LGA12850",179892,
"LGA12900",9361,
"LGA12950",4519,
"LGA13010",8782,
"LGA13050",4800,
"LGA13100",158157,
"LGA13310",26084,
"LGA13350",45146,
"LGA13370",9727,
"LGA13400",32760,
"LGA13450",23798,
"LGA13500",3697,
"LGA13550",11524,
"LGA13650",4230,
"LGA13660",5310,
"LGA13700",3586,
"LGA13750",68434,
"LGA13800",60557,
"LGA13850",3379,
"LGA13950",89764,
"LGA14000",151328,
"LGA14100",13242,
"LGA14150",73727,
"LGA14200",15505,
"LGA14250",1643,
"LGA14300",5777,
"LGA14350",27385,
"LGA14400",18983,
"LGA14450",52536,
"LGA14500",101082,
"LGA14550",9257,
"LGA14600",6672,
"LGA14650",183142,
"LGA14700",30427,
"LGA14750",11109,
"LGA14800",48777,
"LGA14850",42209,
"LGA14870",19760,
"LGA14900",164601,
"LGA14920",7537,
"LGA14950",3182,
"LGA15050",61883,
"LGA15150",37114,
"LGA15200",71818,
"LGA15270",21088,
"LGA15300",13973,
"LGA15350",26237,
"LGA15500",6414,
"LGA15550",2503,
"LGA15650",15236,
"LGA15700",17894,
"LGA15750",13113,
"LGA15800",6011,
"LGA15850",6511,
"LGA15900",141754,
"LGA15950",58260,
"LGA16100",5029,
"LGA16150",35338,
"LGA16180",12313,
"LGA16200",14284,
"LGA16250",148323,
"LGA16350",172141,
"LGA16370",54158,
"LGA16400",60485,
"LGA16470",35969,
"LGA16550",119882,
"LGA16610",21314,
"LGA16650",92122,
"LGA16700",96951,
"LGA16900",60335,
"LGA16950",88406,
"LGA17000",21937,
"LGA17050",7188,
"LGA17100",31980,
"LGA17150",205449,
"LGA17200",156572,
