Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"Albury (C)",46285,
"Armidale Dumaresq (A)",23369,
"Ashfield (A)",39670,
"Auburn (A)",64960,
"Ballina (A)",38462,
"Balranald (A)",2442,
"Bankstown (C)",170488,
"Bathurst Regional (A)",35845,
"Baulkham Hills (A)",159393,
"Bega Valley (A)",31061,
"Bellingen (A)",12417,
"Berrigan (A)",7993,
"Blacktown (C)",271712,
"Bland (A)",6098,
"Blayney (A)",6594,
"Blue Mountains (C)",74064,
"Bogan (A)",2879,
"Bombala (A)",2538,
"Boorowa (A)",2292,
"Botany Bay (C)",35994,
"Bourke (A)",3094,
"Brewarrina (A)",1943,
"Broken Hill (C)",19366,
"Burwood (A)",30924,
"Byron (A)",28765,
"Cabonne (A)",12396,
"Camden (A)",49645,
"Campbelltown (C) - NSW",143075,
"Canada Bay (A)",65746,
"Canterbury (C)",129962,
"Carrathool (A)",2817,
"Central Darling (A)",1939,
"Cessnock (C)",46209,
"Clarence Valley (A)",48148,
"Cobar (A)",4915,
"Coffs Harbour (C)",64913,
"Conargo (A)",1675,
"Coolamon (A)",4032,
"Cooma-Monaro (A)",9728,
"Coonamble (A)",4212,
"Cootamundra (A)",7317,
"Corowa Shire (A)",10978,
"Cowra (A)",12478,
"Deniliquin (A)",7433,
"Dubbo (C)",37845,
"Dungog (A)",8060,
"Eurobodalla (A)",35013,
"Fairfield (C)",179892,
"Forbes (A)",9361,
"Gilgandra (A)",4519,
"Glen Innes Severn (A)",8782,
"Gloucester (A)",4800,
"Gosford (C)",158157,
"Goulburn Mulwaree (A)",26084,
"Greater Taree (C)",45146,
"Greater Hume Shire (A)",9727,
"Great Lakes (A)",32760,
"Griffith (C)",23798,
"Gundagai (A)",3697,
"Gunnedah (A)",11524,
"Guyra (A)",4230,
"Gwydir (A)",5310,
"Harden (A)",3586,
"Hastings (A)",68434,
"Hawkesbury (C)",60557,
