Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Division (SD)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Division (SD)",
"105",4119190,
"110",589240,
"115",394210,
"120",219328,
"125",284674,
"130",172396,
"135",111231,
"140",170897,
"145",197942,
"150",147292,
"155",110523,
"160",22030,
"185",50,
"199",10175,
"205",3592592,
"210",259012,
"215",98854,
"220",142218,
"225",48441,
"230",88601,
"235",168843,
"240",195239,
"245",92587,
"250",80117,
"255",159483,
"285",51,
"299",6394,
"305",1763133,
"307",482318,
"309",276263,
"312",68630,
"315",254658,
"320",213756,
"325",24778,
"330",188405,
"335",10851,
"340",150171,
"345",196672,
"350",231049,
"355",30938,
"385",99,
"399",12806,
"405",1105839,
"410",123700,
"415",43878,
"420",66805,
"425",62218,
"430",33343,
"435",75927,
"485",6,
"499",2618,
"505",1445077,
"510",207343,
"515",52592,
"520",17713,
"525",50411,
"530",51894,
"535",57428,
"540",41003,
"545",29297,
"585",339,
"599",5986,
"605",200523,
"610",34927,
"615",133930,
"620",106131,
"685",89,
"699",872,
"705",105992,
"710",84910,
"785",94,
"799",1901,
"805",323056,
"810",272,
"899",709,
"910",2290,
"985",0,
"999",25,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
