Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"105051100",35994,
"105054800",48777,
"105055200",71818,
"105057201",21987,
"105057204",46742,
"105057205",49458,
"105057206",38386,
"105106550",119882,
"105108050",60713,
"105108500",50162,
"105154150",73727,
"105154450",52536,
"105156650",92122,
"105157151",97427,
"105157152",108026,
"105200351",56399,
"105200353",62356,
"105200355",51733,
"105201550",129962,
"105252851",110300,
"105252854",69591,
"105254901",96498,
"105254904",68106,
"105301450",49645,
"105301501",74762,
"105301504",68309,
"105308400",40344,
"105350150",39670,
"105351300",30924,
"105351521",31160,
"105351524",34583,
"105357100",31980,
"105400200",64960,
"105403950",89764,
"105406251",40493,
"105406252",42381,
"105406253",33947,
"105406254",31505,
"105450900",74064,
"105453800",60557,
"105456351",93200,
"105456354",78941,
"105530751",87424,
"105530752",90620,
"105530753",93665,
"105554100",13242,
"105554700",30427,
"105555350",26237,
"105555950",58260,
"105556700",96951,
"105558250",63604,
"105600501",68336,
"105600503",50771,
"105600505",40281,
"105604001",65380,
"105604004",85946,
"105604500",101082,
"105655150",37114,
"105656370",54158,
"105658000",133837,
"105703101",65338,
"105703104",92819,
"105708551",72187,
"105708554",67614,
"110051720",46209,
"110054651",59794,
"110054653",72248,
"110054655",51103,
"110055050",61883,
"110055903",48065,
"110055904",42177,
"110055905",51513,
"110056400",60485,
"110102700",8060,
"110103050",4800,
"110103400",32760,
"110105650",15236,
"110107000",21937,
"110107620",12974,
"115054400",18983,
"115056900",60335,
"115058451",93847,
"115058454",90362,
"115076951",30953,
"115106952",57451,
"115108350",42272,
"120057554",50451,
"120057556",8901,
"120074851",30091,
"120100250",38462,
"120101350",28765,
"120104550",9257,
"120104854",12120,
"120106611",10503,
"120106612",10809,
"120107558",19972,
"125011801",47709,
"125033751",39509,
"125050600",12417,
"125051736",19425,
"125051737",22813,
"125051738",5909,
"125051804",17199,
"125055700",17894,
"125103350",45146,
"125103754",28921,
"125104350",27385,
"125108859",345,
"130057311",42496,
"130103550",11524,
"130103660",5310,
"130104201",4611,
"130104920",7537,
"130107314",11092,
"130150111",19483,
"130150112",3883,
"130153010",8782,
"130153650",4230,
"130154202",10893,
"130157400",6536,
"130157650",5737,
"130157850",3188,
"130205300",13973,
"130205750",13113,
"135012601",34316,
"135052604",3526,
"135052950",4519,
"135055271",17676,
"135055850",6511,
"135058020",9808,
"135058150",8122,
"135100950",2879,
"135102150",4212,
"135107900",6942,
"135107950",2748,
"135151150",3094,
"135151200",1943,
"135151750",4915,
"140030471",30747,
"140070473",5099,
"140070850",6594,
"140071400",12396,
"140074870",19760,
"140075274",3406,
"140076100",5029,
"140150800",6098,
"140152350",12478,
"140152900",9361,
"140154600",6672,
"140156200",14284,
"140158100",3636,
"140206150",35338,
"145056181",9102,
"145056470",35969,
"145101050",2292,
"145103311",20130,
"145103314",5961,
"145103700",3586,
"145106184",3217,
"145107640",7053,
"145108710",13133,
"145108750",11981,
"145150550",31061,
"145152750",35013,
"145201000",2538,
"145202050",9728,
"145207050",7188,
"150057751",52493,
"150102000",4032,
"150102200",7317,
"150103500",3697,
"150104300",5777,
"150104950",3182,
"150105800",6011,
"150107350",5857,
"150107500",10798,
"150107754",4523,
"150151600",2817,
"150153450",23798,
"150153850",3379,
"150154750",11109,
"150155550",2503,
"155050050",46285,
"155053371",3439,
"155102300",10978,
"155103374",6287,
"155107450",3534,
"155107700",1258,
"155150650",7993,
"155151860",1675,
"155152500",7433,
"155154250",1643,
"155155500",6414,
"155157800",4365,
"155200300",2442,
"155208200",6778,
"160101250",19366,
"160101700",1939,
"160108809",727,
"185019779",50,
"199999499",10175,
"205054601",11591,
"205054605",13306,
"205054608",46481,
"205055901",49800,
"205055902",35300,
"205056351",45159,
"205057351",44749,
"205057352",24585,
"205101181",86993,
"205101182",81225,
"205103111",52109,
"205103112",29353,
"205104330",63143,
"205105063",66876,
"205105065",40219,
"205204651",39482,
"205204654",39429,
"205207261",75386,
"205207264",16013,
"205207267",21295,
"205255251",41195,
"205255252",47861,
"205255253",46704,
"205300661",61558,
"205300662",53312,
"205301891",45907,
"205301892",82158,
"205353271",61692,
"205353274",53793,
"205353275",32300,
"205405713",27369,
"205405715",23193,
"205405718",9226,
"205407071",23508,
"205407075",42509,
"205407076",58631,
"205451111",43340,
"205451112",48969,
"205451113",33492,
"205451114",28656,
"205504211",15027,
"205504214",94890,
"205504971",43311,
"205504974",55713,
"205504975",62219,
"205506981",51056,
"205506984",44070,
"205506985",49643,
"205553672",61927,
"205553673",44746,
"205553674",40067,
"205554411",57713,
"205554412",41489,
"205607451",14823,
"205607452",29400,
"205607453",67601,
"205607454",12562,
"205607456",15246,
"205650911",35413,
"205650912",52528,
"205652311",76270,
"205652314",47811,
"205653431",89420,
"205653434",45203,
"205656352",44728,
"205752671",54847,
"205752674",70673,
"205801452",24038,
"205801453",27787,
"205801454",5287,
"205801612",87766,
"205801613",63913,
"205801616",49708,
"205801618",13566,
"205852171",43739,
"205852174",74060,
"205905341",36699,
"205905344",47118,
"205905345",52666,
"210052751",23248,
"210052752",54917,
"210052753",11366,
"210052754",13662,
"210052755",9578,
"210052756",48219,
"210102757",33529,
"210106080",3018,
"210106493",13198,
"210106495",8575,
"210151751",10860,
"210151754",6062,
"210151755",3371,
"210152491",7443,
"210152492",9015,
"210152758",2955,
"215016730",30394,
"215051831",9203,
"215051832",7412,
"215055491",2402,
"215055493",2782,
"215055496",10264,
"215058469",0,
"215102411",6054,
"215102412",3332,
"215102413",10369,
"215106261",9116,
"215106264",2320,
"215106265",5205,
"220050571",32888,
"220050572",28888,
"220050573",986,
"220050574",22435,
"220102911",7228,
"220102912",6507,
"220105151",15972,
"220105154",5988,
"220105155",3517,
"220150260",11256,
"220155991",3291,
"220155994",3265,
"225053191",13481,
"225053194",5014,
"225055811",3413,
"225055814",8496,
"225056890",4472,
"225102980",6040,
"225107631",1983,
"225107632",5540,
"230054781",46036,
"230101271",3354,
"230101272",3498,
"230104782",3785,
"230152250",11295,
"230156611",9685,
"230156614",3963,
"230156616",6985,
"235052621",17781,
"235052622",8629,
