Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"Botany Bay (C)",35994,
"Leichhardt (A)",48777,
"Marrickville (A)",71818,
"Sydney (C) - Inner",21987,
"Sydney (C) - East",46742,
"Sydney (C) - South",49458,
"Sydney (C) - West",38386,
"Randwick (C)",119882,
"Waverley (A)",60713,
"Woollahra (A)",50162,
"Hurstville (C)",73727,
"Kogarah (A)",52536,
"Rockdale (C)",92122,
"Sutherland Shire (A) - East",97427,
"Sutherland Shire (A) - West",108026,
"Bankstown (C) - North-East",56399,
"Bankstown (C) - North-West",62356,
"Bankstown (C) - South",51733,
"Canterbury (C)",129962,
"Fairfield (C) - East",110300,
"Fairfield (C) - West",69591,
"Liverpool (C) - East",96498,
"Liverpool (C) - West",68106,
"Camden (A)",49645,
"Campbelltown (C) - North",74762,
"Campbelltown (C) - South",68309,
"Wollondilly (A)",40344,
"Ashfield (A)",39670,
"Burwood (A)",30924,
"Canada Bay (A) - Concord",31160,
"Canada Bay (A) - Drummoyne",34583,
"Strathfield (A)",31980,
"Auburn (A)",64960,
"Holroyd (C)",89764,
"Parramatta (C) - Inner",40493,
"Parramatta (C) - North-East",42381,
"Parramatta (C) - North-West",33947,
"Parramatta (C) - South",31505,
"Blue Mountains (C)",74064,
"Hawkesbury (C)",60557,
"Penrith (C) - East",93200,
"Penrith (C) - West",78941,
"Blacktown (C) - North",87424,
"Blacktown (C) - South-East",90620,
"Blacktown (C) - South-West",93665,
"Hunter's Hill (A)",13242,
"Lane Cove (A)",30427,
"Mosman (A)",26237,
"North Sydney (A)",58260,
"Ryde (C)",96951,
"Willoughby (C)",63604,
"Baulkham Hills (A) - Central",68336,
"Baulkham Hills (A) - North",50771,
"Baulkham Hills (A) - South",40281,
"Hornsby (A) - North",65380,
"Hornsby (A) - South",85946,
"Ku-ring-gai (A)",101082,
"Manly (A)",37114,
"Pittwater (A)",54158,
"Warringah (A)",133837,
"Gosford (C) - East",65338,
"Gosford (C) - West",92819,
"Wyong (A) - North-East",72187,
"Wyong (A) - South and West",67614,
"Cessnock (C)",46209,
"Lake Macquarie (C) - East",59794,
"Lake Macquarie (C) - North",72248,
"Lake Macquarie (C) - West",51103,
"Maitland (C)",61883,
"Newcastle (C) - Inner City",48065,
"Newcastle (C) - Outer West",42177,
"Newcastle (C) - Throsby",51513,
"Port Stephens (A)",60485,
"Dungog (A)",8060,
"Gloucester (A)",4800,
"Great Lakes (A)",32760,
"Muswellbrook (A)",15236,
"Singleton (A)",21937,
"Upper Hunter Shire (A)",12974,
"Kiama (A)",18983,
"Shellharbour (C)",60335,
"Wollongong (C) - Inner",93847,
"Wollongong (C) Bal",90362,
"Shoalhaven (C) - Pt A",30953,
"Shoalhaven (C) - Pt B",57451,
"Wingecarribee (A)",42272,
"Tweed (A) - Tweed-Heads",50451,
"Tweed (A) - Tweed Coast",8901,
"Lismore (C) - Pt A",30091,
"Ballina (A)",38462,
"Byron (A)",28765,
"Kyogle (A)",9257,
"Lismore (C) - Pt B",12120,
"Richmond Valley (A) - Casino",10503,
"Richmond Valley (A) Bal",10809,
"Tweed (A) - Pt B",19972,
"Coffs Harbour (C) - Pt A",47709,
"Hastings (A) - Pt A",39509,
"Bellingen (A)",12417,
"Clarence Valley (A) - Coast",19425,
"Clarence Valley (A) - Grafton",22813,
"Clarence Valley (A) Bal",5909,
"Coffs Harbour (C) - Pt B",17199,
"Nambucca (A)",17894,
"Greater Taree (C)",45146,
"Hastings (A) - Pt B",28921,
"Kempsey (A)",27385,
"Lord Howe Island",345,
"Tamworth Regional (A) - Pt A",42496,
"Gunnedah (A)",11524,
"Gwydir (A)",5310,
"Inverell (A) - Pt A",4611,
"Liverpool Plains (A)",7537,
"Tamworth Regional (A) - Pt B",11092,
"Armidale Dumaresq (A) - City",19483,
"Armidale Dumaresq (A) Bal",3883,
"Glen Innes Severn (A)",8782,
"Guyra (A)",4230,
"Inverell (A) - Pt B",10893,
"Tenterfield (A)",6536,
"Uralla (A)",5737,
"Walcha (A)",3188,
"Moree Plains (A)",13973,
"Narrabri (A)",13113,
"Dubbo (C) - Pt A",34316,
"Dubbo (C) - Pt B",3526,
"Gilgandra (A)",4519,
"Mid-Western Regional (A) - Pt A",17676,
"Narromine (A)",6511,
"Warrumbungle Shire (A)",9808,
"Wellington (A)",8122,
"Bogan (A)",2879,
"Coonamble (A)",4212,
"Walgett (A)",6942,
"Warren (A)",2748,
"Bourke (A)",3094,
"Brewarrina (A)",1943,
"Cobar (A)",4915,
"Bathurst Regional (A) - Pt A",30747,
"Bathurst Regional (A) - Pt B",5099,
"Blayney (A)",6594,
"Cabonne (A)",12396,
"Lithgow (C)",19760,
"Mid-Western Regional (A) - Pt B",3406,
"Oberon (A)",5029,
"Bland (A)",6098,
"Cowra (A)",12478,
"Forbes (A)",9361,
"Lachlan (A)",6672,
"Parkes (A)",14284,
"Weddin (A)",3636,
"Orange (C)",35338,
"Palerang (A) - Pt A",9102,
"Queanbeyan (C)",35969,
"Boorowa (A)",2292,
"Goulburn Mulwaree (A) - Goulburn",20130,
"Goulburn Mulwaree (A) Bal",5961,
"Harden (A)",3586,
"Palerang (A) - Pt B",3217,
"Upper Lachlan (A)",7053,
"Yass Valley (A)",13133,
"Young (A)",11981,
"Bega Valley (A)",31061,
"Eurobodalla (A)",35013,
"Bombala (A)",2538,
"Cooma-Monaro (A)",9728,
"Snowy River (A)",7188,
"Wagga Wagga (C) - Pt A",52493,
"Coolamon (A)",4032,
"Cootamundra (A)",7317,
"Gundagai (A)",3697,
"Junee (A)",5777,
"Lockhart (A)",3182,
"Narrandera (A)",6011,
"Temora (A)",5857,
"Tumut Shire (A)",10798,
"Wagga Wagga (C) - Pt B",4523,
"Carrathool (A)",2817,
"Griffith (C)",23798,
"Hay (A)",3379,
"Leeton (A)",11109,
"Murrumbidgee (A)",2503,
"Albury (C)",46285,
"Greater Hume Shire (A) - Pt A",3439,
"Corowa Shire (A)",10978,
"Greater Hume Shire (A) - Pt B",6287,
"Tumbarumba (A)",3534,
"Urana (A)",1258,
"Berrigan (A)",7993,
"Conargo (A)",1675,
"Deniliquin (A)",7433,
"Jerilderie (A)",1643,
"Murray (A)",6414,
"Wakool (A)",4365,
"Balranald (A)",2442,
"Wentworth (A)",6778,
"Broken Hill (C)",19366,
"Central Darling (A)",1939,
"Unincorp. Far West",727,
"NSW Off-Shore Areas & Migratory",50,
"NSW No Usual Address",10175,
"Melbourne (C) - Inner",11591,
"Melbourne (C) - S'bank-D'lands",13306,
"Melbourne (C) - Remainder",46481,
"Port Phillip (C) - St Kilda",49800,
"Port Phillip (C) - West",35300,
"Stonnington (C) - Prahran",45159,
"Yarra (C) - North",44749,
"Yarra (C) - Richmond",24585,
"Brimbank (C) - Keilor",86993,
"Brimbank (C) - Sunshine",81225,
"Hobsons Bay (C) - Altona",52109,
"Hobsons Bay (C) - Williamstown",29353,
"Maribyrnong (C)",63143,
"Moonee Valley (C) - Essendon",66876,
"Moonee Valley (C) - West",40219,
"Melton (S) - East",39482,
"Melton (S) Bal",39429,
"Wyndham (C) - North",75386,
"Wyndham (C) - South",16013,
"Wyndham (C) - West",21295,
"Moreland (C) - Brunswick",41195,
"Moreland (C) - Coburg",47861,
"Moreland (C) - North",46704,
"Banyule (C) - Heidelberg",61558,
"Banyule (C) - North",53312,
"Darebin (C) - Northcote",45907,
"Darebin (C) - Preston",82158,
"Hume (C) - Broadmeadows",61692,
"Hume (C) - Craigieburn",53793,
"Hume (C) - Sunbury",32300,
"Nillumbik (S) - South",27369,
"Nillumbik (S) - South-West",23193,
"Nillumbik (S) Bal",9226,
"Whittlesea (C) - North",23508,
"Whittlesea (C) - South-East",42509,
"Whittlesea (C) - South-West",58631,
"Boroondara (C) - Camberwell N.",43340,
"Boroondara (C) - Camberwell S.",48969,
"Boroondara (C) - Hawthorn",33492,
"Boroondara (C) - Kew",28656,
"Manningham (C) - East",15027,
"Manningham (C) - West",94890,
"Monash (C) - South-West",43311,
"Monash (C) - Waverley East",55713,
"Monash (C) - Waverley West",62219,
"Whitehorse (C) - Box Hill",51056,
"Whitehorse (C) - Nunawading E.",44070,
"Whitehorse (C) - Nunawading W.",49643,
"Knox (C) - North-East",61927,
"Knox (C) - North-West",44746,
"Knox (C) - South",40067,
"Maroondah (C) - Croydon",57713,
"Maroondah (C) - Ringwood",41489,
"Yarra Ranges (S) - Central",14823,
"Yarra Ranges (S) - Dandenongs",29400,
"Yarra Ranges (S) - Lilydale",67601,
"Yarra Ranges (S) - North",12562,
"Yarra Ranges (S) - Seville",15246,
"Bayside (C) - Brighton",35413,
"Bayside (C) - South",52528,
"Glen Eira (C) - Caulfield",76270,
"Glen Eira (C) - South",47811,
"Kingston (C) - North",89420,
"Kingston (C) - South",45203,
"Stonnington (C) - Malvern",44728,
"Gr. Dandenong (C) - Dandenong",54847,
"Gr. Dandenong (C) Bal",70673,
"Cardinia (S) - North",24038,
"Cardinia (S) - Pakenham",27787,
"Cardinia (S) - South",5287,
"Casey (C) - Berwick",87766,
"Casey (C) - Cranbourne",63913,
"Casey (C) - Hallam",49708,
"Casey (C) - South",13566,
"Frankston (C) - East",43739,
"Frankston (C) - West",74060,
"Mornington P'sula (S) - East",36699,
"Mornington P'sula (S) - South",47118,
"Mornington P'sula (S) - West",52666,
"Bellarine - Inner",23248,
"Corio - Inner",54917,
"Geelong",11366,
"Geelong West",13662,
"Newtown",9578,
"South Barwon - Inner",48219,
"Greater Geelong (C) - Pt B",33529,
"Queenscliffe (B)",3018,
"Surf Coast (S) - East",13198,
"Surf Coast (S) - West",8575,
"Colac-Otway (S) - Colac",10860,
"Colac-Otway (S) - North",6062,
"Colac-Otway (S) - South",3371,
"Golden Plains (S) - North-West",7443,
"Golden Plains (S) - South-East",9015,
"Greater Geelong (C) - Pt C",2955,
"Warrnambool (C)",30394,
"Corangamite (S) - North",9203,
"Corangamite (S) - South",7412,
"Moyne (S) - North-East",2402,
"Moyne (S) - North-West",2782,
"Moyne (S) - South",10264,
"Lady Julia Percy Island",0,
"Glenelg (S) - Heywood",6054,
"Glenelg (S) - North",3332,
"Glenelg (S) - Portland",10369,
"S. Grampians (S) - Hamilton",9116,
"S. Grampians (S) - Wannon",2320,
"S. Grampians (S) Bal",5205,
"Ballarat (C) - Central",32888,
"Ballarat (C) - Inner North",28888,
"Ballarat (C) - North",986,
"Ballarat (C) - South",22435,
"Hepburn (S) - East",7228,
"Hepburn (S) - West",6507,
"Moorabool (S) - Bacchus Marsh",15972,
"Moorabool (S) - Ballan",5988,
"Moorabool (S) - West",3517,
"Ararat (RC)",11256,
"Pyrenees (S) - North",3291,
"Pyrenees (S) - South",3265,
"Horsham (RC) - Central",13481,
"Horsham (RC) Bal",5014,
"N. Grampians (S) - St Arnaud",3413,
"N. Grampians (S) - Stawell",8496,
"West Wimmera (S)",4472,
"Hindmarsh (S)",6040,
"Yarriambiack (S) - North",1983,
"Yarriambiack (S) - South",5540,
"Mildura (RC) - Pt A",46036,
"Buloke (S) - North",3354,
"Buloke (S) - South",3498,
"Mildura (RC) - Pt B",3785,
"Gannawarra (S)",11295,
"Swan Hill (RC) - Central",9685,
"Swan Hill (RC) - Robinvale",3963,
"Swan Hill (RC) Bal",6985,
"Gr. Bendigo (C) - Central",17781,
"Gr. Bendigo (C) - Eaglehawk",8629,
"Gr. Bendigo (C) - Inner East",23352,
"Gr. Bendigo (C) - Inner North",9688,
"Gr. Bendigo (C) - Inner West",15947,
"Gr. Bendigo (C) - S'saye",6542,
"C. Goldfields (S) - M'borough",7369,
"C. Goldfields (S) Bal",4959,
"Gr. Bendigo (C) - Pt B",11314,
"Loddon (S) - North",3188,
"Loddon (S) - South",4650,
"Mount Alexander (S) - C'maine",7146,
"Mount Alexander (S) Bal",9918,
"Macedon Ranges (S) - Kyneton",8236,
"Macedon Ranges (S) - Romsey",10864,
"Macedon Ranges (S) Bal",19262,
"Gr. Shepparton (C) - Pt A",44598,
"Campaspe (S) - Echuca",12364,
"Campaspe (S) - Kyabram",12075,
"Campaspe (S) - Rochester",8082,
"Campaspe (S) - South",3692,
"Gr. Shepparton (C) - Pt B East",3716,
"Gr. Shepparton (C) - Pt B West",8770,
"Moira (S) - East",8762,
"Moira (S) - West",18323,
"Benalla (RC) - Benalla",9130,
"Benalla (RC) Bal",4397,
"Mansfield (S)",7192,
"Strathbogie (S)",9296,
"Mount Buller Alpine Resort",248,
"Mount Stirling Alpine Resort",0,
"Mitchell (S) - North",10617,
"Mitchell (S) - South",20308,
"Murrindindi (S) - East",6156,
"Murrindindi (S) - West",7514,
"Lake Mountain Alpine Resort",0,
"Indigo (S) - Pt A",11164,
"Towong (S) - Pt A",2396,
"Wodonga (RC)",33006,
"Indigo (S) - Pt B",3634,
"Wangaratta (RC) - Central",16058,
"Wangaratta (RC) - North",4658,
"Wangaratta (RC) - South",5677,
"Alpine (S) - East",7434,
"Alpine (S) - West",4566,
"Towong (S) - Pt B",3627,
"Falls Creek Alpine Resort",252,
"Mount Hotham Alpine Resort",115,
"E. Gippsland (S) - Bairnsdale",25366,
"E. Gippsland (S) - Orbost",8302,
"E. Gippsland (S) - South-West",3804,
"E. Gippsland (S) Bal",2567,
"Wellington (S) - Alberton",5471,
"Wellington (S) - Avon",3890,
"Wellington (S) - Maffra",10065,
"Wellington (S) - Rosedale",7307,
"Wellington (S) - Sale",13335,
"Baw Baw (S) - Pt A",4149,
"Latrobe (C) - Moe",17980,
"Latrobe (C) - Morwell",21561,
"Latrobe (C) - Traralgon",27221,
"Latrobe (C) Bal",2565,
"Baw Baw (S) - Pt B East",3837,
"Baw Baw (S) - Pt B West",29194,
"Yarra Ranges (S) - Pt B",591,
"Mount Baw Baw Alpine Resort",10,
"Bass Coast (S) - Phillip Is.",8136,
"Bass Coast (S) Bal",18405,
"South Gippsland (S) - Central",12320,
