Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Subdivision (SSD)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Subdivision (SSD)",
"10505",313153,
"10510",230760,
"10515",423836,
"10520",300449,
"10525",344493,
"10530",233066,
"10535",168322,
"10540",303049,
"10545",306771,
"10553",271712,
"10555",288713,
"10560",411799,
"10565",225102,
"10570",297957,
"11005",493465,
"11010",95773,
"11505",263537,
"11507",30953,
"11510",99728,
"12005",59351,
"12007",30091,
"12010",129890,
"12501",47709,
"12503",39509,
"12505",95656,
"12510",101804,
"13005",42496,
"13010",40084,
"13015",62722,
"13020",27090,
"13501",34316,
"13505",50167,
"13510",16783,
"13515",9961,
"14003",30747,
"14007",52282,
"14015",52534,
"14020",35338,
"14505",45073,
"14510",67352,
"14515",66068,
"14520",19450,
"15005",52493,
"15010",51191,
"15015",43618,
"15505",49724,
"15510",22055,
"15515",29527,
"15520",9219,
"16010",22030,
"18501",50,
"19999",10175,
"20505",270965,
"20510",419911,
"20520",191609,
"20525",135766,
"20530",242935,
"20535",147783,
"20540",184440,
"20545",154454,
"20550",415928,
"20555",245942,
"20560",139630,
"20565",391375,
"20575",125518,
"20580",272072,
"20585",117803,
"20590",136483,
"21005",160987,
"21010",58312,
"21015",39705,
"21501",30394,
"21505",32069,
"21510",36399,
"22005",85196,
"22010",39210,
"22015",17810,
"22505",34883,
"22510",13560,
"23005",46036,
"23010",10632,
"23015",31933,
"23505",81939,
"23510",48544,
"23520",38362,
"24005",44598,
"24010",75785,
"24015",30257,
"24020",44600,
"24505",46564,
"24510",30027,
"24515",15994,
"25005",40038,
"25015",40080,
"25505",73478,
"25510",33635,
"25520",52370,
"28501",51,
"29999",6394,
"30501",84032,
"30503",175924,
"30507",315724,
"30509",150556,
"30511",229894,
"30515",41133,
"30520",132473,
"30525",140181,
"30530",173263,
"30540",141143,
"30545",51178,
"30550",127627,
"30705",52000,
"30710",173359,
"30715",242948,
"30720",14006,
"30905",209582,
"30910",66687,
"31205",18596,
"31210",50028,
"31505",59767,
"31507",48155,
"31510",146732,
"32001",114477,
"32005",99281,
"32505",24778,
"33005",68831,
"33010",42901,
"33015",76670,
"33505",10851,
"34005",72847,
"34010",77327,
"34505",91746,
"34510",51585,
"34515",53340,
"35005",122732,
"35010",108321,
"35505",30938,
"38501",99,
"39999",12806,
"40505",353698,
"40510",205238,
"40515",223311,
"40520",323594,
"41005",40814,
"41010",4258,
"41015",41745,
"41020",36880,
"41505",25176,
"41510",18698,
"42005",40155,
"42010",26649,
"42505",18965,
"42510",43250,
"43005",27289,
"43010",6056,
"43505",21622,
"43515",24882,
"43520",19545,
"43525",9874,
"48501",6,
"49999",2618,
"50505",124952,
"50510",247171,
"50515",437479,
"50520",306509,
"50525",328958,
"51001",67782,
"51003",54967,
"51010",33010,
"51015",35705,
"51020",15878,
"51505",10959,
"51510",41633,
"52005",13266,
"52010",4451,
"52505",14037,
"52510",26634,
"52515",9740,
"53001",28241,
"53005",7671,
"53010",15981,
"53503",31551,
"53505",8891,
"53510",3072,
"53515",13920,
"54005",18502,
"54010",22501,
"54505",9735,
"54510",19565,
"58501",339,
"59999",5986,
"60505",200523,
"61005",34927,
"61505",99675,
"61510",20327,
"61515",13929,
"62005",77409,
"62010",23715,
"62015",5003,
"68501",89,
"69999",872,
"70505",66290,
"70510",24145,
"70520",15554,
"71005",1953,
"71010",2129,
"71015",5997,
"71020",3720,
"71025",13946,
"71030",16460,
"71035",5390,
"71040",35310,
"78501",94,
"79999",1901,
"80505",42114,
"80510",84385,
"80515",31988,
"80520",22122,
"80525",87115,
"80535",23669,
"80540",31657,
"81005",272,
"89999",709,
"91005",2290,
"98501",0,
"99999",25,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
