Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"LGA"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"LGA",
"LGA10050",47808,
"LGA10110",24105,
"LGA10150",41213,
"LGA10200",73738,
"LGA10250",39272,
"LGA10300",2282,
"LGA10350",182351,
"LGA10470",38517,
"LGA10550",31950,
"LGA10600",12515,
"LGA10650",8067,
"LGA10750",301097,
"LGA10800",5862,
"LGA10850",6985,
"LGA10900",75941,
"LGA10950",2900,
"LGA11000",2407,
"LGA11050",2399,
"LGA11100",39354,
"LGA11150",2867,
"LGA11200",1766,
"LGA11250",18519,
"LGA11300",32424,
"LGA11350",29207,
"LGA11400",12823,
"LGA11450",56719,
"LGA11500",145969,
"LGA11520",75762,
"LGA11550",137453,
"LGA11600",2585,
"LGA11700",1992,
"LGA11720",50840,
"LGA11730",49666,
"LGA11750",4713,
"LGA11800",68414,
"LGA11860",1539,
"LGA12000",4100,
"LGA12050",9773,
"LGA12150",4031,
"LGA12200",7336,
"LGA12300",11001,
"LGA12350",12146,
"LGA12500",7121,
"LGA12600",38808,
"LGA12700",8317,
"LGA12750",35739,
"LGA12850",187766,
"LGA12900",9169,
"LGA12950",4368,
"LGA13010",8655,
"LGA13050",4879,
"LGA13100",162439,
"LGA13310",27480,
"LGA13320",34431,
"LGA13340",9817,
"LGA13380",46541,
"LGA13450",24363,
"LGA13500",3663,
"LGA13550",12065,
"LGA13650",4396,
"LGA13660",4965,
"LGA13700",3585,
"LGA13800",62353,
"LGA13850",2958,
"LGA13950",99163,
"LGA14000",156848,
"LGA14100",13216,
"LGA14150",78853,
"LGA14200",16077,
"LGA14250",1495,
"LGA14300",5879,
"LGA14350",28134,
"LGA14400",19985,
"LGA14450",55805,
"LGA14500",109299,
"LGA14550",9227,
"LGA14600",6477,
"LGA14650",189005,
"LGA14700",31510,
"LGA14750",11039,
"LGA14800",52197,
"LGA14850",42764,
"LGA14870",20162,
"LGA14900",180141,
"LGA14920",7479,
"LGA14950",2996,
"LGA15050",67479,
"LGA15150",39748,
"LGA15200",76501,
"LGA15270",22320,
"LGA15300",13428,
"LGA15350",27452,
"LGA15500",6957,
"LGA15550",2261,
"LGA15650",15793,
"LGA15700",18643,
"LGA15750",12926,
"LGA15800",5900,
"LGA15850",6584,
"LGA15900",148534,
"LGA15950",62290,
"LGA16100",5041,
"LGA16150",38056,
"LGA16180",14351,
"LGA16200",14592,
"LGA16250",166858,
"LGA16350",178465,
"LGA16370",57154,
"LGA16380",72698,
"LGA16400",64808,
"LGA16470",37994,
"LGA16550",128987,
"LGA16610",22038,
"LGA16650",97339,
"LGA16700",103040,
"LGA16900",63604,
"LGA16950",92812,
"LGA17000",22695,
"LGA17050",7509,
"LGA17100",35187,
"LGA17150",210862,
"LGA17200",169506,
"LGA17310",56291,
"LGA17350",5776,
"LGA17400",6809,
"LGA17420",169872,
"LGA17450",3357,
"LGA17500",10935,
"LGA17550",85107,
"LGA17620",13751,
"LGA17640",7192,
"LGA17650",6032,
"LGA17700",1158,
"LGA17750",59459,
"LGA17800",3962,
"LGA17850",3021,
"LGA17900",6453,
