Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"LGA"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"LGA",
"Albury (C)",47808,
"Armidale Dumaresq (A)",24105,
"Ashfield (A)",41213,
"Auburn (C)",73738,
"Ballina (A)",39272,
"Balranald (A)",2282,
"Bankstown (C)",182351,
"Bathurst Regional (A)",38517,
"Bega Valley (A)",31950,
"Bellingen (A)",12515,
"Berrigan (A)",8067,
"Blacktown (C)",301097,
"Bland (A)",5862,
"Blayney (A)",6985,
"Blue Mountains (C)",75941,
"Bogan (A)",2900,
"Bombala (A)",2407,
"Boorowa (A)",2399,
"Botany Bay (C)",39354,
"Bourke (A)",2867,
"Brewarrina (A)",1766,
"Broken Hill (C)",18519,
"Burwood (A)",32424,
"Byron (A)",29207,
"Cabonne (A)",12823,
"Camden (A)",56719,
"Campbelltown (C) (NSW)",145969,
"Canada Bay (A)",75762,
"Canterbury (C)",137453,
"Carrathool (A)",2585,
"Central Darling (A)",1992,
"Cessnock (C)",50840,
"Clarence Valley (A)",49666,
"Cobar (A)",4713,
"Coffs Harbour (C)",68414,
"Conargo (A)",1539,
"Coolamon (A)",4100,
"Cooma-Monaro (A)",9773,
"Coonamble (A)",4031,
"Cootamundra (A)",7336,
"Corowa Shire (A)",11001,
"Cowra (A)",12146,
"Deniliquin (A)",7121,
"Dubbo (C)",38808,
"Dungog (A)",8317,
"Eurobodalla (A)",35739,
"Fairfield (C)",187766,
"Forbes (A)",9169,
"Gilgandra (A)",4368,
"Glen Innes Severn (A)",8655,
"Gloucester (A)",4879,
"Gosford (C)",162439,
"Goulburn Mulwaree (A)",27480,
"Great Lakes (A)",34431,
"Greater Hume Shire (A)",9817,
"Greater Taree (C)",46541,
"Griffith (C)",24363,
"Gundagai (A)",3663,
"Gunnedah (A)",12065,
"Guyra (A)",4396,
"Gwydir (A)",4965,
"Harden (A)",3585,
"Hawkesbury (C)",62353,
"Hay (A)",2958,
"Holroyd (C)",99163,
"Hornsby (A)",156848,
"Hunters Hill (A)",13216,
"Hurstville (C)",78853,
"Inverell (A)",16077,
"Jerilderie (A)",1495,
"Junee (A)",5879,
"Kempsey (A)",28134,
"Kiama (A)",19985,
"Kogarah (C)",55805,
"Ku-ring-gai (A)",109299,
"Kyogle (A)",9227,
"Lachlan (A)",6477,
"Lake Macquarie (C)",189005,
"Lane Cove (A)",31510,
"Leeton (A)",11039,
"Leichhardt (A)",52197,
"Lismore (C)",42764,
"Lithgow (C)",20162,
"Liverpool (C)",180141,
"Liverpool Plains (A)",7479,
"Lockhart (A)",2996,
"Maitland (C)",67479,
"Manly (A)",39748,
"Marrickville (A)",76501,
"Mid-Western Regional (A)",22320,
"Moree Plains (A)",13428,
"Mosman (A)",27452,
"Murray (A)",6957,
"Murrumbidgee (A)",2261,
"Muswellbrook (A)",15793,
"Nambucca (A)",18643,
"Narrabri (A)",12926,
"Narrandera (A)",5900,
"Narromine (A)",6584,
"Newcastle (C)",148534,
"North Sydney (A)",62290,
"Oberon (A)",5041,
"Orange (C)",38056,
"Palerang (A)",14351,
"Parkes (A)",14592,
