Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA2"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA2",
"101011001",21485,
"101011002",11615,
"101011003",6331,
"101011004",10397,
"101011005",10280,
"101011006",7394,
"101021007",3356,
"101021008",8602,
"101021009",10233,
"101021010",4639,
"101021011",14111,
"101021012",12572,
"101031013",2419,
"101031014",6677,
"101031015",3175,
"101031016",6664,
"101041017",7504,
"101041018",8223,
"101041019",8046,
"101041020",8767,
"101041021",2827,
"101041022",57,
"101041023",3207,
"101041024",3211,
"101041025",9779,
"101041026",7616,
"101041027",8632,
"102011028",7010,
"102011029",10338,
"102011030",4422,
"102011031",13591,
"102011032",18072,
"102011033",6453,
"102011034",7110,
"102011035",6492,
"102011036",8052,
"102011037",6314,
"102011038",6637,
"102011039",12566,
"102011040",22534,
"102011041",9090,
"102011042",13252,
"102011043",11189,
"102021044",21379,
"102021045",10781,
"102021046",8968,
"102021047",15347,
"102021048",20675,
"102021049",3011,
"102021050",10063,
"102021051",4794,
"102021052",5400,
"102021053",13987,
"102021054",8999,
"102021055",5036,
"102021056",12496,
"102021057",8152,
"103011058",22985,
"103011059",9498,
"103011060",6612,
"103011061",4459,
"103021062",6892,
"103021063",8926,
"103021064",5347,
"103021065",9805,
"103021066",3646,
"103021067",10939,
"103021068",3390,
"103021069",5850,
"103031070",12251,
"103031071",7895,
"103031072",10484,
"103031073",3345,
"103031074",9950,
"103031075",0,
"103041076",7007,
"103041077",19629,
"103041078",16835,
"103041079",10997,
"104011080",18360,
"104011081",15033,
"104011082",15845,
"104021083",5704,
"104021084",16342,
"104021085",9817,
"104021086",3584,
"104021087",3291,
"104021088",7696,
"104021089",18940,
"104021090",4545,
"104021091",11448,
"105011092",4285,
"105011093",4717,
"105011094",4259,
"105011095",5208,
"105011096",6822,
"105021097",18519,
"105021098",2686,
"105031099",8174,
"105031100",10849,
"105031101",15724,
"105031102",7419,
"105031103",5165,
"105031104",4459,
"105031105",6681,
"105031106",8623,
"106011107",9272,
"106011108",20262,
"106011109",7034,
"106011110",8317,
"106011111",16198,
"106011112",16133,
"106011113",4759,
"106021114",4772,
"106021115",25808,
"106021116",6616,
"106021117",18284,
"106021118",8724,
"106031119",5431,
"106031120",6317,
"106031121",19644,
"106031122",13736,
"106031123",5304,
"106031124",4500,
"106031125",12579,
"106041126",11791,
"106041127",3999,
"106041128",5884,
"106041129",7871,
"107011130",26649,
"107011131",22498,
"107011132",7418,
"107011133",27,
"107011134",15321,
"107021135",11,
"107031136",13617,
"107031137",7002,
"107031138",7165,
"107031139",5738,
"107031140",7025,
"107031141",13447,
"107031142",9492,
"107031143",20058,
"107041144",19998,
"107041145",15084,
"107041146",19884,
"107041147",8458,
"107041148",10580,
"107041149",27884,
"107041150",18626,
"108011151",4728,
"108011152",13699,
"108011153",5617,
"108011154",5799,
"108021155",14292,
"108021156",8945,
"108021157",4643,
"108021158",6664,
"108021159",7335,
"108021160",4953,
"108031161",359,
"108041162",15740,
"108041163",26712,
"108041164",15010,
"108041165",5036,
"108041166",10214,
"108051167",4870,
"108051168",9558,
