Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA4"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA4",
"Capital Region",207823,
"Central Coast",312182,
"Central West",196740,
"Coffs Harbour - Grafton",130602,
"Far West and Orana",113589,
"Hunter Valley exc Newcastle",243247,
"Illawarra",275983,
"Mid North Coast",201110,
"Murray",110317,
"New England and North West",176193,
"Newcastle and Lake Macquarie",342605,
"Richmond - Tweed",227620,
"Riverina",150119,
"Southern Highlands and Shoalhaven",137006,
"Sydney - Baulkham Hills and Hawkesbury",210411,
"Sydney - Blacktown",303531,
"Sydney - City and Inner South",264544,
"Sydney - Eastern Suburbs",249545,
"Sydney - Inner South West",523610,
"Sydney - Inner West",263561,
"Sydney - North Sydney and Hornsby",374663,
"Sydney - Northern Beaches",237640,
"Sydney - Outer South West",235804,
"Sydney - Outer West and Blue Mountains",288191,
"Sydney - Parramatta",394709,
"Sydney - Ryde",162846,
"Sydney - South West",360166,
"Sydney - Sutherland",210265,
"Migratory - Offshore - Shipping (NSW)",112,
"No Usual Address (NSW)",12917,
"Ballarat",146234,
"Bendigo",140695,
"Geelong",250650,
"Hume",159294,
"Latrobe - Gippsland",255858,
"Melbourne - Inner",501989,
"Melbourne - Inner East",340002,
"Melbourne - Inner South",378214,
"Melbourne - North East",437046,
"Melbourne - North West",318481,
"Melbourne - Outer East",479105,
"Melbourne - South East",658018,
"Melbourne - West",616059,
"Mornington Peninsula",271066,
"North West",147427,
"Shepparton",124893,
"Warrnambool and South West",120659,
"Migratory - Offshore - Shipping (Vic.)",36,
"No Usual Address (Vic.)",8307,
"Brisbane - East",211432,
"Brisbane - North",191049,
"Brisbane - South",314086,
"Brisbane - West",170353,
"Brisbane Inner City",223975,
"Cairns",224438,
"Darling Downs - Maranoa",122274,
"Fitzroy",211343,
"Gold Coast",507641,
"Ipswich",281788,
"Logan - Beaudesert",290428,
"Mackay",166813,
"Moreton Bay - North",215453,
"Moreton Bay - South",167430,
"Queensland - Outback",82926,
"Sunshine Coast",306909,
"Toowoomba",140220,
"Townsville",217896,
"Wide Bay",273266,
"Migratory - Offshore - Shipping (Qld)",473,
"No Usual Address (Qld)",12543,
"Adelaide - Central and Hills",277063,
"Adelaide - North",391644,
"Adelaide - South",339873,
"Adelaide - West",216654,
"Barossa - Yorke - Mid North",106521,
"South Australia - Outback",84619,
"South Australia - South East",177124,
"Migratory - Offshore - Shipping (SA)",5,
"No Usual Address (SA)",3069,
"Bunbury",158106,
"Mandurah",83295,
"Perth - Inner",156351,
"Perth - North East",219898,
"Perth - North West",482953,
"Perth - South East",433627,
"Perth - South West",352748,
"Western Australia - Outback",215050,
"Western Australia - Wheat Belt",129437,
"Migratory - Offshore - Shipping (WA)",417,
"No Usual Address (WA)",7299,
"Hobart",211655,
"Launceston and North East",137556,
"South East",35797,
"West and North West",109153,
"Migratory - Offshore - Shipping (Tas.)",113,
"No Usual Address (Tas.)",1072,
"Darwin",120586,
"Northern Territory - Outback",89374,
"Migratory - Offshore - Shipping (NT)",107,
"No Usual Address (NT)",1870,
"Australian Capital Territory",356586,
"Migratory - Offshore - Shipping (ACT)",0,
"No Usual Address (ACT)",630,
"Other Territories",3004,
"Migratory - Offshore - Shipping (OT)",0,
"No Usual Address (OT)",26,
"Total",21507719,

"Dataset: Census of Population and Housing, 2011, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
