Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"LGA (UR)",
"LGA10050",51080,
"LGA10130",29451,
"LGA10250",41786,
"LGA10300",2290,
"LGA10470",41301,
"LGA10550",33254,
"LGA10600",12670,
"LGA10650",8462,
"LGA10750",336965,
"LGA10800",5958,
"LGA10850",7259,
"LGA10900",76902,
"LGA10950",2689,
"LGA11100",46651,
"LGA11150",2633,
"LGA11200",1645,
"LGA11250",17709,
"LGA11300",36810,
"LGA11350",31556,
"LGA11400",13391,
"LGA11450",78220,
"LGA11500",157007,
"LGA11520",88015,
"LGA11570",346300,
"LGA11600",2723,
"LGA11650",327736,
"LGA11700",1831,
"LGA11720",55561,
"LGA11730",50670,
"LGA11750",4650,
"LGA11800",72949,
"LGA12000",4313,
"LGA12150",3919,
"LGA12350",12464,
"LGA12380",216077,
"LGA12700",8976,
"LGA12730",8847,
"LGA12750",37229,
"LGA12850",198816,
"LGA12870",12279,
"LGA12900",9589,
"LGA12930",146834,
"LGA12950",4234,
"LGA13010",8832,
"LGA13310",29608,
"LGA13340",10357,
"LGA13450",25635,
"LGA13510",11144,
"LGA13550",12214,
"LGA13660",5255,
"LGA13800",64591,
"LGA13850",2945,
"LGA13910",18497,
"LGA14000",142666,
"LGA14100",13999,
"LGA14170",182037,
"LGA14200",16485,
"LGA14300",6295,
"LGA14350",28886,
"LGA14400",21466,
"LGA14500",118053,
"LGA14550",8939,
"LGA14600",6195,
"LGA14650",197373,
"LGA14700",36050,
"LGA14750",11167,
"LGA14850",43134,
"LGA14870",21090,
"LGA14900",204330,
"LGA14920",7689,
"LGA14950",3121,
"LGA15050",77307,
"LGA15240",90302,
"LGA15270",24079,
"LGA15300",13158,
"LGA15350",28476,
"LGA15520",11682,
"LGA15560",3838,
"LGA15650",16086,
"LGA15700",19210,
"LGA15750",13083,
"LGA15800",5853,
"LGA15850",6444,
"LGA15900",155412,
"LGA15950",67655,
"LGA15990",252876,
"LGA16100",5301,
"LGA16150",40348,
"LGA16200",14611,
"LGA16260",226153,
"LGA16350",196064,
"LGA16380",78541,
"LGA16400",69556,
"LGA16490",56027,
"LGA16550",140659,
"LGA16610",22805,
"LGA16650",109402,
"LGA16700",116304,
"LGA16900",68460,
"LGA16950",99649,
"LGA17000",22990,
"LGA17040",20216,
"LGA17080",14398,
"LGA17100",40313,
"LGA17150",218465,
"LGA17200",208376,
"LGA17310",59662,
"LGA17350",6110,
"LGA17400",6624,
"LGA17420",157243,
"LGA17550",91374,
"LGA17620",14112,
"LGA17640",7694,
"LGA17650",6049,
"LGA17750",62383,
"LGA17850",3090,
"LGA17900",6112,
"LGA17950",2730,
"LGA18020",9380,
"LGA18050",66813,
"LGA18100",3660,
"LGA18200",6798,
"LGA18230",50075,
"LGA18250",74303,
"LGA18350",47878,
"LGA18400",48520,
"LGA18450",203630,
"LGA18500",54239,
"LGA18710",16143,
"LGA19399",1054,
"LGA19499",12288,
"LGA19799",419,
"LGA20110",12335,
"LGA20260",11599,
"LGA20570",101689,
"LGA20660",121869,
"LGA20740",32806,
"LGA20830",48477,
"LGA20910",97092,
"LGA21010",13863,
"LGA21110",167232,
"LGA21180",194315,
"LGA21270",6202,
"LGA21370",37054,
"LGA21450",94130,
"LGA21610",299296,
"LGA21670",12993,
"LGA21750",20971,
"LGA21830",16053,
"LGA21890",146722,
"LGA22110",45041,
"LGA22170",134144,
"LGA22250",10548,
"LGA22310",140875,
"LGA22410",19556,
"LGA22490",21687,
"LGA22620",110479,
"LGA22670",152052,
"LGA22750",233426,
"LGA22830",63839,
"LGA22910",15327,
"LGA22980",5725,
"LGA23110",88777,
"LGA23190",19641,
"LGA23270",197376,
"LGA23350",15953,
"LGA23430",151389,
"LGA23670",154109,
"LGA23810",73257,
"LGA23940",7512,
"LGA24130",46103,
"LGA24210",116260,
"LGA24250",8589,
"LGA24330",82285,
"LGA24410",110372,
"LGA24600",135964,
"LGA24650",135443,
"LGA24780",53878,
"LGA24850",40916,
"LGA24900",29108,
"LGA24970",182617,
"LGA25060",116674,
"LGA25150",31820,
"LGA25250",162564,
"LGA25340",154996,
"LGA25430",18762,
"LGA25490",16499,
"LGA25620",13730,
"LGA25710",61274,
"LGA25810",11436,
"LGA25900",100863,
"LGA25990",7240,
"LGA26080",2854,
"LGA26170",28700,
"LGA26260",15941,
"LGA26350",103831,
"LGA26430",10272,
"LGA26490",29402,
"LGA26610",20587,
"LGA26670",5986,
"LGA26700",28310,
"LGA26730",33655,
"LGA26810",42986,
"LGA26890",3905,
"LGA26980",162080,
"LGA27070",197490,
"LGA27170",39347,
"LGA27260",217118,
"LGA27350",86652,
"LGA27450",149542,
"LGA27630",6675,
"LGA29399",876,
"LGA29499",7572,
"LGA29799",26,
"LGA30250",1275,
"LGA30300",4378,
"LGA30370",14315,
"LGA30410",2863,
"LGA30450",271,
"LGA30760",1903,
"LGA30900",425,
"LGA31000",1131155,
"LGA31750",352,
"LGA31820",92894,
"LGA31900",17075,
"LGA31950",328,
"LGA32080",156900,
"LGA32250",1958,
"LGA32260",28725,
"LGA32270",28002,
"LGA32310",11881,
"LGA32330",1266,
"LGA32450",3031,
"LGA32500",4222,
"LGA32600",292,
"LGA32750",287,
"LGA32770",1398,
"LGA32810",11716,
"LGA33100",801,
"LGA33200",1537,
"LGA33220",101503,
"LGA33360",61642,
"LGA33430",555724,
"LGA33610",10628,
"LGA33620",49555,
"LGA33800",10884,
"LGA33830",919,
"LGA33960",193737,
"LGA33980",20941,
"LGA34420",944,
"LGA34530",36270,
"LGA34570",714,
"LGA34580",38603,
"LGA34590",303384,
"LGA34710",3663,
"LGA34770",114970,
"LGA34800",796,
"LGA34830",311,
"LGA34860",12664,
