Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"LGA (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"LGA (UR)",
"Albury (C)",51080,
"Armidale Regional (A)",29451,
"Ballina (A)",41786,
"Balranald (A)",2290,
"Bathurst Regional (A)",41301,
"Bega Valley (A)",33254,
"Bellingen (A)",12670,
"Berrigan (A)",8462,
"Blacktown (C)",336965,
"Bland (A)",5958,
"Blayney (A)",7259,
"Blue Mountains (C)",76902,
"Bogan (A)",2689,
"Botany Bay (C)",46651,
"Bourke (A)",2633,
"Brewarrina (A)",1645,
"Broken Hill (C)",17709,
"Burwood (A)",36810,
"Byron (A)",31556,
"Cabonne (A)",13391,
"Camden (A)",78220,
"Campbelltown (C) (NSW)",157007,
"Canada Bay (A)",88015,
"Canterbury-Bankstown (A)",346300,
"Carrathool (A)",2723,
"Central Coast (C) (NSW)",327736,
"Central Darling (A)",1831,
"Cessnock (C)",55561,
"Clarence Valley (A)",50670,
"Cobar (A)",4650,
"Coffs Harbour (C)",72949,
"Coolamon (A)",4313,
"Coonamble (A)",3919,
"Cowra (A)",12464,
"Cumberland (A)",216077,
"Dungog (A)",8976,
"Edward River (A)",8847,
"Eurobodalla (A)",37229,
"Fairfield (C)",198816,
"Federation (A)",12279,
"Forbes (A)",9589,
"Georges River (A)",146834,
"Gilgandra (A)",4234,
"Glen Innes Severn (A)",8832,
"Goulburn Mulwaree (A)",29608,
"Greater Hume Shire (A)",10357,
"Griffith (C)",25635,
"Gundagai (A)",11144,
"Gunnedah (A)",12214,
"Gwydir (A)",5255,
"Hawkesbury (C)",64591,
"Hay (A)",2945,
"Hilltops (A)",18497,
"Hornsby (A)",142666,
"Hunters Hill (A)",13999,
"Inner West (A)",182037,
"Inverell (A)",16485,
"Junee (A)",6295,
"Kempsey (A)",28886,
"Kiama (A)",21466,
"Ku-ring-gai (A)",118053,
"Kyogle (A)",8939,
"Lachlan (A)",6195,
"Lake Macquarie (C)",197373,
"Lane Cove (A)",36050,
"Leeton (A)",11167,
"Lismore (C)",43134,
"Lithgow (C)",21090,
"Liverpool (C)",204330,
"Liverpool Plains (A)",7689,
"Lockhart (A)",3121,
"Maitland (C)",77307,
"Mid-Coast (A)",90302,
"Mid-Western Regional (A)",24079,
"Moree Plains (A)",13158,
"Mosman (A)",28476,
"Murray River (A)",11682,
"Murrumbidgee (A)",3838,
"Muswellbrook (A)",16086,
"Nambucca (A)",19210,
"Narrabri (A)",13083,
"Narrandera (A)",5853,
"Narromine (A)",6444,
"Newcastle (C)",155412,
"North Sydney (A)",67655,
"Northern Beaches (A)",252876,
"Oberon (A)",5301,
"Orange (C)",40348,
"Parkes (A)",14611,
"Parramatta (C)",226153,
"Penrith (C)",196064,
"Port Macquarie-Hastings (A)",78541,
"Port Stephens (A)",69556,
"Queanbeyan-Palerang Regional (A)",56027,
"Randwick (C)",140659,
"Richmond Valley (A)",22805,
"Rockdale (C)",109402,
"Ryde (C)",116304,
"Shellharbour (C)",68460,
"Shoalhaven (C)",99649,
"Singleton (A)",22990,
"Snowy Monaro Regional (A)",20216,
"Snowy Valleys (A)",14398,
"Strathfield (A)",40313,
"Sutherland Shire (A)",218465,
"Sydney (C)",208376,
"Tamworth Regional (A)",59662,
"Temora (A)",6110,
"Tenterfield (A)",6624,
"The Hills Shire (A)",157243,
"Tweed (A)",91374,
"Upper Hunter Shire (A)",14112,
"Upper Lachlan Shire (A)",7694,
"Uralla (A)",6049,
"Wagga Wagga (C)",62383,
"Walcha (A)",3090,
"Walgett (A)",6112,
"Warren (A)",2730,
"Warrumbungle Shire (A)",9380,
"Waverley (A)",66813,
"Weddin (A)",3660,
"Wentworth (A)",6798,
"Western Plains Regional (A)",50075,
"Willoughby (C)",74303,
"Wingecarribee (A)",47878,
"Wollondilly (A)",48520,
"Wollongong (C)",203630,
"Woollahra (A)",54239,
"Yass Valley (A)",16143,
"Unincorporated NSW",1054,
"No usual address (NSW)",12288,
"Migratory - Offshore - Shipping (NSW)",419,
"Alpine (S)",12335,
"Ararat (RC)",11599,
"Ballarat (C)",101689,
"Banyule (C)",121869,
"Bass Coast (S)",32806,
"Baw Baw (S)",48477,
"Bayside (C)",97092,
"Benalla (RC)",13863,
"Boroondara (C)",167232,
"Brimbank (C)",194315,
"Buloke (S)",6202,
"Campaspe (S)",37054,
"Cardinia (S)",94130,
"Casey (C)",299296,
"Central Goldfields (S)",12993,
"Colac-Otway (S)",20971,
"Corangamite (S)",16053,
"Darebin (C)",146722,
"East Gippsland (S)",45041,
"Frankston (C)",134144,
"Gannawarra (S)",10548,
"Glen Eira (C)",140875,
"Glenelg (S)",19556,
