Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"101021007",3875,
"101021008",8241,
"101021009",10838,
"101021010",4785,
"101021011",16945,
"101021012",12642,
"101031013",2391,
"101031014",6737,
"101031015",3282,
"101031016",6953,
"101041017",7689,
"101041018",8361,
"101041019",8405,
"101041020",8795,
"101041021",3287,
"101041022",25,
"101041023",3218,
"101041024",3298,
"101041025",10621,
"101041026",7968,
"101041027",8979,
"101051539",22890,
"101051540",12673,
"101061541",6502,
"101061542",11508,
"101061543",10604,
"101061544",7323,
"102011028",7315,
"102011029",10688,
"102011030",4703,
"102011031",13950,
"102011032",18802,
"102011033",6381,
"102011034",7308,
"102011035",6642,
"102011036",8027,
"102011037",6207,
"102011038",6979,
"102011039",13345,
"102011040",23588,
"102011041",9758,
"102011042",13928,
"102011043",11434,
"102021044",22010,
"102021045",11044,
"102021046",9405,
"102021047",15353,
"102021048",22114,
"102021049",3352,
"102021050",10730,
"102021051",4860,
"102021052",5765,
"102021053",14942,
"102021054",9772,
"102021055",5301,
"102021056",15219,
"102021057",8815,
"103011058",23830,
"103011059",11186,
"103011060",6913,
"103011061",4663,
"103021062",6637,
"103021063",9144,
"103021064",5449,
"103021065",10166,
"103021066",3650,
"103021067",10983,
"103021068",3383,
"103021069",5929,
"103031070",12814,
"103031071",8262,
"103031072",11727,
"103031073",3445,
"103031074",10362,
"103031075",0,
"103041076",7273,
"103041077",19010,
"103041078",19729,
"103041079",11607,
"104011080",18673,
"104011081",15313,
"104011082",16283,
"104021083",5803,
"104021084",17464,
"104021085",10294,
"104021086",3816,
"104021087",3245,
"104021088",8740,
"104021089",19474,
"104021090",4667,
"104021091",12521,
"105011092",4000,
"105011093",4657,
"105011094",4113,
"105011095",4971,
"105011096",6413,
"105021097",17709,
"105021098",2507,
"105031099",7950,
"105031100",10379,
"105031101",16942,
"105031102",8769,
"105031103",5626,
"105031104",4376,
"105031105",6537,
"105031106",8831,
"106011107",10124,
"106011108",21995,
"106011109",7926,
"106011110",8976,
"106011111",17639,
