Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA3 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA3 (UR)",
"Queanbeyan",57333,
"Snowy Mountains",19365,
"South Coast",70642,
"Goulburn - Mulwaree",35561,
"Young - Yass",35939,
"Gosford",169052,
"Wyong",158688,
"Bathurst",46592,
"Lachlan Valley",55339,
"Lithgow - Mudgee",46611,
"Orange",57612,
"Clarence Valley",50268,
"Coffs Harbour",86026,
"Bourke - Cobar - Coonamble",24148,
"Broken Hill and Far West",20220,
"Dubbo",69411,
"Lower Hunter",87675,
"Maitland",74163,
"Port Stephens",71380,
"Upper Hunter",30198,
"Dapto - Port Kembla",75354,
"Illawarra Catchment Reserve",7,
"Kiama - Shellharbour",89839,
"Wollongong",128299,
"Great Lakes",31268,
"Kempsey - Nambucca",48125,
"Lord Howe Island",381,
"Port Macquarie",78566,
"Taree - Gloucester",53861,
"Albury",61267,
"Lower Murray",12553,
"Upper Murray exc. Albury",41979,
"Armidale",37089,
"Inverell - Tenterfield",38344,
"Moree - Narrabri",25626,
"Tamworth - Gunnedah",80498,
"Lake Macquarie - East",120014,
"Lake Macquarie - West",75207,
"Newcastle",163881,
"Richmond Valley - Coastal",78281,
"Richmond Valley - Hinterland",69949,
"Tweed Valley",91374,
"Griffith - Murrumbidgee (West)",48140,
"Tumut - Tumbarumba",14437,
"Wagga Wagga",93359,
"Shoalhaven",99489,
"Southern Highlands",47873,
"Baulkham Hills",143739,
"Dural - Wisemans Ferry",26228,
"Hawkesbury",24590,
"Rouse Hill - McGraths Hill",33181,
"Blacktown",134751,
"Blacktown - North",92820,
"Mount Druitt",112066,
"Botany",46692,
"Marrickville - Sydenham - Petersham",54612,
"Sydney Inner City",214245,
"Eastern Suburbs - North",126382,
"Eastern Suburbs - South",140651,
"Bankstown",171428,
"Canterbury",135069,
"Hurstville",127191,
"Kogarah - Rockdale",137725,
"Canada Bay",85355,
"Leichhardt",56067,
"Strathfield - Burwood - Ashfield",151870,
"Chatswood - Lane Cove",112244,
"Hornsby",80603,
"Ku-ring-gai",118372,
"North Sydney - Mosman",94139,
"Manly",41892,
"Pittwater",60439,
"Warringah",150545,
"Camden",62514,
"Campbelltown (NSW)",158398,
"Wollondilly",41153,
"Blue Mountains",76697,
"Blue Mountains - South",5,
"Penrith",139688,
"Richmond - Windsor",36547,
"St Marys",53995,
"Auburn",89670,
"Carlingford",66573,
"Merrylands - Guildford",151259,
"Parramatta",140890,
"Pennant Hills - Epping",47588,
"Ryde - Hunters Hill",134531,
"Bringelly - Green Valley",102811,
"Fairfield",185802,
"Liverpool",117350,
"Cronulla - Miranda - Caringbah",109845,
"Sutherland - Menai - Heathcote",108038,
"Migratory - Offshore - Shipping (NSW)",419,
"No Usual Address (NSW)",12288,
"Ballarat",103819,
"Creswick - Daylesford - Ballan",28309,
"Maryborough - Pyrenees",25368,
"Bendigo",94384,
"Heathcote - Castlemaine - Kyneton",47292,
"Loddon - Elmore",11419,
"Barwon - West",19024,
"Geelong",188184,
"Surf Coast - Bellarine Peninsula",71725,
"Upper Goulburn Valley",53839,
"Wangaratta - Benalla",46103,
"Wodonga - Alpine",70244,
"Baw Baw",48629,
"Gippsland - East",45147,
"Gippsland - South West",61665,
"Latrobe Valley",73099,
"Wellington",42872,
"Brunswick - Coburg",86256,
"Darebin - South",52064,
"Essendon",66597,
"Melbourne City",135967,
"Port Phillip",100870,
"Stonnington - West",62467,
"Yarra",87453,
"Boroondara",167232,
"Manningham - West",90376,
"Whitehorse - West",102039,
"Bayside",97092,
"Glen Eira",148434,
"Kingston",116817,
"Stonnington - East",41363,
"Banyule",121869,
"Darebin - North",94654,
"Nillumbik - Kinglake",65120,
"Whittlesea - Wallan",213712,
"Keilor",58565,
"Macedon Ranges",29575,
"Moreland - North",75504,
"Sunbury",39368,
"Tullamarine - Broadmeadows",160359,
"Knox",154154,
"Manningham - East",25989,
"Maroondah",109934,
"Whitehorse - East",60771,
"Yarra Ranges",148758,
"Cardinia",94289,
"Casey - North",131123,
"Casey - South",168178,
"Dandenong",186627,
"Monash",175055,
"Brimbank",185816,
"Hobsons Bay",84003,
"Maribyrnong",82285,
"Melton - Bacchus Marsh",153439,
"Wyndham",221898,
"Frankston",134144,
"Mornington Peninsula",154996,
"Grampians",58824,
"Mildura",53878,
"Murray River - Swan Hill",37337,
"Campaspe",37209,
"Moira",29108,
"Shepparton",63652,
"Glenelg - Southern Grampians",35562,
"Colac - Corangamite",37038,
"Warrnambool",50099,
"Migratory - Offshore - Shipping (Vic.)",26,
"No Usual Address (Vic.)",7572,
"Capalaba",71572,
"Cleveland - Stradbroke",82817,
"Wynnum - Manly",68704,
"Bald Hills - Everton Park",40788,
"Chermside",69075,
"Nundah",38666,
"Sandgate",57991,
"Carindale",50180,
"Holland Park - Yeronga",70977,
"Mt Gravatt",71206,
"Nathan",38868,
"Rocklea - Acacia Ridge",59528,
"Sunnybank",49806,
"Centenary",32532,
"Kenmore - Brookfield - Moggill",45369,
"Sherwood - Indooroopilly",51081,
"The Gap - Enoggera",50009,
"Brisbane Inner",67585,
"Brisbane Inner - East",40591,
"Brisbane Inner - North",86165,
"Brisbane Inner - West",55868,
"Cairns - North",52660,
"Cairns - South",100794,
"Innisfail - Cassowary Coast",34730,
"Port Douglas - Daintree",11607,
"Tablelands (East) - Kuranda",40403,
"Darling Downs (West) - Maranoa",44061,
"Darling Downs - East",42124,
"Granite Belt",40101,
"Central Highlands (Qld)",28962,
"Rockhampton",115997,
"Biloela",14315,
"Gladstone",61642,
"Broadbeach - Burleigh",61638,
"Coolangatta",53183,
"Gold Coast - North",65897,
"Gold Coast Hinterland",18508,
"Mudgeeraba - Tallebudgera",33385,
"Nerang",67288,
"Ormeau - Oxenford",120882,
"Robina",49481,
"Southport",58896,
"Surfers Paradise",40836,
"Forest Lake - Oxley",72231,
"Ipswich Hinterland",62725,
"Ipswich Inner",104206,
"Springfield - Redbank",83911,
"Beaudesert",13917,
"Beenleigh",40928,
"Browns Plains",79811,
"Jimboomba",45590,
"Loganlea - Carbrook",59777,
"Springwood - Kingston",77278,
"Bowen Basin - North",33493,
"Mackay",114970,
"Whitsunday",21224,
"Bribie - Beachmere",33036,
"Caboolture",67459,
"Caboolture Hinterland",13233,
"Narangba - Burpengary",62886,
"Redcliffe",59470,
"The Hills District",86190,
"North Lakes",71560,
"Strathpine",37215,
"Far North",32392,
"Outback - North",29653,
"Outback - South",17655,
"Buderim",54486,
"Caloundra",80508,
"Maroochy",56313,
"Noosa",41154,
"Sunshine Coast Hinterland",49585,
"Nambour",42628,
"Noosa Hinterland",21851,
"Toowoomba",149513,
"Charters Towers - Ayr - Ingham",42224,
"Townsville",186809,
"Bundaberg",87770,
"Burnett",49066,
"Gympie - Cooloola",49485,
"Hervey Bay",56677,
"Maryborough",44890,
"Migratory - Offshore - Shipping (Qld)",152,
"No Usual Address (Qld)",12515,
"Adelaide City",22064,
"Adelaide Hills",71895,
"Burnside",43912,
"Campbelltown (SA)",50524,
"Norwood - Payneham - St Peters",35357,
"Prospect - Walkerville",28078,
"Unley",37717,
"Gawler - Two Wells",34632,
"Playford",90152,
"Port Adelaide - East",68050,
"Salisbury",136632,
"Tea Tree Gully",93607,
"Holdfast Bay",33698,
"Marion",90066,
"Mitcham",63531,
"Onkaparinga",168044,
"Charles Sturt",108695,
"Port Adelaide - West",57964,
"West Torrens",61086,
"Barossa",35492,
"Lower North",22548,
"Mid North",27269,
"Yorke Peninsula",25204,
"Eyre Peninsula and South West",56611,
"Outback - North and East",26202,
"Fleurieu - Kangaroo Island",50396,
"Limestone Coast",64789,
"Murray and Mallee",69553,
"Migratory - Offshore - Shipping (SA)",8,
"No Usual Address (SA)",2862,
"Augusta - Margaret River - Busselton",50875,
"Bunbury",102642,
