Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"State/Territory (STE)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"State/Territory (STE)",
"1",6549174,
"2",4932422,
"3",3904531,
"4",1514340,
"5",1959087,
"6",476481,
"7",192899,
"8",324034,
"9",2320,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
