Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"LGA (UR)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"LGA (UR)",
"LGA10050",56093,
"LGA10180",29124,
"LGA10250",46296,
"LGA10300",2208,
"LGA10470",43567,
"LGA10500",175184,
"LGA10550",35942,
"LGA10600",13253,
"LGA10650",8665,
"LGA10750",396776,
"LGA10800",5547,
"LGA10850",7497,
"LGA10900",78121,
"LGA10950",2467,
"LGA11150",2340,
"LGA11200",1356,
"LGA11250",17588,
"LGA11300",40217,
"LGA11350",36116,
"LGA11400",13766,
"LGA11450",119325,
"LGA11500",176519,
"LGA11520",89177,
"LGA11570",371006,
"LGA11600",2866,
"LGA11650",346596,
"LGA11700",1725,
"LGA11720",63632,
"LGA11730",54115,
"LGA11750",4059,
"LGA11800",78759,
"LGA12000",4385,
"LGA12150",3732,
"LGA12160",11403,
"LGA12350",12724,
"LGA12380",235439,
"LGA12390",54922,
"LGA12700",9541,
"LGA12730",8456,
"LGA12750",40593,
"LGA12850",208475,
"LGA12870",12899,
"LGA12900",9319,
"LGA12930",152274,
"LGA12950",4295,
"LGA13010",8931,
"LGA13310",32053,
"LGA13340",11157,
"LGA13450",27086,
"LGA13550",12929,
"LGA13660",4910,
"LGA13800",67207,
"LGA13850",2882,
"LGA13910",19254,
"LGA14000",151811,
"LGA14100",13559,
"LGA14170",182818,
"LGA14220",17853,
"LGA14300",6415,
"LGA14350",30688,
"LGA14400",23074,
"LGA14500",124076,
"LGA14550",9359,
"LGA14600",6094,
"LGA14650",213845,
"LGA14700",39438,
"LGA14750",11452,
"LGA14850",44334,
"LGA14870",20842,
"LGA14900",233446,
"LGA14920",7551,
"LGA14950",3319,
"LGA15050",90226,
"LGA15240",96579,
"LGA15270",25713,
"LGA15300",12751,
"LGA15350",28329,
"LGA15520",12850,
"LGA15560",3353,
"LGA15650",16357,
"LGA15700",20407,
"LGA15750",12703,
"LGA15800",5698,
"LGA15850",6360,
"LGA15900",168873,
"LGA15950",68950,
"LGA15990",263554,
"LGA16100",5580,
"LGA16150",43512,
"LGA16200",14361,
"LGA16260",256729,
"LGA16350",217664,
"LGA16380",86762,
"LGA16400",75276,
"LGA16490",63304,
"LGA16550",134252,
"LGA16610",23565,
"LGA16700",129123,
"LGA16900",76271,
"LGA16950",108531,
"LGA17000",24577,
"LGA17040",21666,
"LGA17080",14891,
"LGA17100",45593,
"LGA17150",230211,
"LGA17200",211632,
"LGA17310",63070,
"LGA17350",6034,
"LGA17400",6810,
"LGA17420",191876,
"LGA17550",97392,
"LGA17620",14229,
"LGA17640",8514,
"LGA17650",5971,
"LGA17750",67609,
"LGA17850",3016,
"LGA17900",5253,
"LGA17950",2550,
"LGA18020",9225,
"LGA18050",68605,
"LGA18100",3608,
"LGA18200",7453,
"LGA18250",75613,
"LGA18350",52709,
"LGA18400",53961,
"LGA18450",214564,
"LGA18500",53496,
"LGA18710",17281,
"LGA19399",1016,
"LGA19499",11371,
"LGA19799",0,
"LGA20110",13235,
"LGA20260",11880,
"LGA20570",113763,
"LGA20660",126236,
"LGA20740",40789,
"LGA20830",57626,
"LGA20910",101306,
"LGA21010",14528,
"LGA21110",167900,
"LGA21180",194618,
"LGA21270",6178,
"LGA21370",38735,
"LGA21450",118194,
"LGA21610",365239,
"LGA21670",13483,
"LGA21750",22423,
"LGA21830",16115,
"LGA21890",148570,
"LGA22110",48715,
"LGA22170",139281,
"LGA22250",10683,
"LGA22310",148908,
"LGA22410",20152,
"LGA22490",24985,
"LGA22620",121470,
"LGA22670",158208,
"LGA22750",271057,
"LGA22830",68409,
"LGA22910",16604,
"LGA22980",5698,
"LGA23110",91322,
"LGA23190",20429,
"LGA23270",243901,
"LGA23350",17368,
"LGA23430",158129,
"LGA23670",159103,
"LGA23810",77318,
"LGA23940",7759,
"LGA24130",51458,
"LGA24210",124700,
"LGA24250",10178,
"LGA24330",85209,
"LGA24410",115043,
"LGA24600",149615,
"LGA24650",178960,
"LGA24780",56972,
"LGA24850",49460,
"LGA24900",30522,
"LGA24970",190397,
"LGA25060",121851,
"LGA25150",37632,
"LGA25250",171357,
"LGA25340",168948,
"LGA25430",20253,
"LGA25490",17374,
"LGA25620",15197,
"LGA25710",62895,
"LGA25810",11948,
"LGA25900",101942,
"LGA25990",7671,
"LGA26080",3276,
"LGA26170",30577,
"LGA26260",16588,
"LGA26350",104703,
"LGA26430",11455,
"LGA26490",37694,
"LGA26610",21403,
"LGA26670",6223,
"LGA26700",29808,
"LGA26730",35406,
"LGA26810",45639,
"LGA26890",4006,
"LGA26980",169346,
"LGA27070",229396,
"LGA27170",43253,
"LGA27260",292011,
"LGA27350",90114,
"LGA27450",156068,
"LGA27630",6556,
"LGA29399",955,
"LGA29499",9089,
"LGA29799",38,
"LGA30250",1101,
"LGA30300",4320,
"LGA30370",14513,
"LGA30410",2849,
"LGA30450",308,
"LGA30760",1905,
"LGA30900",458,
"LGA31000",1242825,
"LGA31750",337,
"LGA31820",99215,
"LGA31900",16692,
"LGA31950",419,
"LGA32080",166943,
"LGA32250",2090,
"LGA32260",29157,
"LGA32270",27836,
"LGA32310",11794,
"LGA32330",1194,
"LGA32450",3644,
"LGA32500",4511,
"LGA32600",266,
"LGA32750",266,
"LGA32770",1387,
"LGA32810",12337,
"LGA33100",714,
"LGA33200",1500,
"LGA33220",111032,
"LGA33360",63515,
"LGA33430",625087,
"LGA33610",10310,
"LGA33620",53242,
"LGA33800",10920,
"LGA33830",976,
"LGA33960",229208,
"LGA33980",22046,
"LGA34420",1079,
"LGA34530",39398,
"LGA34570",640,
"LGA34580",41101,
"LGA34590",345098,
"LGA34710",3647,
"LGA34770",121691,
"LGA34800",836,
"LGA34830",432,
"LGA34860",12825,
"LGA34880",22858,
"LGA35010",476340,
"LGA35250",1025,
"LGA35300",18727,
"LGA35600",3971,
"LGA35670",883,
"LGA35740",56298,
"LGA35760",10068,
"LGA35780",2781,
"LGA35790",2098,
"LGA35800",1679,
"LGA36070",611,
"LGA36150",698,
"LGA36250",159222,
"LGA36300",761,
"LGA36370",81968,
"LGA36510",42984,
"LGA36580",25057,
"LGA36630",32996,
"LGA36660",36290,
"LGA36720",342541,
"LGA36820",26244,
"LGA36910",173204,
"LGA36950",3421,
"LGA36960",4124,
"LGA37010",192768,
"LGA37300",4100,
"LGA37310",33843,
"LGA37340",37152,
"LGA37400",1129,
"LGA37550",1019,
"LGA37570",276,
"LGA37600",2505,
"LGA39499",14670,
"LGA39799",183,
"LGA40070",25026,
"LGA40120",40879,
"LGA40150",9835,
"LGA40220",28730,
"LGA40250",2333,
"LGA40310",25066,
"LGA40430",2619,
"LGA40520",10484,
"LGA40700",46030,
"LGA40910",54800,
"LGA41010",3505,
"LGA41060",121840,
"LGA41140",9187,
"LGA41190",1742,
"LGA41330",1566,
"LGA41560",15050,
"LGA41750",1014,
"LGA41830",1646,
"LGA41960",1293,
"LGA42030",24988,
"LGA42110",4060,
"LGA42250",8636,
"LGA42600",37543,
"LGA42750",4894,
"LGA43080",1007,
"LGA43220",1037,
"LGA43360",2326,
"LGA43650",15792,
"LGA43710",5910,
"LGA43790",11666,
"LGA44000",96,
"LGA44060",94721,
"LGA44210",9164,
"LGA44340",67617,
"LGA44550",39217,
"LGA44620",26878,
"LGA44830",2862,
"LGA45040",21644,
"LGA45090",8686,
"LGA45120",4559,
"LGA45290",37487,
"LGA45340",175204,
"LGA45400",874,
"LGA45540",1638,
"LGA45680",99190,
"LGA45890",132400,
"LGA46090",13829,
"LGA46300",14404,
"LGA46450",17282,
"LGA46510",22272,
"LGA46670",9783,
"LGA46860",1542,
"LGA46970",3976,
"LGA47140",145806,
"LGA47290",1979,
"LGA47490",2165,
"LGA47630",6891,
"LGA47700",101174,
"LGA47800",5463,
"LGA47910",2817,
"LGA47980",38641,
"LGA48050",16139,
"LGA48130",6780,
"LGA48260",8023,
"LGA48340",11888,
"LGA48410",61699,
"LGA48540",21244,
"LGA48640",1136,
"LGA48750",5834,
"LGA48830",11598,
"LGA49399",3006,
"LGA49499",3377,
"LGA49799",12,
"LGA50080",38763,
"LGA50210",94184,
"LGA50250",7391,
"LGA50280",16791,
"LGA50350",15932,
"LGA50420",69283,
"LGA50490",42257,
"LGA50560",1694,
"LGA50630",1705,
"LGA50770",1834,
"LGA50840",5238,
"LGA50910",929,
"LGA50980",16959,
"LGA51080",1046,
"LGA51120",979,
