Australian Bureau of Statistics

"2021 Census - counting persons, place of usual residence"
"SA2 (UR)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"


"SA2 (UR)",
"101021007",4343,
"101021008",8517,
"101021009",11342,
"101021010",5085,
"101021012",12744,
"101021610",6224,
"101021611",16539,
"101031013",2454,
"101031014",6761,
"101031015",3472,
"101031016",8035,
"101041017",8581,
"101041018",8938,
"101041019",8872,
"101041020",9557,
"101041021",3792,
"101041022",43,
"101041023",3425,
"101041024",3525,
"101041025",11513,
"101041026",8600,
"101041027",9888,
"101051539",24565,
"101051540",13839,
"101061541",6763,
"101061542",12713,
"101061543",11004,
"101061544",7677,
"102011028",7513,
"102011029",11042,
"102011030",4716,
"102011031",14758,
"102011032",21204,
"102011033",6485,
"102011034",7615,
"102011035",7157,
"102011036",8205,
"102011037",6571,
"102011038",7160,
"102011039",14849,
"102011040",24697,
"102011041",10675,
"102011042",14346,
"102011043",11423,
"102021044",22825,
"102021045",11290,
"102021046",9728,
"102021047",16006,
"102021048",22362,
"102021049",3420,
"102021050",10960,
"102021051",4928,
"102021052",6492,
"102021053",15839,
"102021054",9909,
"102021055",5229,
"102021056",20051,
"102021057",9120,
"103011059",12330,
"103011060",6909,
"103011061",4834,
"103011612",10752,
"103011613",14313,
"103021062",6372,
"103021063",9273,
"103021064",5716,
"103021065",10020,
"103021066",3597,
"103021067",10919,
"103021068",3262,
"103021069",5525,
"103031070",12385,
"103031071",8448,
"103031072",12563,
"103031073",3398,
"103031074",11072,
"103031075",0,
"103041076",7517,
"103041077",19023,
"103041078",22895,
"103041079",11830,
"104011080",19255,
"104011081",16875,
"104011082",17533,
"104021083",6168,
"104021084",18099,
"104021085",11305,
"104021086",3950,
"104021087",3250,
"104021088",10262,
"104021089",20066,
"104021090",4907,
"104021091",14463,
"105011092",3428,
"105011093",4129,
"105011094",3926,
"105011095",4591,
"105011096",5534,
"105021097",17588,
"105021098",2288,
"105031099",7921,
"105031100",10633,
"105031101",19628,
"105031102",10317,
"105031103",5963,
"105031104",4398,
"105031105",6458,
"105031106",8769,
"106011107",12770,
"106011108",23495,
"106011109",9145,
"106011110",9541,
"106011111",20631,
"106011112",17018,
"106011113",5332,
"106021114",8611,
"106021116",8727,
"106021614",17981,
"106021615",17730,
"106021616",7976,
"106021617",10091,
"106021618",15899,
"106031119",6449,
"106031120",6887,
"106031121",21972,
"106031122",14588,
"106031123",5693,
"106031124",5804,
"106031125",15020,
"106041126",12272,
"106041127",4083,
"106041128",6035,
"106041129",8194,
"107011131",24195,
"107011132",12155,
"107011133",5,
"107011134",15280,
"107011545",14200,
"107011546",9740,
"107011547",4239,
"107021135",9,
"107031136",19026,
"107031137",6920,
"107031138",8786,
"107031139",6063,
"107031140",8136,
"107031141",19341,
"107031142",10590,
"107031143",20397,
"107041144",21519,
"107041145",16041,
"107041146",22773,
"107041147",9135,
"107041148",11957,
"107041150",20761,
"107041548",16020,
"107041549",16551,
"108011151",5235,
"108011152",14709,
"108011153",6988,
