Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"State/Territory (STE)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"State/Territory (STE)",
"New South Wales",6549174,
"Victoria",4932422,
"Queensland",3904531,
"South Australia",1514340,
"Western Australia",1959087,
"Tasmania",476481,
"Northern Territory",192899,
"Australian Capital Territory",324034,
"Other Territories",2320,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
