"SA2_NAME","3_yr_olds_preschool_attendance_2014","4_yr_olds_preschool_attendance_2014","5_yr_olds_preschool_attendance_2014","3_yr_olds_preschool_attendance_2015","4_yr_olds_preschool_attendance_2015","5_yr_olds_preschool_attendanc_2015","6_yr_olds_preschool_attendance_2015","3_yr_olds_preschool_attendance_2016","4_yr_olds_preschool_attendance_2016","5_yr_olds_preschool_attendance_2016","6_yr_olds_preschool_attendance_2016","3_yr_olds_preschool_attendance_2017","4_yr_olds_preschool_attendance_2017","5_yr_olds_preschool_attendance_2017","6_yr_olds_preschool_attendance_2017","3_yr_olds_preschool_attendance_2018","4_yr_olds_preschool_attendance_2018","5_yr_olds_preschool_attendance_2018","6_yr_olds_preschool_attendance_2018","3_yr_olds_preschool_attendance_2019","4_yr_olds_preschool_attendance_2019","5_yr_olds_preschool_attendance_2019","6_yr_olds_preschool_attendance_2019","3_yr_olds_preschool_attendance_2020","4_yr_olds_preschool_attendance_2020","5_yr_olds_preschool_attendance_2020","6_yr_olds_preschool_attendance_2020","3_yr_olds_preschool_attendance_2021","4_yr_olds_preschool_attendance_2021","5_yr_olds_preschool_attendance_2021","6_yr_olds_preschool_attendance_2021"
"Statistical area level 2 (SA2) of child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goulburn",0,213,36,0,220,17,0,0,266,16,0,0,264,21,0,0,41,3,0,0,52,0,0,0,44,3,0,0,54,0,0
"Goulburn Region",0,97,12,0,84,8,0,0,123,10,0,0,95,7,0,0,90,8,0,0,82,18,0,0,82,7,0,0,79,14,0
"Yass",0,80,3,0,91,13,0,0,72,3,0,0,100,9,0,0,118,5,0,0,110,18,0,0,113,29,0,0,98,12,0
"Yass Region",0,105,15,0,134,18,0,0,135,20,0,0,116,24,0,0,46,3,0,0,52,9,0,0,54,9,0,0,54,7,0
"Young",0,123,12,0,159,14,0,0,124,3,0,0,132,11,0,0,227,21,0,0,243,30,0,0,271,23,0,0,303,46,0
"Young Region",0,83,21,0,71,3,0,0,64,3,0,0,78,7,0,0,146,12,0,0,155,21,0,0,168,10,0,0,140,14,0
"Braidwood",0,51,3,0,41,3,0,0,36,7,0,0,39,3,0,0,28,0,0,0,40,6,0,0,18,0,0,0,49,3,0
"Karabar",0,95,11,0,96,10,0,0,78,7,0,0,87,5,0,0,72,6,0,0,83,5,0,0,67,5,0,0,81,8,0
"Queanbeyan",0,90,12,0,123,12,0,0,122,15,0,0,110,8,0,0,24,3,0,0,21,0,0,0,18,0,0,0,0,0,0
"Queanbeyan - East",0,29,7,0,58,7,0,0,48,7,0,0,52,3,0,0,68,0,0,0,49,7,0,0,63,0,0,0,57,3,0
"Queanbeyan Region",0,175,24,0,190,15,0,0,182,14,0,0,213,14,0,0,82,4,0,0,76,10,0,0,77,9,0,0,70,10,0
"Queanbeyan West - Jerrabomberra",0,170,14,0,183,20,0,0,168,8,0,0,166,16,0,0,66,3,0,0,69,6,0,0,58,5,0,0,69,3,0
"Bombala",0,21,3,0,29,5,0,0,28,0,0,0,35,0,0,0,79,7,0,0,78,12,0,0,81,11,0,0,82,9,0
"Cooma",0,86,5,0,65,0,0,0,96,6,0,0,88,16,0,0,82,5,0,0,76,16,0,0,80,4,0,0,78,9,0
"Cooma Region",0,33,4,0,31,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,26,0,0,0,28,0,0,0,20,0,0
"Jindabyne - Berridale",0,89,5,0,55,15,0,0,63,4,0,0,78,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batemans Bay",0,74,13,0,81,14,0,0,75,9,0,0,69,9,0,0,38,0,0,0,33,8,0,0,23,7,0,0,37,3,0
"Batemans Bay - South",0,70,12,0,74,10,0,0,70,14,0,0,65,4,0,0,24,4,0,0,31,0,0,0,18,5,0,0,24,3,0
"Bega - Tathra",0,101,9,0,91,9,0,0,97,10,0,0,91,8,0,0,86,6,0,0,75,9,0,0,84,0,0,0,67,8,0
"Bega-Eden Hinterland",0,76,10,0,70,6,0,0,84,6,0,0,74,3,0,0,56,0,0,0,65,3,0,0,55,5,0,0,75,3,0
