DZN_CODE_2011,DZN_NAME_2011,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110018063,Goulburn,115390004,0.5581395,Poor,Good,0
110018063,Goulburn,115390005,0.4418605,Poor,Good,0
110018064,Goulburn,115390003,1,Good,Good,0
110018065,Goulburn,115390002,1,Good,Good,0
110028068,Goulburn Region,115400004,1,Good,Good,0
110028069,Goulburn Region,115400005,1,Good,Good,0
110028070,Goulburn Region,115400006,1,Good,Good,0
110028071,Goulburn Region,115400002,1,Good,Good,0
110028072,Goulburn Region,115400007,1,Good,Good,0
110028073,Goulburn Region,115400001,1,Good,Good,0
110028074,Goulburn Region,115400003,1,Good,Good,0
110038049,Yass,115410001,1,Good,Good,0
110038050,Yass,115410002,1,Good,Good,0
110048053,Yass Region,115420008,1,Good,Good,0
110048054,Yass Region,115420002,1,Good,Good,0
110048055,Yass Region,115420004,1,Good,Good,0
110048056,Yass Region,115420003,1,Good,Good,0
110048057,Yass Region,115420005,1,Good,Good,0
110048058,Yass Region,115420001,1,Good,Good,0
110048059,Yass Region,115420006,1,Good,Good,0
110048060,Yass Region,115420007,1,Good,Good,0
110058039,Young,115430002,1,Good,Good,0
110058040,Young,115430001,1,Good,Good,0
110068043,Young Region,115440004,1,Good,Good,0
110068044,Young Region,115440003,1,Good,Good,0
110068045,Young Region,115440002,1,Good,Good,0
110068046,Young Region,115440001,1,Good,Good,0
110078098,Braidwood,110078098,1,Good,Good,0
110078099,Braidwood,110078099,1,Good,Good,0
110078100,Braidwood,110078100,1,Good,Good,0
110088084,Karabar,110088084,1,Good,Good,0
110098077,Queanbeyan,110090001,0.3958333,Poor,Good,0
110098077,Queanbeyan,110090002,0.3541667,Poor,Good,0
110098077,Queanbeyan,110090003,0.25,Poor,Good,0
110108087,Queanbeyan - East,110108087,1,Good,Good,0
110118090,Queanbeyan Region,116100001,0.0408163,Poor,Good,0
110118090,Queanbeyan Region,116110003,0.9591837,Good,Good,0
110118091,Queanbeyan Region,116110002,1,Good,Good,0
110118092,Queanbeyan Region,116110001,1,Good,Good,0
110118093,Queanbeyan Region,116110004,1,Good,Good,0
110118094,Queanbeyan Region,116110005,1,Good,Good,0
110118095,Queanbeyan Region,116110006,0.9903121,Good,Good,0
110118095,Queanbeyan Region,810891340,0.0096879,Good,Good,1
110128080,Queanbeyan West - Jerrabomberra,110120002,1,Good,Good,0
110128081,Queanbeyan West - Jerrabomberra,110120001,1,Good,Good,0
110138120,Bombala,110138120,1,Good,Good,0
110138121,Bombala,110138121,1,Good,Good,0
110138122,Bombala,110138122,1,Good,Good,0
110138123,Bombala,110138123,1,Good,Good,0
110148117,Cooma,110148117,1,Good,Good,0
110158112,Cooma Region,110158116,1,Good,Good,0
110158113,Cooma Region,110158115,1,Good,Good,0
110158114,Cooma Region,110158114,1,Good,Good,0
110168103,Jindabyne - Berridale,110168103,1,Good,Good,0
110168104,Jindabyne - Berridale,110168104,1,Good,Good,0
110168105,Jindabyne - Berridale,110168105,1,Good,Good,0
110168106,Jindabyne - Berridale,110168106,1,Good,Good,0
110168107,Jindabyne - Berridale,110168107,1,Good,Good,0
110168108,Jindabyne - Berridale,110168108,1,Good,Good,0
110168109,Jindabyne - Berridale,110168109,1,Good,Good,0
110178126,Batemans Bay,110178126,1,Good,Good,0
110188129,Batemans Bay - South,110188129,1,Good,Good,0
110198157,Bega - Tathra,110198157,1,Good,Good,0
110198158,Bega - Tathra,110198158,1,Good,Good,0
110198159,Bega - Tathra,110198159,1,Good,Good,0
110208162,Bega-Eden Hinterland,110208162,1,Good,Good,0
110208163,Bega-Eden Hinterland,110208163,1,Good,Good,0
110208164,Bega-Eden Hinterland,110208164,1,Good,Good,0
110208165,Bega-Eden Hinterland,110208165,1,Good,Good,0
110208166,Bega-Eden Hinterland,110208166,1,Good,Good,0
110208167,Bega-Eden Hinterland,110200001,1,Good,Good,0
110208168,Bega-Eden Hinterland,110200001,1,Good,Good,0
110218132,Broulee - Tomakin,110218132,1,Good,Good,0
110228147,Deua - Wadbilliga,110228147,1,Good,Good,0
110238175,Eden,110238175,1,Good,Good,0
110248141,Eurobodalla Hinterland,110248141,1,Good,Good,0
110248142,Eurobodalla Hinterland,110248142,1,Good,Good,0
110248143,Eurobodalla Hinterland,110248143,1,Good,Good,0
110248144,Eurobodalla Hinterland,110248144,1,Good,Good,0
110258171,Merimbula - Tura Beach,110258171,1,Good,Good,0
110258172,Merimbula - Tura Beach,110258172,1,Good,Good,0
110268135,Moruya - Tuross Head,110268135,1,Good,Good,0
110268136,Moruya - Tuross Head,110268136,1,Good,Good,0
110268137,Moruya - Tuross Head,110268137,1,Good,Good,0
110268138,Moruya - Tuross Head,110268138,1,Good,Good,0
110278150,Narooma - Bermagui,110278150,1,Good,Good,0
110278151,Narooma - Bermagui,110278151,1,Good,Good,0
110278152,Narooma - Bermagui,110278152,1,Good,Good,0
110278153,Narooma - Bermagui,110278153,1,Good,Good,0
110278154,Narooma - Bermagui,110278154,1,Good,Good,0
110286283,Avoca Beach - Copacabana,110286283,1,Good,Good,0
110286284,Avoca Beach - Copacabana,110286284,1,Good,Good,0
110296249,Box Head - MacMasters Beach,110296249,1,Good,Good,0
110296250,Box Head - MacMasters Beach,110296250,1,Good,Good,0
110296251,Box Head - MacMasters Beach,110296251,1,Good,Good,0
110296252,Box Head - MacMasters Beach,110296252,1,Good,Good,0
110296253,Box Head - MacMasters Beach,110296253,1,Good,Good,0
110306039,Calga - Kulnura,110306039,1,Good,Good,0
110306040,Calga - Kulnura,110306040,1,Good,Good,0
110306041,Calga - Kulnura,110306041,1,Good,Good,0
110306042,Calga - Kulnura,110306042,1,Good,Good,0
110306043,Calga - Kulnura,110300001,1,Good,Good,0
110306044,Calga - Kulnura,110306044,1,Good,Good,0
110306045,Calga - Kulnura,110300001,1,Good,Good,0
110316200,Erina - Green Point,110316200,1,Good,Good,0
110316201,Erina - Green Point,110316201,1,Good,Good,0
110316202,Erina - Green Point,110316201,0.0217391,Good,Good,0
110316202,Erina - Green Point,110316202,0.9347826,Good,Good,0
110316202,Erina - Green Point,110316203,0.0434783,Good,Good,0
