SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10101100101,120,Hume,1,Good,Good,0
10101100102,120,Hume,1,Good,Good,0
10101100103,120,Hume,1,Good,Good,0
10101100104,120,Hume,1,Good,Good,0
10101100105,120,Hume,1,Good,Good,0
10101100106,120,Hume,1,Good,Good,0
10101100107,120,Hume,1,Good,Good,0
10101100108,120,Hume,1,Good,Good,0
10101100109,120,Hume,1,Good,Good,0
10101100110,120,Hume,1,Good,Good,0
10101100111,120,Hume,1,Good,Good,0
10101100112,120,Hume,1,Good,Good,0
10101100113,120,Hume,1,Good,Good,0
10101100114,120,Hume,1,Good,Good,0
10101100115,120,Hume,1,Good,Good,0
10101100116,120,Hume,1,Good,Good,0
10101100117,120,Hume,1,Good,Good,0
10101100118,120,Hume,1,Good,Good,0
10101100119,120,Hume,1,Good,Good,0
10101100120,120,Hume,1,Good,Good,0
10101100121,120,Hume,1,Good,Good,0
10101100122,120,Hume,1,Good,Good,0
10101100123,120,Hume,1,Good,Good,0
10101100124,120,Hume,1,Good,Good,0
10101100125,120,Hume,1,Good,Good,0
10101100126,120,Hume,1,Good,Good,0
10101100127,120,Hume,1,Good,Good,0
10101100128,120,Hume,1,Good,Good,0
10101100129,120,Hume,1,Good,Good,0
10101100130,120,Hume,1,Good,Good,0
10101100131,120,Hume,1,Good,Good,0
10101100132,120,Hume,1,Good,Good,0
10101100133,120,Hume,1,Good,Good,0
10101100134,120,Hume,1,Good,Good,0
10101100135,120,Hume,1,Good,Good,0
10101100136,120,Hume,1,Good,Good,0
10101100137,120,Hume,1,Good,Good,0
10101100138,120,Hume,1,Good,Good,0
10101100139,120,Hume,1,Good,Good,0
10101100140,120,Hume,1,Good,Good,0
10101100141,120,Hume,1,Good,Good,0
10101100142,120,Hume,1,Good,Good,0
10101100143,120,Hume,1,Good,Good,0
10101100144,120,Hume,1,Good,Good,0
10101100145,120,Hume,1,Good,Good,0
10101100146,120,Hume,1,Good,Good,0
10101100147,120,Hume,1,Good,Good,0
10101100148,120,Hume,1,Good,Good,0
10101100149,120,Hume,1,Good,Good,0
10101100150,120,Hume,1,Good,Good,0
10101100151,120,Hume,1,Good,Good,0
10101100152,120,Hume,1,Good,Good,0
10101100153,120,Hume,1,Good,Good,0
10101100154,120,Hume,1,Good,Good,0
10101100155,120,Hume,1,Good,Good,0
10101100156,120,Hume,1,Good,Good,0
10101100157,120,Hume,1,Good,Good,0
10101100158,120,Hume,1,Good,Good,0
10101100159,120,Hume,1,Good,Good,0
10101100160,120,Hume,1,Good,Good,0
10101100161,120,Hume,1,Good,Good,0
10101100201,120,Hume,1,Good,Good,0
10101100202,120,Hume,1,Good,Good,0
10101100203,120,Hume,1,Good,Good,0
10101100204,120,Hume,1,Good,Good,0
10101100205,120,Hume,1,Good,Good,0
10101100206,120,Hume,1,Good,Good,0
10101100207,120,Hume,1,Good,Good,0
10101100208,120,Hume,1,Good,Good,0
10101100209,120,Hume,1,Good,Good,0
10101100210,120,Hume,1,Good,Good,0
10101100211,120,Hume,1,Good,Good,0
10101100212,120,Hume,1,Good,Good,0
10101100213,120,Hume,1,Good,Good,0
10101100214,120,Hume,1,Good,Good,0
10101100215,120,Hume,1,Good,Good,0
10101100216,120,Hume,1,Good,Good,0
10101100217,120,Hume,1,Good,Good,0
10101100218,120,Hume,1,Good,Good,0
10101100219,120,Hume,1,Good,Good,0
10101100220,120,Hume,1,Good,Good,0
10101100221,120,Hume,1,Good,Good,0
10101100222,120,Hume,1,Good,Good,0
10101100223,120,Hume,1,Good,Good,0
10101100224,120,Hume,1,Good,Good,0
10101100225,120,Hume,1,Good,Good,0
10101100226,120,Hume,1,Good,Good,0
10101100227,113,Eden-Monaro,0.3688628,Good,Good,0
10101100227,120,Hume,0.6311372,Good,Good,0
10101100228,120,Hume,1,Good,Good,0
10101100229,120,Hume,1,Good,Good,0
10101100230,120,Hume,1,Good,Good,0
10101100231,120,Hume,1,Good,Good,0
10101100232,120,Hume,1,Good,Good,0
10101100233,120,Hume,1,Good,Good,0
10101100301,113,Eden-Monaro,1,Good,Good,0
10101100302,113,Eden-Monaro,1,Good,Good,0
10101100303,113,Eden-Monaro,1,Good,Good,0
10101100304,113,Eden-Monaro,1,Good,Good,0
10101100305,113,Eden-Monaro,1,Good,Good,0
10101100306,113,Eden-Monaro,1,Good,Good,0
10101100307,113,Eden-Monaro,1,Good,Good,0
10101100308,113,Eden-Monaro,1,Good,Good,0
10101100309,113,Eden-Monaro,1,Good,Good,0
10101100310,113,Eden-Monaro,1,Good,Good,0
10101100311,113,Eden-Monaro,1,Good,Good,0
10101100312,113,Eden-Monaro,1,Good,Good,0
10101100313,113,Eden-Monaro,1,Good,Good,0
10101100314,113,Eden-Monaro,1,Good,Good,0
10101100401,120,Hume,1,Good,Good,0
10101100402,120,Hume,1,Good,Good,0
10101100403,120,Hume,1,Good,Good,0
10101100404,113,Eden-Monaro,1,Good,Good,0
10101100405,113,Eden-Monaro,1,Good,Good,0
