SA1_MAINCODE_2011,SA1_UID_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10101100101,1,13310,Goulburn Mulwaree,1,Good,Good,0
10101100102,2,13310,Goulburn Mulwaree,1,Good,Good,0
10101100103,3,13310,Goulburn Mulwaree,1,Good,Good,0
10101100104,4,13310,Goulburn Mulwaree,1,Good,Good,0
10101100105,5,13310,Goulburn Mulwaree,1,Good,Good,0
10101100106,6,13310,Goulburn Mulwaree,1,Good,Good,0
10101100107,7,13310,Goulburn Mulwaree,1,Good,Good,0
10101100108,8,13310,Goulburn Mulwaree,1,Good,Good,0
10101100109,9,13310,Goulburn Mulwaree,1,Good,Good,0
10101100110,10,13310,Goulburn Mulwaree,1,Good,Good,0
10101100111,11,13310,Goulburn Mulwaree,1,Good,Good,0
10101100112,12,13310,Goulburn Mulwaree,1,Good,Good,0
10101100113,13,13310,Goulburn Mulwaree,1,Good,Good,0
10101100114,14,13310,Goulburn Mulwaree,1,Good,Good,0
10101100115,15,13310,Goulburn Mulwaree,1,Good,Good,0
10101100116,16,13310,Goulburn Mulwaree,1,Good,Good,0
10101100117,17,13310,Goulburn Mulwaree,1,Good,Good,0
10101100118,18,13310,Goulburn Mulwaree,1,Good,Good,0
10101100119,19,13310,Goulburn Mulwaree,1,Good,Good,0
10101100120,20,13310,Goulburn Mulwaree,1,Good,Good,0
10101100121,21,13310,Goulburn Mulwaree,1,Good,Good,0
10101100122,22,13310,Goulburn Mulwaree,1,Good,Good,0
10101100123,23,13310,Goulburn Mulwaree,1,Good,Good,0
10101100124,24,13310,Goulburn Mulwaree,1,Good,Good,0
10101100125,25,13310,Goulburn Mulwaree,1,Good,Good,0
10101100126,26,13310,Goulburn Mulwaree,1,Good,Good,0
10101100127,27,13310,Goulburn Mulwaree,1,Good,Good,0
10101100128,28,13310,Goulburn Mulwaree,1,Good,Good,0
10101100129,29,13310,Goulburn Mulwaree,1,Good,Good,0
10101100130,30,13310,Goulburn Mulwaree,1,Good,Good,0
10101100131,31,13310,Goulburn Mulwaree,1,Good,Good,0
10101100132,32,13310,Goulburn Mulwaree,1,Good,Good,0
10101100133,33,13310,Goulburn Mulwaree,1,Good,Good,0
10101100134,34,13310,Goulburn Mulwaree,1,Good,Good,0
10101100135,35,13310,Goulburn Mulwaree,1,Good,Good,0
10101100136,36,13310,Goulburn Mulwaree,1,Good,Good,0
10101100137,37,13310,Goulburn Mulwaree,1,Good,Good,0
10101100138,38,13310,Goulburn Mulwaree,1,Good,Good,0
10101100139,39,13310,Goulburn Mulwaree,1,Good,Good,0
10101100140,40,13310,Goulburn Mulwaree,1,Good,Good,0
10101100141,41,13310,Goulburn Mulwaree,1,Good,Good,0
10101100142,42,13310,Goulburn Mulwaree,1,Good,Good,0
10101100143,43,13310,Goulburn Mulwaree,1,Good,Good,0
10101100144,44,13310,Goulburn Mulwaree,1,Good,Good,0
10101100145,45,13310,Goulburn Mulwaree,1,Good,Good,0
10101100146,46,13310,Goulburn Mulwaree,1,Good,Good,0
10101100147,47,13310,Goulburn Mulwaree,1,Good,Good,0
10101100148,48,13310,Goulburn Mulwaree,1,Good,Good,0
10101100149,49,13310,Goulburn Mulwaree,1,Good,Good,0
10101100150,50,13310,Goulburn Mulwaree,1,Good,Good,0
10101100151,51,13310,Goulburn Mulwaree,1,Good,Good,0
