SA4_CODE_2011,SA4_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Capital Region,10,Major Cities of Australia,0.182891,Good,Acceptable,0
101,Capital Region,11,Inner Regional Australia,0.5341272,Poor,Acceptable,0
101,Capital Region,12,Outer Regional Australia,0.2829818,Poor,Acceptable,0
102,Central Coast,10,Major Cities of Australia,0.9801557,Good,Acceptable,0
102,Central Coast,11,Inner Regional Australia,0.0198443,Poor,Acceptable,0
103,Central West,11,Inner Regional Australia,0.6876714,Poor,Acceptable,0
103,Central West,12,Outer Regional Australia,0.2943963,Poor,Acceptable,0
103,Central West,13,Remote Australia,0.0179324,Poor,Acceptable,0
104,Coffs Harbour - Grafton,11,Inner Regional Australia,0.8205907,Poor,Acceptable,0
104,Coffs Harbour - Grafton,12,Outer Regional Australia,0.1794092,Poor,Acceptable,0
104,Coffs Harbour - Grafton,13,Remote Australia,0,Poor,Acceptable,1
105,Far West and Orana,11,Inner Regional Australia,0.3031147,Poor,Acceptable,0
105,Far West and Orana,12,Outer Regional Australia,0.4569663,Poor,Acceptable,0
105,Far West and Orana,13,Remote Australia,0.1725254,Poor,Acceptable,0
105,Far West and Orana,14,Very Remote Australia,0.0673936,Poor,Acceptable,0
106,Hunter Valley exc Newcastle,10,Major Cities of Australia,0.3832239,Good,Acceptable,0
106,Hunter Valley exc Newcastle,11,Inner Regional Australia,0.5866452,Poor,Acceptable,0
106,Hunter Valley exc Newcastle,12,Outer Regional Australia,0.0301309,Poor,Acceptable,0
107,Illawarra,10,Major Cities of Australia,0.9180196,Good,Acceptable,0
107,Illawarra,11,Inner Regional Australia,0.0819804,Poor,Acceptable,0
108,Mid North Coast,11,Inner Regional Australia,0.8207669,Poor,Acceptable,0
108,Mid North Coast,12,Outer Regional Australia,0.177433,Poor,Acceptable,0
108,Mid North Coast,14,Very Remote Australia,0.0018001,Poor,Acceptable,1
109,Murray,11,Inner Regional Australia,0.7752853,Poor,Acceptable,0
109,Murray,12,Outer Regional Australia,0.2065391,Poor,Acceptable,0
