SA2_MAINCODE_2016,SA2_NAME_2016,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,101021007,Braidwood,1,Good,Good,0
101021008,Karabar,101021010,Queanbeyan - East,1.00E-07,Good,Good,1
101021008,Karabar,101021012,Queanbeyan West - Jerrabomberra,1.00E-07,Good,Good,1
101021008,Karabar,101021008,Karabar,0.9999998,Good,Good,0
101021009,Queanbeyan,101021010,Queanbeyan - East,1.00E-07,Good,Good,1
101021009,Queanbeyan,801031113,Canberra East,0.0004836,Good,Good,1
101021009,Queanbeyan,101021009,Queanbeyan,0.9995162,Good,Good,0
101021010,Queanbeyan - East,101021611,Queanbeyan Surrounds,1.00E-07,Good,Good,1
101021010,Queanbeyan - East,101021009,Queanbeyan,1.00E-07,Good,Good,1
101021010,Queanbeyan - East,801031032,Kowen,1.70E-06,Good,Good,1
101021010,Queanbeyan - East,801031115,Majura,1.43E-05,Good,Good,1
101021010,Queanbeyan - East,101021010,Queanbeyan - East,0.9999839,Good,Good,0
101021011,Queanbeyan Region,801031115,Majura,1.00E-07,Good,Good,1
101021011,Queanbeyan Region,801031031,Hume,2.00E-07,Good,Good,1
101021011,Queanbeyan Region,801111141,Namadgi,5.00E-07,Good,Good,1
101021011,Queanbeyan Region,801071089,Tuggeranong,2.50E-06,Good,Good,1
101021011,Queanbeyan Region,801031032,Kowen,3.20E-06,Good,Good,1
101021011,Queanbeyan Region,101021610,Googong,0.0022644,Poor,Good,1
101021011,Queanbeyan Region,101021611,Queanbeyan Surrounds,0.997729,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,801031031,Hume,3.04E-05,Good,Good,1
101021012,Queanbeyan West - Jerrabomberra,801031113,Canberra East,0.0004199,Good,Good,1
101021012,Queanbeyan West - Jerrabomberra,101021012,Queanbeyan West - Jerrabomberra,0.9995496,Good,Good,0
