CD_CODE_2001,POA_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1010101,2715,1,Acceptable,Good,0
1010102,2715,1,Acceptable,Good,0
1010103,2715,0.0212766,Acceptable,Good,0
1010103,2878,0.212766,Acceptable,Good,0
1010103,2711,0.7659574,Good,Good,0
1010104,2715,0.4411765,Acceptable,Good,0
1010104,2737,0.5588235,Acceptable,Good,0
1010105,2878,0.0465116,Acceptable,Good,0
1010105,2711,0.0930233,Good,Good,0
1010105,2715,0.8604651,Acceptable,Good,0
1010106,2737,0.1162791,Acceptable,Good,0
1010106,2711,0.1860465,Good,Good,0
1010106,2715,0.6976744,Acceptable,Good,0
1010107,2737,1,Acceptable,Good,0
1010108,2737,1,Acceptable,Good,0
1010109,2715,1,Acceptable,Good,0
1010110,2715,0.4516129,Acceptable,Good,0
1010110,2711,0.5483871,Good,Good,0
1010201,2734,0.375,Poor,Good,0
1010201,2735,0.625,Poor,Good,0
1010202,2715,0.0204082,Acceptable,Good,0
1010202,2734,0.0816327,Poor,Good,0
1010202,2733,0.2040816,Acceptable,Good,0
1010202,2711,0.6938776,Good,Good,0
1010203,2733,1,Acceptable,Good,0
1010204,2733,0.1470588,Acceptable,Good,0
1010204,2715,0.2941176,Acceptable,Good,0
1010204,2734,0.5588235,Poor,Good,0
1010205,2735,0.125,Poor,Good,0
1010205,2715,0.225,Acceptable,Good,0
1010205,2736,0.65,Acceptable,Good,0
1010206,2715,0.0731707,Acceptable,Good,0
1010206,2736,0.097561,Acceptable,Good,0
1010206,2734,0.3170732,Poor,Good,0
1010206,2735,0.5121951,Poor,Good,0
1010207,2735,0.0212766,Poor,Good,0
1010207,2732,0.0851064,Acceptable,Good,0
1010207,2734,0.893617,Poor,Good,0
1010208,2710,0.0212766,Good,Good,0
1010208,2732,0.2553191,Acceptable,Good,0
1010208,2733,0.7234043,Acceptable,Good,0
1010209,2734,0.0243902,Poor,Good,0
1010209,2732,0.9756098,Acceptable,Good,0
1010210,2732,0.4285714,Acceptable,Good,0
1010210,2710,0.5714286,Good,Good,0
1010211,2710,1,Good,Good,0
1010212,2710,0.2978723,Good,Good,0
1010212,2732,0.7021277,Acceptable,Good,0
1010213,2732,1,Acceptable,Good,0
1010214,2732,1,Acceptable,Good,0
1010215,2736,1,Acceptable,Good,0
1010301,2711,1,Good,Good,0
1010302,2711,1,Good,Good,0
1010303,2711,1,Good,Good,0
1010304,2710,0.097561,Good,Good,0
1010304,2711,0.902439,Good,Good,0
1010305,2710,0.2105263,Good,Good,0
1010305,2711,0.7894737,Good,Good,0
1010306,2711,1,Good,Good,0
1010307,2711,1,Good,Good,0
1010308,2711,1,Good,Good,0
1010309,2711,1,Good,Good,0
1010310,2711,1,Good,Good,0
1010311,2711,1,Good,Good,0
1010401,2878,0.05,Acceptable,Good,0
1010401,2675,0.95,Good,Good,0
1010402,2675,1,Good,Good,0
1010403,2669,0.0333333,Poor,Good,0
1010403,2711,0.0333333,Good,Good,0
1010403,2652,0.3666667,Poor,Good,0
1010403,2675,0.5666667,Good,Good,0
1010404,2711,0.1818182,Good,Good,0
1010404,2878,0.3333333,Acceptable,Good,0
1010404,2675,0.4848485,Good,Good,0
1010405,2669,0.025641,Poor,Good,0
1010405,2675,0.974359,Good,Good,0
1010406,2675,1,Good,Good,0
1010501,2652,0.1282051,Poor,Good,0
1010501,2711,0.8717949,Good,Good,0
1010502,2652,1,Poor,Good,0
1010503,2652,1,Poor,Good,0
1010504,2681,0.0227273,Acceptable,Good,0
1010504,2669,0.3409091,Poor,Good,0
1010504,2652,0.6363636,Poor,Good,0
1010505,2681,0.15,Acceptable,Good,0
1010505,2665,0.35,Acceptable,Good,0
1010505,2669,0.5,Poor,Good,0
1010506,2652,0.2272727,Poor,Good,0
1010506,2680,0.3863636,Good,Good,0
1010506,2711,0.3863636,Good,Good,0
1010601,2733,0.1935484,Acceptable,Good,0
1010601,2710,0.8064516,Good,Good,0
