CD_CODE_2006,CD_CODE_2006,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1010101,1010101,114,Farrer,1,Good,Good,0
1010102,1010102,114,Farrer,1,Good,Good,0
1010103,1010103,114,Farrer,1,Good,Good,0
1010104,1010104,114,Farrer,1,Good,Good,0
1010105,1010105,114,Farrer,1,Good,Good,0
1010106,1010106,114,Farrer,1,Good,Good,0
1010107,1010107,114,Farrer,1,Good,Good,0
1010108,1010108,114,Farrer,1,Good,Good,0
1010109,1010109,114,Farrer,1,Good,Good,0
1010110,1010110,114,Farrer,1,Good,Good,0
1010201,1010201,114,Farrer,1,Good,Good,0
1010202,1010202,114,Farrer,1,Good,Good,0
1010203,1010203,114,Farrer,1,Good,Good,0
1010204,1010204,114,Farrer,1,Good,Good,0
1010205,1010205,114,Farrer,1,Good,Good,0
1010206,1010206,114,Farrer,1,Good,Good,0
1010207,1010207,114,Farrer,1,Good,Good,0
1010208,1010208,114,Farrer,1,Good,Good,0
1010209,1010209,114,Farrer,1,Good,Good,0
1010210,1010210,114,Farrer,1,Good,Good,0
1010211,1010211,114,Farrer,1,Good,Good,0
1010212,1010212,114,Farrer,1,Good,Good,0
1010213,1010213,114,Farrer,1,Good,Good,0
1010214,1010214,114,Farrer,1,Good,Good,0
1010215,1010215,114,Farrer,1,Good,Good,0
1010301,1010301,114,Farrer,1,Good,Good,0
1010302,1010302,114,Farrer,1,Good,Good,0
1010303,1010303,114,Farrer,1,Good,Good,0
1010304,1010304,114,Farrer,1,Good,Good,0
1010305,1010305,114,Farrer,1,Good,Good,0
1010306,1010306,114,Farrer,1,Good,Good,0
1010307,1010307,114,Farrer,1,Good,Good,0
1010308,1010308,114,Farrer,1,Good,Good,0
1010309,1010309,114,Farrer,1,Good,Good,0
1010310,1010310,114,Farrer,1,Good,Good,0
1010311,1010311,114,Farrer,1,Good,Good,0
1010401,1010401,114,Farrer,1,Good,Good,0
1010402,1010402,114,Farrer,1,Good,Good,0
1010403,1010403,114,Farrer,1,Good,Good,0
1010404,1010404,114,Farrer,1,Good,Good,0
1010405,1010405,114,Farrer,1,Good,Good,0
1010406,1010406,114,Farrer,1,Good,Good,0
1010501,1010501,114,Farrer,1,Good,Good,0
1010502,1010502,114,Farrer,1,Good,Good,0
1010503,1010503,114,Farrer,1,Good,Good,0
1010504,1010504,114,Farrer,1,Good,Good,0
1010505,1010505,114,Farrer,1,Good,Good,0
1010506,1010506,114,Farrer,1,Good,Good,0
1010601,1010601,114,Farrer,1,Good,Good,0
1010602,1010602,114,Farrer,1,Good,Good,0
1010701,1010701,114,Farrer,1,Good,Good,0
1010702,1010702,114,Farrer,1,Good,Good,0
1010703,1010703,114,Farrer,1,Good,Good,0
1010704,1010704,114,Farrer,1,Good,Good,0
1010705,1010705,114,Farrer,1,Good,Good,0
1010706,1010706,114,Farrer,1,Good,Good,0
1010707,1010707,114,Farrer,1,Good,Good,0
1010708,1010708,114,Farrer,1,Good,Good,0
1010709,1010709,114,Farrer,1,Good,Good,0
1010710,1010710,114,Farrer,1,Good,Good,0
1010711,1010711,114,Farrer,1,Good,Good,0
1010712,1010712,114,Farrer,1,Good,Good,0
1010713,1010713,114,Farrer,1,Good,Good,0
1010714,1010714,114,Farrer,1,Good,Good,0
1010715,1010715,114,Farrer,1,Good,Good,0
1010716,1010716,114,Farrer,1,Good,Good,0
1010717,1010717,114,Farrer,1,Good,Good,0
1010801,1010801,114,Farrer,1,Good,Good,0
1010802,1010802,114,Farrer,1,Good,Good,0
1010803,1010803,114,Farrer,1,Good,Good,0
1010804,1010804,114,Farrer,1,Good,Good,0
1010805,1010805,114,Farrer,1,Good,Good,0
1010806,1010806,114,Farrer,1,Good,Good,0
1010807,1010807,114,Farrer,1,Good,Good,0
1010901,1010901,114,Farrer,1,Good,Good,0
1010902,1010902,114,Farrer,1,Good,Good,0
1010903,1010903,114,Farrer,1,Good,Good,0
1010904,1010904,114,Farrer,1,Good,Good,0
1010905,1010905,114,Farrer,1,Good,Good,0
1011001,1011001,114,Farrer,1,Good,Good,0
1011002,1011002,114,Farrer,1,Good,Good,0
1011003,1011003,114,Farrer,1,Good,Good,0
1011004,1011004,114,Farrer,1,Good,Good,0
1011005,1011005,114,Farrer,1,Good,Good,0
1011006,1011006,114,Farrer,1,Good,Good,0
1011007,1011007,114,Farrer,1,Good,Good,0
1011008,1011008,114,Farrer,1,Good,Good,0
1011009,1011009,114,Farrer,1,Good,Good,0
1011010,1011010,114,Farrer,1,Good,Good,0
1011011,1011011,114,Farrer,1,Good,Good,0
1011101,1011101,114,Farrer,1,Good,Good,0
1011102,1011102,114,Farrer,1,Good,Good,0
1011103,1011103,114,Farrer,1,Good,Good,0
1011104,1011104,114,Farrer,1,Good,Good,0
1011105,1011105,114,Farrer,1,Good,Good,0
1011106,1011106,114,Farrer,1,Good,Good,0
1011107,1011107,114,Farrer,1,Good,Good,0
1011108,1011108,114,Farrer,1,Good,Good,0
1011109,1011109,114,Farrer,1,Good,Good,0
1011201,1011201,114,Farrer,1,Good,Good,0
1011202,1011202,114,Farrer,1,Good,Good,0
1011203,1011203,114,Farrer,1,Good,Good,0
1011204,1011204,114,Farrer,1,Good,Good,0
1011205,1011205,114,Farrer,1,Good,Good,0
1011301,1011301,114,Farrer,1,Good,Good,0
1011302,1011302,114,Farrer,1,Good,Good,0
1011303,1011303,114,Farrer,1,Good,Good,0
1011304,1011304,114,Farrer,1,Good,Good,0
1011305,1011305,114,Farrer,1,Good,Good,0
1011306,1011306,114,Farrer,1,Good,Good,0
1011401,1011401,114,Farrer,1,Good,Good,0
1011402,1011402,114,Farrer,1,Good,Good,0
1011403,1011403,114,Farrer,1,Good,Good,0
1011404,1011404,114,Farrer,1,Good,Good,0
1011405,1011405,114,Farrer,1,Good,Good,0
1011406,1011406,114,Farrer,1,Good,Good,0
1011407,1011407,114,Farrer,1,Good,Good,0
1011408,1011408,114,Farrer,1,Good,Good,0
1011409,1011409,114,Farrer,1,Good,Good,0
1011410,1011410,114,Farrer,1,Good,Good,0
1011411,1011411,114,Farrer,1,Good,Good,0
1011501,1011501,114,Farrer,1,Good,Good,0
1011502,1011502,114,Farrer,1,Good,Good,0
1011503,1011503,114,Farrer,1,Good,Good,0
1011504,1011504,114,Farrer,1,Good,Good,0
1011505,1011505,114,Farrer,1,Good,Good,0
1011506,1011506,114,Farrer,1,Good,Good,0
1011507,1011507,114,Farrer,1,Good,Good,0
1011508,1011508,114,Farrer,1,Good,Good,0
1011509,1011509,114,Farrer,1,Good,Good,0
1011510,1011510,114,Farrer,1,Good,Good,0
1011511,1011511,114,Farrer,1,Good,Good,0
1011512,1011512,114,Farrer,1,Good,Good,0
