CD_CODE_2006,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
1010101,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010102,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010103,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010104,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010105,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010106,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010107,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010108,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010109,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010110,109021179,Wentworth-Balranald Region,1,Good,Good,0
1010201,109031183,Deniliquin Surrounds,1,Good,Good,0
1010202,109021179,Wentworth-Balranald Region,0.5714286,Good,Good,0
1010202,109031183,Deniliquin Surrounds,0.4285714,Good,Good,0
1010203,109031183,Deniliquin Surrounds,1,Good,Good,0
1010204,109021179,Wentworth-Balranald Region,0.3529412,Good,Good,0
1010204,109031183,Deniliquin Surrounds,0.6470588,Good,Good,0
1010205,109021179,Wentworth-Balranald Region,0.875,Good,Good,0
1010205,109031183,Deniliquin Surrounds,0.125,Good,Good,0
1010206,109021179,Wentworth-Balranald Region,0.1707317,Good,Good,0
1010206,109031183,Deniliquin Surrounds,0.8292683,Good,Good,0
1010207,109031183,Deniliquin Surrounds,1,Good,Good,0
1010208,109031183,Deniliquin Surrounds,1,Good,Good,0
1010209,109031183,Deniliquin Surrounds,1,Good,Good,0
1010210,109031183,Deniliquin Surrounds,1,Good,Good,0
1010211,109031183,Deniliquin Surrounds,1,Good,Good,0
1010212,109031183,Deniliquin Surrounds,1,Good,Good,0
1010213,109031183,Deniliquin Surrounds,1,Good,Good,0
1010214,109031183,Deniliquin Surrounds,1,Good,Good,0
