CED_CODE_2016,CED_NAME_2016,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Banks,101,Banks,1,Good,Acceptable,0
102,Barton,144,Watson,0.002358,Good,Acceptable,1
102,Barton,102,Barton,0.997642,Good,Acceptable,0
103,Bennelong,103,Bennelong,1,Good,Acceptable,0
104,Berowra,127,Macquarie,0.0003597,Good,Acceptable,1
104,Berowra,129,Mitchell,0.0010242,Good,Acceptable,1
104,Berowra,106,Bradfield,0.0011274,Good,Acceptable,1
104,Berowra,104,Berowra,0.9974888,Good,Acceptable,0
105,Blaxland,105,Blaxland,1,Good,Acceptable,0
106,Bradfield,106,Bradfield,1,Good,Acceptable,0
107,Calare,139,Riverina,7.78E-05,Good,Acceptable,1
107,Calare,107,Calare,0.9999222,Good,Acceptable,0
108,Chifley,128,McMahon,1.00E-07,Good,Acceptable,1
108,Chifley,118,Greenway,0.0009313,Good,Acceptable,1
108,Chifley,108,Chifley,0.9990686,Good,Acceptable,0
109,Cook,,,3.56E-05,Poor,Acceptable,4
109,Cook,101,Banks,0.0016861,Good,Acceptable,1
109,Cook,109,Cook,0.9982782,Good,Acceptable,0
110,Cowper,130,New England,0.0002183,Good,Acceptable,1
110,Cowper,133,Page,0.0003594,Good,Acceptable,1
110,Cowper,110,Cowper,0.9994223,Good,Acceptable,0
111,Cunningham,147,Whitlam,0.0009651,Good,Acceptable,1
111,Cunningham,111,Cunningham,0.9990348,Good,Acceptable,0
112,Dobell,140,Robertson,0.0030323,Good,Acceptable,1
112,Dobell,112,Dobell,0.9969677,Good,Acceptable,0
113,Eden-Monaro,116,Gilmore,7.80E-06,Good,Acceptable,1
113,Eden-Monaro,113,Eden-Monaro,0.9999922,Good,Acceptable,0
114,Farrer,114,Farrer,1,Good,Acceptable,0
115,Fowler,128,McMahon,0.0003364,Good,Acceptable,1
115,Fowler,115,Fowler,0.9996636,Good,Acceptable,0
116,Gilmore,116,Gilmore,1,Good,Acceptable,0
117,Grayndler,144,Watson,0.0008211,Good,Acceptable,1
117,Grayndler,137,Reid,0.0034248,Good,Acceptable,1
117,Grayndler,117,Grayndler,0.9957541,Good,Acceptable,0
118,Greenway,118,Greenway,1,Good,Acceptable,0
119,Hughes,119,Hughes,1,Good,Acceptable,0
120,Hume,125,Macarthur,8.19E-05,Good,Acceptable,1
120,Hume,147,Whitlam,0.0002319,Good,Acceptable,1
120,Hume,113,Eden-Monaro,0.0014299,Good,Acceptable,1
120,Hume,120,Hume,0.9982563,Good,Acceptable,0
121,Hunter,121,Hunter,1,Good,Acceptable,0
122,Kingsford Smith,122,Kingsford Smith,1,Good,Acceptable,0
123,Lindsay,128,McMahon,0.0004249,Good,Acceptable,1
123,Lindsay,120,Hume,0.0012139,Good,Acceptable,1
123,Lindsay,123,Lindsay,0.9983611,Good,Acceptable,0
124,Lyne,124,Lyne,1,Good,Acceptable,0
125,Macarthur,146,Werriwa,2.00E-07,Good,Acceptable,1
125,Macarthur,120,Hume,0.0017796,Good,Acceptable,1
125,Macarthur,125,Macarthur,0.9982202,Good,Acceptable,0
126,Mackellar,126,Mackellar,1,Good,Acceptable,0
127,Macquarie,127,Macquarie,1,Good,Acceptable,0
128,McMahon,135,Parramatta,0.0006288,Good,Acceptable,1
128,McMahon,128,McMahon,0.9993712,Good,Acceptable,0
129,Mitchell,135,Parramatta,0.0021622,Good,Acceptable,1
129,Mitchell,129,Mitchell,0.9978378,Good,Acceptable,0
130,New England,130,New England,1,Good,Acceptable,0
131,Newcastle,136,Paterson,0.0003952,Good,Acceptable,1
131,Newcastle,131,Newcastle,0.9996048,Good,Acceptable,0
132,North Sydney,106,Bradfield,1.00E-07,Good,Acceptable,1
132,North Sydney,143,Warringah,0.00241,Good,Acceptable,1
132,North Sydney,132,North Sydney,0.9975899,Good,Acceptable,0
133,Page,138,Richmond,0.0016931,Good,Acceptable,1
133,Page,133,Page,0.9983069,Good,Acceptable,0
134,Parkes,107,Calare,0.0006456,Good,Acceptable,1
134,Parkes,134,Parkes,0.9993544,Good,Acceptable,0
135,Parramatta,103,Bennelong,0.0010086,Good,Acceptable,1
135,Parramatta,135,Parramatta,0.9989914,Good,Acceptable,0
136,Paterson,121,Hunter,0.001762,Good,Acceptable,1
136,Paterson,136,Paterson,0.998238,Good,Acceptable,0
137,Reid,117,Grayndler,0.0005242,Good,Acceptable,1
137,Reid,137,Reid,0.9994758,Good,Acceptable,0
138,Richmond,133,Page,0.0014338,Good,Acceptable,1
138,Richmond,138,Richmond,0.9985662,Good,Acceptable,0
139,Riverina,107,Calare,0.0004669,Good,Acceptable,1
139,Riverina,139,Riverina,0.9995331,Good,Acceptable,0
140,Robertson,140,Robertson,1,Good,Acceptable,0
141,Shortland,112,Dobell,1.00E-07,Good,Acceptable,1
141,Shortland,121,Hunter,0.001589,Good,Acceptable,1
141,Shortland,141,Shortland,0.9984109,Good,Acceptable,0
142,Sydney,117,Grayndler,7.68E-05,Good,Acceptable,1
