CED_CODE_2021,CED_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Banks,10,Major Cities of Australia,1,Good,Acceptable,0
102,Barton,10,Major Cities of Australia,1,Good,Acceptable,0
103,Bennelong,10,Major Cities of Australia,1,Good,Acceptable,0
104,Berowra,10,Major Cities of Australia,0.9224383,Good,Acceptable,0
104,Berowra,11,Inner Regional Australia,0.0775617,Poor,Acceptable,0
105,Blaxland,10,Major Cities of Australia,1,Good,Acceptable,0
106,Bradfield,10,Major Cities of Australia,1,Good,Acceptable,0
107,Calare,11,Inner Regional Australia,0.8301846,Poor,Acceptable,0
107,Calare,12,Outer Regional Australia,0.1698154,Poor,Acceptable,0
108,Chifley,10,Major Cities of Australia,1,Good,Acceptable,0
109,Cook,10,Major Cities of Australia,1,Good,Acceptable,0
110,Cowper,11,Inner Regional Australia,0.9803513,Poor,Acceptable,0
110,Cowper,12,Outer Regional Australia,0.0196487,Poor,Acceptable,0
111,Cunningham,10,Major Cities of Australia,0.996084,Good,Acceptable,0
111,Cunningham,11,Inner Regional Australia,0.003916,Poor,Acceptable,1
112,Dobell,10,Major Cities of Australia,0.9827076,Good,Acceptable,0
112,Dobell,11,Inner Regional Australia,0.0172924,Poor,Acceptable,0
113,Eden-Monaro,10,Major Cities of Australia,0.2833275,Good,Acceptable,0
113,Eden-Monaro,11,Inner Regional Australia,0.3322732,Poor,Acceptable,0
113,Eden-Monaro,12,Outer Regional Australia,0.3843993,Poor,Acceptable,0
114,Farrer,11,Inner Regional Australia,0.568573,Poor,Acceptable,0
114,Farrer,12,Outer Regional Australia,0.4088439,Poor,Acceptable,0
114,Farrer,13,Remote Australia,0.022583,Poor,Acceptable,0
115,Fowler,10,Major Cities of Australia,1,Good,Acceptable,0
116,Gilmore,10,Major Cities of Australia,0.0918791,Good,Acceptable,0
116,Gilmore,11,Inner Regional Australia,0.8870552,Poor,Acceptable,0
116,Gilmore,12,Outer Regional Australia,0.0210657,Poor,Acceptable,0
117,Grayndler,10,Major Cities of Australia,1,Good,Acceptable,0
118,Greenway,10,Major Cities of Australia,1,Good,Acceptable,0
119,Hughes,10,Major Cities of Australia,0.9783672,Good,Acceptable,0
119,Hughes,11,Inner Regional Australia,0.0216328,Poor,Acceptable,0
