DZN_CODE_2016,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110078098,110078098,1,Good,Good,0
110078099,110078099,1,Good,Good,0
110078100,110078100,1,Good,Good,0
110088084,110088084,1,Good,Good,0
110098077,110090001,0.4286981,Poor,Good,0
110098077,110090002,0.3395935,Poor,Good,0
110098077,110090003,0.2317083,Poor,Good,0
110108087,110108087,1,Good,Good,0
110118090,116100001,0.3852761,Poor,Good,0
110118090,116110003,0.6147239,Poor,Good,0
110118091,116110002,1,Good,Good,0
110118092,116110001,0.9949954,Good,Good,0
110118092,116110002,0.0050046,Good,Good,1
110118093,116110004,1,Good,Good,0
110118094,116110005,1,Good,Good,0
110118095,116110006,1,Good,Good,0
110128080,110120002,1,Good,Good,0
110128081,110120001,1,Good,Good,0
110138120,110138120,1,Good,Good,0
110138121,110138121,1,Good,Good,0
110138122,110138122,1,Good,Good,0
110138123,110138123,1,Good,Good,0
110148117,110148117,1,Good,Good,0
110158112,110158116,1,Good,Good,0
110158113,110158115,1,Good,Good,0
110158114,110158114,1,Good,Good,0
110168103,110168103,1,Good,Good,0
110168104,110168104,1,Good,Good,0
110168105,110168105,1,Good,Good,0
110168106,110168106,1,Good,Good,0
110168107,110168107,1,Good,Good,0
110168108,110168108,1,Good,Good,0
110168109,110168109,1,Good,Good,0
110178126,110178126,1,Good,Good,0
110188129,110188129,1,Good,Good,0
110198157,110198157,1,Good,Good,0
110198158,110198158,1,Good,Good,0
110198159,110198159,1,Good,Good,0
110200001,110200001,1,Good,Good,0
110208162,110208162,1,Good,Good,0
110208163,110208163,1,Good,Good,0
110208164,110208164,1,Good,Good,0
110208165,110208165,1,Good,Good,0
110208166,110208166,1,Good,Good,0
110218132,110218132,1,Good,Good,0
110228147,110228147,1,Good,Good,0
110238175,110238175,1,Good,Good,0
110248141,110248141,1,Good,Good,0
110248142,110248142,1,Good,Good,0
110248143,110248143,1,Good,Good,0
110248144,110248144,1,Good,Good,0
110258171,110258171,1,Good,Good,0
110258172,110258172,1,Good,Good,0
110268135,110268135,1,Good,Good,0
110268136,110268136,1,Good,Good,0
110268137,110268137,1,Good,Good,0
110268138,110268138,1,Good,Good,0
110278150,110278150,1,Good,Good,0
110278151,110278151,1,Good,Good,0
110278152,110278152,1,Good,Good,0
110278153,110278153,1,Good,Good,0
110278154,110278154,1,Good,Good,0
110286283,110286283,1,Good,Good,0
110286284,110286284,1,Good,Good,0
110296249,110296249,1,Good,Good,0
110296250,110296250,1,Good,Good,0
110296251,110296251,1,Good,Good,0
110296252,110296252,1,Good,Good,0
110296253,110296253,1,Good,Good,0
110300001,110300001,1,Good,Good,0
110306039,110306039,1,Good,Good,0
110306040,110306040,1,Good,Good,0
110306041,110306041,1,Good,Good,0
110306042,110306042,1,Good,Good,0
110306044,110306044,1,Good,Good,0
110316200,110316200,1,Good,Good,0
110316201,110316201,1,Good,Good,0
110316202,110316202,1,Good,Good,0
110316203,110316203,1,Good,Good,0
110316204,110316204,1,Good,Good,0
110316205,110316205,1,Good,Good,0
110316206,110316206,1,Good,Good,0
110320001,110320001,1,Good,Good,0
110320002,110320002,1,Good,Good,0
110326132,110326132,1,Good,Good,0
110326133,110326133,1,Good,Good,0
110326134,110326134,1,Good,Good,0
110326135,110326135,1,Good,Good,0
110326136,110326136,1,Good,Good,0
110326137,110326137,1,Good,Good,0
110326138,110326138,1,Good,Good,0
110336058,110336058,1,Good,Good,0
110336059,110336059,1,Good,Good,0
110346234,110346234,1,Good,Good,0
110346235,110346235,1,Good,Good,0
110346236,110346236,0.9954863,Good,Good,0
