DZN_CODE_2016,DZN_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
110078098,110078098,13310,Goulburn Mulwaree,0.2320305,Good,Good,0
110078098,110078098,16490,Queanbeyan-Palerang Regional,0.7679695,Good,Good,0
110078099,110078099,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110078100,110078100,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110088084,110088084,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110098077,110098077,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110108087,110108087,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110118090,110118090,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110118091,110118091,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110118092,110118092,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110118093,110118093,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110118094,110118094,13310,Goulburn Mulwaree,0.4479475,Good,Good,0
110118094,110118094,16490,Queanbeyan-Palerang Regional,0.5520525,Good,Good,0
110118095,110118095,17040,Snowy Monaro Regional,0.4424567,Good,Good,0
110118095,110118095,16490,Queanbeyan-Palerang Regional,0.5575433,Good,Good,0
110128080,110128080,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110128081,110128081,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
110138120,110138120,17040,Snowy Monaro Regional,1,Good,Good,0
110138121,110138121,17040,Snowy Monaro Regional,1,Good,Good,0
110138122,110138122,17040,Snowy Monaro Regional,1,Good,Good,0
110138123,110138123,17040,Snowy Monaro Regional,1,Good,Good,0
110148117,110148117,17040,Snowy Monaro Regional,1,Good,Good,0
110158112,110158112,17040,Snowy Monaro Regional,1,Good,Good,0
110158113,110158113,17040,Snowy Monaro Regional,1,Good,Good,0
110158114,110158114,17040,Snowy Monaro Regional,1,Good,Good,0
110168103,110168103,17040,Snowy Monaro Regional,1,Good,Good,0
110168104,110168104,17040,Snowy Monaro Regional,1,Good,Good,0
110168105,110168105,17040,Snowy Monaro Regional,1,Good,Good,0
110168106,110168106,17040,Snowy Monaro Regional,1,Good,Good,0
110168107,110168107,17040,Snowy Monaro Regional,1,Good,Good,0
110168108,110168108,17040,Snowy Monaro Regional,1,Good,Good,0
110168109,110168109,17040,Snowy Monaro Regional,1,Good,Good,0
110178126,110178126,12750,Eurobodalla,1,Good,Good,0
110188129,110188129,12750,Eurobodalla,1,Good,Good,0
110198157,110198157,10550,Bega Valley,1,Good,Good,0
110198158,110198158,10550,Bega Valley,1,Good,Good,0
110198159,110198159,10550,Bega Valley,1,Good,Good,0
110200001,110200001,10550,Bega Valley,1,Good,Good,0
110208162,110208162,10550,Bega Valley,1,Good,Good,0
110208163,110208163,10550,Bega Valley,1,Good,Good,0
110208164,110208164,10550,Bega Valley,1,Good,Good,0
110208165,110208165,12750,Eurobodalla,0.0000001,Good,Good,1
110208165,110208165,10550,Bega Valley,0.9999999,Good,Good,0
110208166,110208166,10550,Bega Valley,1,Good,Good,0
110218132,110218132,12750,Eurobodalla,1,Good,Good,0
110228147,110228147,10550,Bega Valley,0.0013221,Good,Good,1
110228147,110228147,12750,Eurobodalla,0.9986779,Good,Good,0
110238175,110238175,10550,Bega Valley,1,Good,Good,0
110248141,110248141,12750,Eurobodalla,1,Good,Good,0
110248142,110248142,12750,Eurobodalla,1,Good,Good,0
110248143,110248143,16950,Shoalhaven,0.0644271,Good,Good,0
110248143,110248143,12750,Eurobodalla,0.9355729,Good,Good,0
110248144,110248144,12750,Eurobodalla,1,Good,Good,0
110258171,110258171,10550,Bega Valley,1,Good,Good,0
110258172,110258172,10550,Bega Valley,1,Good,Good,0
110268135,110268135,12750,Eurobodalla,1,Good,Good,0
110268136,110268136,12750,Eurobodalla,1,Good,Good,0
110268137,110268137,12750,Eurobodalla,1,Good,Good,0
110268138,110268138,12750,Eurobodalla,1,Good,Good,0
110278150,110278150,12750,Eurobodalla,1,Good,Good,0
110278151,110278151,12750,Eurobodalla,1,Good,Good,0
110278152,110278152,12750,Eurobodalla,1,Good,Good,0
110278153,110278153,12750,Eurobodalla,0.0821879,Good,Good,0
110278153,110278153,10550,Bega Valley,0.9178121,Good,Good,0
110278154,110278154,10550,Bega Valley,1,Good,Good,0
110286283,110286283,11650,Central Coast (NSW),1,Good,Good,0
110286284,110286284,11650,Central Coast (NSW),1,Good,Good,0
110296249,110296249,11650,Central Coast (NSW),1,Good,Good,0
110296250,110296250,11650,Central Coast (NSW),1,Good,Good,0
110296251,110296251,11650,Central Coast (NSW),1,Good,Good,0
110296252,110296252,11650,Central Coast (NSW),1,Good,Good,0
110296253,110296253,11650,Central Coast (NSW),1,Good,Good,0
110300001,110300001,11650,Central Coast (NSW),1,Good,Good,0
110306039,110306039,11650,Central Coast (NSW),1,Good,Good,0
110306040,110306040,11650,Central Coast (NSW),1,Good,Good,0
110306041,110306041,11650,Central Coast (NSW),1,Good,Good,0
110306042,110306042,11650,Central Coast (NSW),1,Good,Good,0
110306044,110306044,11650,Central Coast (NSW),1,Good,Good,0
110316200,110316200,11650,Central Coast (NSW),1,Good,Good,0
110316201,110316201,11650,Central Coast (NSW),1,Good,Good,0
110316202,110316202,11650,Central Coast (NSW),1,Good,Good,0
110316203,110316203,11650,Central Coast (NSW),1,Good,Good,0
110316204,110316204,11650,Central Coast (NSW),1,Good,Good,0
110316205,110316205,11650,Central Coast (NSW),1,Good,Good,0
110316206,110316206,11650,Central Coast (NSW),1,Good,Good,0
110320001,110320001,11650,Central Coast (NSW),1,Good,Good,0
110320002,110320002,11650,Central Coast (NSW),1,Good,Good,0
110326132,110326132,11650,Central Coast (NSW),1,Good,Good,0
110326133,110326133,11650,Central Coast (NSW),1,Good,Good,0
110326134,110326134,11650,Central Coast (NSW),1,Good,Good,0
110326135,110326135,11650,Central Coast (NSW),1,Good,Good,0
110326136,110326136,11650,Central Coast (NSW),1,Good,Good,0
110326137,110326137,11650,Central Coast (NSW),1,Good,Good,0
110326138,110326138,11650,Central Coast (NSW),1,Good,Good,0
110336058,110336058,11650,Central Coast (NSW),1,Good,Good,0
110336059,110336059,11650,Central Coast (NSW),1,Good,Good,0
110346234,110346234,11650,Central Coast (NSW),1,Good,Good,0
110346235,110346235,11650,Central Coast (NSW),1,Good,Good,0
110346236,110346236,11650,Central Coast (NSW),1,Good,Good,0
110350001,110350001,11650,Central Coast (NSW),1,Good,Good,0
110350002,110350002,11650,Central Coast (NSW),1,Good,Good,0
110350003,110350003,11650,Central Coast (NSW),1,Good,Good,0
110366085,110366085,11650,Central Coast (NSW),1,Good,Good,0
110366086,110366086,11650,Central Coast (NSW),1,Good,Good,0
110366087,110366087,11650,Central Coast (NSW),1,Good,Good,0
110366088,110366088,11650,Central Coast (NSW),1,Good,Good,0
110376116,110376116,11650,Central Coast (NSW),1,Good,Good,0
110376117,110376117,11650,Central Coast (NSW),1,Good,Good,0
110376118,110376118,11650,Central Coast (NSW),1,Good,Good,0
110386186,110386186,11650,Central Coast (NSW),1,Good,Good,0
110386187,110386187,11650,Central Coast (NSW),1,Good,Good,0
110396266,110396266,11650,Central Coast (NSW),1,Good,Good,0
110396267,110396267,11650,Central Coast (NSW),1,Good,Good,0
110396268,110396268,11650,Central Coast (NSW),1,Good,Good,0
110396269,110396269,11650,Central Coast (NSW),1,Good,Good,0
110396270,110396270,11650,Central Coast (NSW),1,Good,Good,0
110406167,110406167,11650,Central Coast (NSW),1,Good,Good,0
110406168,110406168,11650,Central Coast (NSW),1,Good,Good,0
110406169,110406169,11650,Central Coast (NSW),1,Good,Good,0
110406170,110406170,11650,Central Coast (NSW),1,Good,Good,0
110406171,110406171,11650,Central Coast (NSW),1,Good,Good,0
110406172,110406172,11650,Central Coast (NSW),1,Good,Good,0
110406173,110406173,11650,Central Coast (NSW),1,Good,Good,0
110416219,110416219,11650,Central Coast (NSW),1,Good,Good,0
110416220,110416220,11650,Central Coast (NSW),1,Good,Good,0
110416221,110416221,11650,Central Coast (NSW),1,Good,Good,0
110426151,110426151,11650,Central Coast (NSW),1,Good,Good,0
110426152,110426152,11650,Central Coast (NSW),1,Good,Good,0
110426153,110426153,11650,Central Coast (NSW),1,Good,Good,0
110426154,110426154,11650,Central Coast (NSW),1,Good,Good,0
110436101,110436101,11650,Central Coast (NSW),1,Good,Good,0
110436102,110436102,11650,Central Coast (NSW),1,Good,Good,0
110436103,110436103,11650,Central Coast (NSW),1,Good,Good,0
110446472,110446472,11650,Central Coast (NSW),1,Good,Good,0
110446473,110446473,11650,Central Coast (NSW),1,Good,Good,0
110446474,110446474,11650,Central Coast (NSW),1,Good,Good,0
110446475,110446475,11650,Central Coast (NSW),1,Good,Good,0
110446476,110446476,11650,Central Coast (NSW),1,Good,Good,0
110446477,110446477,11650,Central Coast (NSW),1,Good,Good,0
110446478,110446478,11650,Central Coast (NSW),1,Good,Good,0
110446479,110446479,11650,Central Coast (NSW),1,Good,Good,0
110450001,110450001,11650,Central Coast (NSW),1,Good,Good,0
110450002,110450002,11650,Central Coast (NSW),1,Good,Good,0
110456412,110456412,11650,Central Coast (NSW),1,Good,Good,0
110466457,110466457,11650,Central Coast (NSW),1,Good,Good,0
110466458,110466458,11650,Central Coast (NSW),1,Good,Good,0
110466459,110466459,11650,Central Coast (NSW),1,Good,Good,0
110476425,110476425,11650,Central Coast (NSW),1,Good,Good,0
110476426,110476426,11650,Central Coast (NSW),1,Good,Good,0
110476427,110476427,11650,Central Coast (NSW),1,Good,Good,0
110476428,110476428,11650,Central Coast (NSW),1,Good,Good,0
110476429,110476429,11650,Central Coast (NSW),1,Good,Good,0
110486393,110486393,11650,Central Coast (NSW),1,Good,Good,0
110486394,110486394,11650,Central Coast (NSW),1,Good,Good,0
110486395,110486395,11650,Central Coast (NSW),1,Good,Good,0
110486396,110486396,11650,Central Coast (NSW),1,Good,Good,0
110486397,110486397,11650,Central Coast (NSW),1,Good,Good,0
110486398,110486398,11650,Central Coast (NSW),1,Good,Good,0
110496297,110496297,11650,Central Coast (NSW),1,Good,Good,0
110496298,110496298,11650,Central Coast (NSW),1,Good,Good,0
110506442,110506442,11650,Central Coast (NSW),1,Good,Good,0
110506443,110506443,11650,Central Coast (NSW),1,Good,Good,0
110506444,110506444,11650,Central Coast (NSW),1,Good,Good,0
110516311,110516311,11650,Central Coast (NSW),1,Good,Good,0
110516312,110516312,11650,Central Coast (NSW),1,Good,Good,0
110516313,110516313,11650,Central Coast (NSW),1,Good,Good,0
110516314,110516314,11650,Central Coast (NSW),1,Good,Good,0
110526380,110526380,11650,Central Coast (NSW),1,Good,Good,0
110536492,110536492,11650,Central Coast (NSW),1,Good,Good,0
110536493,110536493,11650,Central Coast (NSW),1,Good,Good,0
110536494,110536494,11650,Central Coast (NSW),1,Good,Good,0
110536495,110536495,11650,Central Coast (NSW),1,Good,Good,0
110536496,110536496,11650,Central Coast (NSW),1,Good,Good,0
110546509,110546509,11650,Central Coast (NSW),1,Good,Good,0
110546510,110546510,11650,Central Coast (NSW),1,Good,Good,0
110546511,110546511,11650,Central Coast (NSW),1,Good,Good,0
110550001,110550001,11650,Central Coast (NSW),1,Good,Good,0
110556343,110556343,11650,Central Coast (NSW),1,Good,Good,0
110556344,110556344,11650,Central Coast (NSW),1,Good,Good,0
110556345,110556345,11650,Central Coast (NSW),1,Good,Good,0
110556348,110556348,11650,Central Coast (NSW),1,Good,Good,0
110560001,110560001,11650,Central Coast (NSW),1,Good,Good,0
110560002,110560002,11650,Central Coast (NSW),1,Good,Good,0
110560003,110560003,11650,Central Coast (NSW),1,Good,Good,0
110566361,110566361,11650,Central Coast (NSW),1,Good,Good,0
110566362,110566362,11650,Central Coast (NSW),1,Good,Good,0
110566363,110566363,11650,Central Coast (NSW),1,Good,Good,0
110566365,110566365,11650,Central Coast (NSW),1,Good,Good,0
110566366,110566366,11650,Central Coast (NSW),1,Good,Good,0
110566367,110566367,11650,Central Coast (NSW),1,Good,Good,0
110576327,110576327,11650,Central Coast (NSW),1,Good,Good,0
110576328,110576328,11650,Central Coast (NSW),1,Good,Good,0
110576329,110576329,11650,Central Coast (NSW),1,Good,Good,0
110576330,110576330,11650,Central Coast (NSW),1,Good,Good,0
110588281,110588281,10470,Bathurst Regional,1,Good,Good,0
110588282,110588282,10470,Bathurst Regional,1,Good,Good,0
110588283,110588283,10470,Bathurst Regional,1,Good,Good,0
110598286,110598286,10470,Bathurst Regional,1,Good,Good,0
110608289,110608289,10470,Bathurst Regional,1,Good,Good,0
110608290,110608290,10470,Bathurst Regional,1,Good,Good,0
110608291,110608291,16100,Oberon,0.3407246,Good,Good,0
110608291,110608291,10470,Bathurst Regional,0.6592754,Good,Good,0
110608292,110608292,14870,Lithgow,0.0092602,Good,Good,1
110608292,110608292,10470,Bathurst Regional,0.9907398,Good,Good,0
110618295,110618295,16100,Oberon,1,Good,Good,0
110618296,110618296,16100,Oberon,1,Good,Good,0
110618297,110618297,16100,Oberon,1,Good,Good,0
110628178,110628178,14600,Lachlan,1,Good,Good,0
110628179,110628179,14600,Lachlan,1,Good,Good,0
110628180,110628180,12900,Forbes,0.1310753,Good,Good,0
110628180,110628180,14600,Lachlan,0.8689247,Good,Good,0
110628181,110628181,14600,Lachlan,1,Good,Good,0
110628182,110628182,16200,Parkes,1,Good,Good,0
110638211,110638211,12350,Cowra,1,Good,Good,0
110648214,110648214,11400,Cabonne,1,Good,Good,0
110648215,110648215,12350,Cowra,1,Good,Good,0
110648216,110648216,11400,Cabonne,1,Good,Good,0
110648217,110648217,11400,Cabonne,0.0393555,Good,Good,0
110648217,110648217,12350,Cowra,0.9606445,Good,Good,0
110648218,110648218,12350,Cowra,1,Good,Good,0
110648219,110648219,12350,Cowra,1,Good,Good,0
110658201,110658201,14600,Lachlan,0.0000001,Good,Good,1
110658201,110658201,18100,Weddin,0.0000001,Good,Good,1
110658201,110658201,12900,Forbes,0.9999998,Good,Good,0
110658202,110658202,12900,Forbes,1,Good,Good,0
110658203,110658203,11400,Cabonne,0.4929502,Good,Good,0
110658203,110658203,12900,Forbes,0.5070498,Good,Good,0
110668206,110668206,18100,Weddin,1,Good,Good,0
110668207,110668207,18100,Weddin,1,Good,Good,0
110668208,110668208,18100,Weddin,1,Good,Good,0
110678197,110678197,16200,Parkes,1,Good,Good,0
110678198,110678198,16200,Parkes,1,Good,Good,0
110688185,110688185,16200,Parkes,1,Good,Good,0
110688186,110688186,12900,Forbes,0.0078298,Good,Good,1
110688186,110688186,16200,Parkes,0.9921702,Good,Good,0
110688187,110688187,16200,Parkes,1,Good,Good,0
110688188,110688188,11400,Cabonne,0.0842032,Good,Good,0
110688188,110688188,12900,Forbes,0.1343323,Good,Good,0
110688188,110688188,16200,Parkes,0.7814645,Good,Good,0
110698191,110698191,10800,Bland,1,Good,Good,0
110698192,110698192,10800,Bland,1,Good,Good,0
110698193,110698193,10800,Bland,1,Good,Good,0
110698194,110698194,10800,Bland,1,Good,Good,0
110708276,110708276,14870,Lithgow,1,Good,Good,0
110708277,110708277,14870,Lithgow,1,Good,Good,0
110708278,110708278,14870,Lithgow,1,Good,Good,0
110718265,110718265,14870,Lithgow,1,Good,Good,0
110718266,110718266,14870,Lithgow,1,Good,Good,0
110718267,110718267,14870,Lithgow,1,Good,Good,0
110718268,110718268,10470,Bathurst Regional,0.0000001,Good,Good,1
110718268,110718268,14870,Lithgow,0.9999999,Good,Good,0
110718269,110718269,14870,Lithgow,1,Good,Good,0
110718270,110718270,14870,Lithgow,1,Good,Good,0
110728251,110728251,15270,Mid-Western Regional,1,Good,Good,0
110738261,110738261,15270,Mid-Western Regional,1,Good,Good,0
110738262,110738262,15270,Mid-Western Regional,1,Good,Good,0
110748254,110748254,18020,Warrumbungle Shire,1,Good,Good,0
110748255,110748255,15270,Mid-Western Regional,1,Good,Good,0
110748256,110748256,18020,Warrumbungle Shire,0.0561762,Good,Good,0
110748256,110748256,15270,Mid-Western Regional,0.9438238,Good,Good,0
110748257,110748257,15270,Mid-Western Regional,1,Good,Good,0
110748258,110748258,12390,Dubbo Regional,0.0000055,Good,Good,1
110748258,110748258,10470,Bathurst Regional,0.0065961,Good,Good,1
110748258,110748258,15270,Mid-Western Regional,0.9933983,Good,Good,0
110758273,110758273,17000,Singleton,0.00002,Good,Good,1
110758273,110758273,14870,Lithgow,0.0003598,Good,Good,1
110758273,110758273,10900,Blue Mountains,0.9996201,Good,Good,0
110768245,110768245,10850,Blayney,1,Good,Good,0
