IARE_CODE_2016,IARE_NAME_2016,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101001,Bogan,101001,Bogan,1,Good,Good,0
101002,Dubbo,101002,Dubbo,1,Good,Good,0
101003,Gilgandra,101003,Gilgandra,1,Good,Good,0
101004,Narromine,101004,Narromine,1,Good,Good,0
101005,Parkes,101005,Parkes,1,Good,Good,0
101006,Warren,101006,Warren,1,Good,Good,0
101007,Warrumbungle Shire,101007,Warrumbungle Shire,1,Good,Good,0
101008,Wellington,101008,Wellington,1,Good,Good,0
102001,Armidale,102001,Armidale,1,Good,Good,0
102002,Glen Innes,102002,Glen Innes,1,Good,Good,0
102003,Gunnedah,102003,Gunnedah,1,Good,Good,0
102004,Guyra - Tingha,102004,Guyra - Tingha,1,Good,Good,0
102005,Inverell - Gwydir,102005,Inverell - Gwydir,1,Good,Good,0
102006,Liverpool Plains,102006,Liverpool Plains,1,Good,Good,0
102007,Moree,102007,Moree,1,Good,Good,0
102008,Moree Plains,102008,Moree Plains,1,Good,Good,0
102009,Muswellbrook,102009,Muswellbrook,1,Good,Good,0
102010,Narrabri,102010,Narrabri,1,Good,Good,0
102011,Tamworth,102011,Tamworth,1,Good,Good,0
102012,Tenterfield - Jubullum Village,102012,Tenterfield - Jubullum Village,1,Good,Good,0
102013,Upper Hunter,102013,Upper Hunter,1,Good,Good,0
102014,Uralla - Walcha,102014,Uralla - Walcha,1,Good,Good,0
103001,Bourke,103001,Bourke,1,Good,Good,0
103002,Brewarrina,103002,Brewarrina,1,Good,Good,0
103003,Cobar - Murrin Bridge,103003,Cobar - Murrin Bridge,1,Good,Good,0
103004,Coonamble,103004,Coonamble,1,Good,Good,0
103005,Far West,103005,Far West,1,Good,Good,0
103006,Walgett,103006,Walgett,1,Good,Good,0
104001,Ballina - Bagotville,104001,Ballina - Bagotville,1,Good,Good,0
104002,Byron,104002,Byron,1,Good,Good,0
104003,Cessnock,104003,Cessnock,1,Good,Good,0
104004,Clarence Valley,104004,Clarence Valley,1,Good,Good,0
104005,Coffs Harbour - Nambucca,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104006,Gloucester - Dungog,104006,Gloucester - Dungog,1,Good,Good,0
104007,Gosford,104007,Gosford,1,Good,Good,0
104008,Great Lakes,104008,Great Lakes,1,Good,Good,0
104009,Kempsey,104009,Kempsey,1,Good,Good,0
104010,Kyogle,104010,Kyogle,1,Good,Good,0
104011,Lake Macquarie,104022,Lake Macquarie,0.9820937,Good,Good,0
104011,Lake Macquarie,104023,Wyong,0.0179063,Good,Good,0
104012,Lismore,104012,Lismore,1,Good,Good,0
104013,Maitland,104013,Maitland,1,Good,Good,0
104014,Newcastle,104014,Newcastle,1,Good,Good,0
104015,Port Macquarie - Hastings,104015,Port Macquarie - Hastings,1,Good,Good,0
104016,Port Stephens,104016,Port Stephens,1,Good,Good,0
104017,Richmond Valley,104017,Richmond Valley,1,Good,Good,0
104018,Singleton,104018,Singleton,1,Good,Good,0
104019,Taree,104019,Taree,1,Good,Good,0
104020,Tweed,104020,Tweed,1,Good,Good,0
104021,Wyong,104023,Wyong,1,Good,Good,0
105001,Albury,105001,Albury,1,Good,Good,0
105002,Balranald - Wentworth,105002,Balranald - Wentworth,1,Good,Good,0
105003,Bathurst,105003,Bathurst,1,Good,Good,0
105004,Blayney - Cabonne,105004,Blayney - Cabonne,1,Good,Good,0
105005,Carrathool - Murrumbidgee,105005,Carrathool - Murrumbidgee,1,Good,Good,0
105006,Central Murray,105006,Central Murray,1,Good,Good,0
105007,Coolamon - Temora - West Wyalong,105007,Coolamon - Temora - West Wyalong,1,Good,Good,0
105008,Cootamundra,105008,Cootamundra,1,Good,Good,0
105009,Cowra,105009,Cowra,1,Good,Good,0
105010,Deniliquin - Murray,105010,Deniliquin - Murray,1,Good,Good,0
105011,Forbes,105011,Forbes,1,Good,Good,0
105012,Griffith - Leeton,105012,Griffith - Leeton,1,Good,Good,0
105013,Gundagai - Junee - Harden,105013,Gundagai - Junee - Harden,1,Good,Good,0
105014,Lachlan,105014,Lachlan,1,Good,Good,0
105015,Lithgow - Oberon,105015,Lithgow - Oberon,1,Good,Good,0
105016,Mudgee,105016,Mudgee,1,Good,Good,0
105017,Narrandera,105017,Narrandera,1,Good,Good,0
105018,Orange,105018,Orange,1,Good,Good,0
105019,Tumut,105019,Tumut,1,Good,Good,0
105020,Upper Murray,105020,Upper Murray,1,Good,Good,0
105021,Wagga Wagga,105021,Wagga Wagga,1,Good,Good,0
105022,Young,105022,Young,1,Good,Good,0
106001,Bega Valley,106001,Bega Valley,1,Good,Good,0
106002,Eurobodalla,106002,Eurobodalla,1,Good,Good,0
106003,Shoalhaven,106003,Shoalhaven,1,Good,Good,0
106004,Snowy - Monaro,106004,Snowy - Monaro,1,Good,Good,0
106005,Southern Tablelands,106005,Southern Tablelands,1,Good,Good,0
107001,Auburn,107001,Auburn,1,Good,Good,0
107002,Baulkham Hills,107002,Baulkham Hills,1,Good,Good,0
107003,Blacktown,107003,Blacktown,1,Good,Good,0
107004,Blue Mountains,107004,Blue Mountains,1,Good,Good,0
107005,Botany Bay,107005,Botany Bay,1,Good,Good,0
107006,Camden,107006,Camden,1,Good,Good,0
107007,Campbelltown,107006,Camden,2.00E-07,Good,Good,1
107007,Campbelltown,107007,Campbelltown,0.9999998,Good,Good,0
107008,Canterbury - Bankstown,107008,Canterbury - Bankstown,1,Good,Good,0
107009,Fairfield,107009,Fairfield,1,Good,Good,0
107010,Hawkesbury,107010,Hawkesbury,1,Good,Good,0
107011,Holroyd,107011,Holroyd,1,Good,Good,0
107012,Hornsby - Ku-ring-gai,107012,Hornsby - Ku-ring-gai,1,Good,Good,0
107013,Hunters Hill - Ryde,107013,Hunters Hill - Ryde,1,Good,Good,0
107014,Hurstville - Kogarah,107014,Hurstville - Kogarah,1,Good,Good,0
107015,Kiama - Shellharbour,107015,Kiama - Shellharbour,1,Good,Good,0
107016,Leichhardt,107016,Leichhardt,1,Good,Good,0
107017,Liverpool,107017,Liverpool,1,Good,Good,0
107018,Lord Howe Island,107018,Lord Howe Island,1,Good,Good,0
107019,Marrickville,107019,Marrickville,1,Good,Good,0
107020,Northern Beaches,107020,Northern Beaches,1,Good,Good,0
107021,Parramatta,107021,Parramatta,1,Good,Good,0
107022,Penrith,107022,Penrith,1,Good,Good,0
107023,Randwick - La Perouse,107023,Randwick - La Perouse,1,Good,Good,0
107024,Rockdale,107024,Rockdale,1,Good,Good,0
107025,Sutherland Shire,107025,Sutherland Shire,1,Good,Good,0
107026,Sydney - City,107026,Sydney - City,1,Good,Good,0
107027,Sydney - Inner West,107027,Sydney - Inner West,1,Good,Good,0
107028,Sydney - Lower North,107028,Sydney - Lower North,1,Good,Good,0
107029,Wollondilly,107029,Wollondilly,1,Good,Good,0
107030,Wollongong,107030,Wollongong,1,Good,Good,0
107031,Woollahra - Waverley,107031,Woollahra - Waverley,1,Good,Good,0
194994,No usual address (NSW),194994,No usual address (NSW),1,Good,Good,0
197997,Migratory - Offshore - Shipping (NSW),197997,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
201001,Brimbank,201001,Brimbank,1,Good,Good,0
201002,Cardinia,201002,Cardinia,1,Good,Good,0
201003,Craigieburn - Sunbury,201003,Craigieburn - Sunbury,1,Good,Good,0
201004,Cranbourne - Narre Warren,201004,Cranbourne - Narre Warren,1,Good,Good,0
201005,Frankston,201005,Frankston,1,Good,Good,0
201006,Greater Dandenong,201006,Greater Dandenong,1,Good,Good,0
201007,Knox,201007,Knox,1,Good,Good,0
201008,Maribyrnong - Moonee Valley,201008,Maribyrnong - Moonee Valley,1,Good,Good,0
201009,Maroondah,201009,Maroondah,1,Good,Good,0
201010,Melbourne - East,201010,Melbourne - East,1,Good,Good,0
201011,Melbourne - North-East,201011,Melbourne - North-East,1,Good,Good,0
201012,Melbourne - Port Phillip,201012,Melbourne - Port Phillip,1,Good,Good,0
201013,Melton,201013,Melton,1,Good,Good,0
201014,Monash,201014,Monash,1,Good,Good,0
201015,Moreland - Broadmeadows,201015,Moreland - Broadmeadows,1,Good,Good,0
201016,Mornington Peninsula,201016,Mornington Peninsula,1,Good,Good,0
201017,Northcote - Preston - Whittlesea,201017,Northcote - Preston - Whittlesea,1,Good,Good,0
201018,Whitehorse,201018,Whitehorse,1,Good,Good,0
201019,Wyndham - Altona,201019,Wyndham - Altona,1,Good,Good,0
201020,Yarra Ranges,201020,Yarra Ranges,1,Good,Good,0
202001,Ballarat,202001,Ballarat,1,Good,Good,0
202002,Baw Baw,202002,Baw Baw,1,Good,Good,0
202003,Bendigo,202003,Bendigo,1,Good,Good,0
202004,Campaspe - Shepparton - Moira,202004,Campaspe - Shepparton - Moira,1,Good,Good,0
202005,Castlemaine - Kerang,202005,Castlemaine - Kerang,1,Good,Good,0
202006,Geelong - Queenscliff,202006,Geelong - Queenscliff,1,Good,Good,0
202007,Gippsland,202007,Gippsland,1,Good,Good,0
202008,Latrobe,202008,Latrobe,1,Good,Good,0
202009,Macedon Ranges - Moorabool,202009,Macedon Ranges - Moorabool,1,Good,Good,0
202010,Mildura,202010,Mildura,1,Good,Good,0
202011,South Gippsland - Bass Coast,202011,South Gippsland - Bass Coast,1,Good,Good,0
202012,South-West Central Victoria,202012,South-West Central Victoria,1,Good,Good,0
202013,Southern Grampians - Glenelg,202013,Southern Grampians - Glenelg,1,Good,Good,0
202014,Swan Hill,202014,Swan Hill,1,Good,Good,0
202015,Upper Goulburn Valley,202015,Upper Goulburn Valley,1,Good,Good,0
202016,Wallan - Seymour,202016,Wallan - Seymour,1,Good,Good,0
202017,Warrnambool,202017,Warrnambool,1,Good,Good,0
202018,Wimmera,202018,Wimmera,1,Good,Good,0
202019,Wodonga,202019,Wodonga,1,Good,Good,0
294994,No usual address (Vic.),294994,No usual address (Vic.),1,Good,Good,0
297997,Migratory - Offshore - Shipping (Vic.),297997,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
301001,Beaudesert - Boonah,301001,Beaudesert - Boonah,1,Good,Good,0
301002,Brisbane City,301002,Brisbane City,1,Good,Good,0
301003,Caboolture,301003,Caboolture,1,Good,Good,0
301004,Caloundra,301004,Caloundra,1,Good,Good,0
301005,Esk - Kilcoy,301005,Esk - Kilcoy,1,Good,Good,0
301006,Gatton - Laidley,301006,Gatton - Laidley,1,Good,Good,0
301007,Gold Coast,301007,Gold Coast,1,Good,Good,0
301008,Ipswich,301008,Ipswich,1,Good,Good,0
301009,Logan,301009,Logan,1,Good,Good,0
301010,Maroochy,301010,Maroochy,1,Good,Good,0
301011,Noosa,301011,Noosa,1,Good,Good,0
301012,Pine Rivers,301012,Pine Rivers,1,Good,Good,0
301013,Redcliffe,301013,Redcliffe,1,Good,Good,0
301014,Redland,301014,Redland,1,Good,Good,0
302001,Atherton,309001,Atherton,1,Good,Good,0
302002,Cairns,309002,Cairns,1,Good,Good,0
302003,Cairns - Far North Coast,309003,Cairns - Far North Coast,1,Good,Good,0
302004,Cairns - Southern Hinterlands,309004,Cairns - Southern Hinterlands,1,Good,Good,0
302005,Eacham,309005,Eacham,1,Good,Good,0
302006,Herberton - Ravenshoe,309006,Herberton - Ravenshoe,1,Good,Good,0
302007,Innisfail - Johnstone,309007,Innisfail - Johnstone,1,Good,Good,0
302008,Kuranda - Croydon,309008,Kuranda - Croydon,1,Good,Good,0
302009,Mareeba,309009,Mareeba,1,Good,Good,0
302010,Wujal Wujal and Outstations,309011,Wujal Wujal and Outstations,1,Good,Good,0
302011,Yarrabah,309012,Yarrabah,1,Good,Good,0
303001,Aurukun,303001,Aurukun,1,Good,Good,0
303002,Cape York,303002,Cape York,1,Good,Good,0
303003,Cooktown,303003,Cooktown,1,Good,Good,0
303004,Hope Vale,303004,Hope Vale,1,Good,Good,0
303005,Kowanyama,303005,Kowanyama,1,Good,Good,0
303006,Lockhart River,303006,Lockhart River,1,Good,Good,0
303007,Mapoon - Napranum - Weipa,303007,Mapoon - Napranum - Weipa,1,Good,Good,0
303008,Northern Peninsula Area,303008,Northern Peninsula Area,1,Good,Good,0
303009,Pormpuraaw,303009,Pormpuraaw,1,Good,Good,0
304001,Boulia - Diamantina - Winton,304001,Boulia - Diamantina - Winton,1,Good,Good,0
304002,Carpentaria - Burke - Mornington,304002,Carpentaria - Burke - Mornington,1,Good,Good,0
304003,Cloncurry - McKinlay,304003,Cloncurry - McKinlay,1,Good,Good,0
304004,Mount Isa,304004,Mount Isa,1,Good,Good,0
305001,Banana,305001,Banana,1,Good,Good,0
305002,Barcaldine - Blackall - Longreach,305002,Barcaldine - Blackall - Longreach,1,Good,Good,0
305003,Bundaberg,305003,Bundaberg,1,Good,Good,0
305004,Central Capricorn,305004,Central Capricorn,1,Good,Good,0
305005,Fraser Coast,305005,Fraser Coast,1,Good,Good,0
305006,Gladstone,305006,Gladstone,1,Good,Good,0
305007,Nebo - Clermont,305007,Nebo - Clermont,1,Good,Good,0
305008,North Burnett,305008,North Burnett,1,Good,Good,0
