ILOC_CODE_2016,ILOC_NAME_2016,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10100101,Bogan,10100101,Bogan,1,Good,Good,0
10100201,Dubbo - East,10100201,Dubbo - East,1,Good,Good,0
10100202,Dubbo - North,10100202,Dubbo - North,1,Good,Good,0
10100203,Dubbo - South,10100203,Dubbo - South,1,Good,Good,0
10100204,Dubbo - Surrounds,10100204,Dubbo - Surrounds,1,Good,Good,0
10100205,Dubbo - West,10100205,Dubbo - West,1,Good,Good,0
10100301,Gilgandra,10100301,Gilgandra,1,Good,Good,0
10100401,Narromine,10100401,Narromine,1,Good,Good,0
10100402,Narromine - Surrounds,10100402,Narromine - Surrounds,1,Good,Good,0
10100403,Trangie,10100403,Trangie,1,Good,Good,0
10100501,Parkes,10100501,Parkes,1,Good,Good,0
10100502,Parkes - Surrounds,10100501,Parkes,0.0052325,Good,Good,1
10100502,Parkes - Surrounds,10100502,Parkes - Surrounds,0.9947675,Good,Good,0
10100503,Peak Hill,10100503,Peak Hill,1,Good,Good,0
10100601,Warren,10100601,Warren,1,Good,Good,0
10100701,Coonabarabran,10100701,Coonabarabran,1,Good,Good,0
10100702,Coonabarabran - Surrounds,10100702,Coonabarabran - Surrounds,1,Good,Good,0
10100801,Wellington,10100801,Wellington,1,Good,Good,0
10100802,Wellington - Surrounds,10100802,Wellington - Surrounds,1,Good,Good,0
10200101,Armidale,10200101,Armidale,1,Good,Good,0
10200201,Glen Innes,10200201,Glen Innes,1,Good,Good,0
10200301,Gunnedah,10200301,Gunnedah,1,Good,Good,0
10200302,Gunnedah - Surrounds,10200302,Gunnedah - Surrounds,1,Good,Good,0
10200401,Guyra,10200401,Guyra,1,Good,Good,0
10200402,Tingha,10200402,Tingha,1,Good,Good,0
10200501,Gwydir,10200501,Gwydir,1,Good,Good,0
10200502,Inverell,10200502,Inverell,1,Good,Good,0
10200601,Liverpool Plains,10200601,Liverpool Plains,1,Good,Good,0
