ILOC_CODE_2021,ILOC_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10100101,Bogan,13,Remote Australia,1,Acceptable,Good,0
10100201,Dubbo - East,11,Inner Regional Australia,1,Acceptable,Good,0
10100202,Dubbo - North,11,Inner Regional Australia,1,Acceptable,Good,0
10100203,Dubbo - South,11,Inner Regional Australia,1,Acceptable,Good,0
10100204,Dubbo - Surrounds,11,Inner Regional Australia,0.3607134,Acceptable,Good,0
10100204,Dubbo - Surrounds,12,Outer Regional Australia,0.6392866,Acceptable,Good,0
10100205,Dubbo - West,11,Inner Regional Australia,1,Acceptable,Good,0
10100301,Gilgandra,12,Outer Regional Australia,1,Acceptable,Good,0
10100401,Narromine,12,Outer Regional Australia,1,Acceptable,Good,0
10100402,Narromine - Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
10100403,Trangie,12,Outer Regional Australia,1,Acceptable,Good,0
10100501,Parkes,12,Outer Regional Australia,1,Acceptable,Good,0
10100502,Parkes - Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
10100503,Peak Hill,12,Outer Regional Australia,1,Acceptable,Good,0
10100601,Warren,12,Outer Regional Australia,0.6161692,Acceptable,Good,0
10100601,Warren,13,Remote Australia,0.3838308,Acceptable,Good,0
10100701,Coonabarabran,12,Outer Regional Australia,1,Acceptable,Good,0
10100702,Coonabarabran - Surrounds,12,Outer Regional Australia,0.8555846,Acceptable,Good,0
10100702,Coonabarabran - Surrounds,13,Remote Australia,0.1444154,Acceptable,Good,0
10100801,Wellington,12,Outer Regional Australia,1,Acceptable,Good,0
10100802,Wellington - Surrounds,12,Outer Regional Australia,1,Acceptable,Good,0
10200101,Armidale,11,Inner Regional Australia,0.9080186,Acceptable,Good,0
10200101,Armidale,12,Outer Regional Australia,0.0919814,Acceptable,Good,0
10200201,Glen Innes,12,Outer Regional Australia,1,Acceptable,Good,0
10200301,Gunnedah,12,Outer Regional Australia,1,Acceptable,Good,0
