IREG_CODE_2016,IREG_NAME_2016,IREG_CODE_2021,IREG_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101,Dubbo,101,Dubbo,1,Good,Good,0
102,North-Eastern NSW,102,North-Eastern NSW,1,Good,Good,0
103,North-Western NSW,103,North-Western NSW,1,Good,Good,0
104,NSW Central and North Coast,104,NSW Central and North Coast,1,Good,Good,0
105,Riverina - Orange,105,Riverina - Orange,1,Good,Good,0
106,South-Eastern NSW,106,South-Eastern NSW,1,Good,Good,0
107,Sydney - Wollongong,107,Sydney - Wollongong,1,Good,Good,0
194,No usual address (NSW),194,No usual address (NSW),1,Good,Good,0
197,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
201,Melbourne,201,Melbourne,1,Good,Good,0
202,Victoria exc. Melbourne,202,Victoria exc. Melbourne,1,Good,Good,0
294,No usual address (Vic.),294,No usual address (Vic.),1,Good,Good,0
297,Migratory - Offshore - Shipping (Vic.),297,Migratory - Offshore - Shipping (Vic.),1,Good,Good,0
301,Brisbane,301,Brisbane,1,Good,Good,0
302,Cairns - Atherton,309,Cairns - Atherton,1,Good,Good,0
303,Cape York,303,Cape York,1,Good,Good,0
304,Mount Isa,304,Mount Isa,1,Good,Good,0
305,Rockhampton,305,Rockhampton,1,Good,Good,0
306,Toowoomba - Roma,306,Toowoomba - Roma,1,Good,Good,0
307,Torres Strait,307,Torres Strait,1,Good,Good,0
308,Townsville - Mackay,309,Cairns - Atherton,0.0293462,Good,Good,0
308,Townsville - Mackay,310,Townsville - Mackay,0.9706538,Good,Good,0
394,No usual address (Qld),394,No usual address (Qld),1,Good,Good,0
397,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),1,Good,Good,0
401,Adelaide,401,Adelaide,1,Good,Good,0
402,Port Augusta,402,Port Augusta,1,Good,Good,0
403,Port Lincoln - Ceduna,403,Port Lincoln - Ceduna,1,Good,Good,0
494,No usual address (SA),494,No usual address (SA),1,Good,Good,0
497,Migratory - Offshore - Shipping (SA),497,Migratory - Offshore - Shipping (SA),1,Good,Good,0
501,Broome,501,Broome,1,Good,Good,0
502,Geraldton,502,Geraldton,1,Good,Good,0
503,Kalgoorlie,503,Kalgoorlie,1,Good,Good,0
504,Kununurra,504,Kununurra,1,Good,Good,0
505,Perth,505,Perth,1,Good,Good,0
506,South Hedland,506,South Hedland,1,Good,Good,0
507,South-Western WA,507,South-Western WA,1,Good,Good,0
508,West Kimberley,508,West Kimberley,1,Good,Good,0
594,No usual address (WA),594,No usual address (WA),1,Good,Good,0
597,Migratory - Offshore - Shipping (WA),597,Migratory - Offshore - Shipping (WA),1,Good,Good,0
601,Tasmania,601,Tasmania,1,Good,Good,0
694,No usual address (Tas.),694,No usual address (Tas.),1,Good,Good,0
697,Migratory - Offshore - Shipping (Tas.),697,Migratory - Offshore - Shipping (Tas.),1,Good,Good,0
701,Alice Springs,708,Alice Springs,0.9526581,Good,Good,0
701,Alice Springs,709,Apatula,0.0473419,Good,Good,0
702,Apatula,709,Apatula,1,Good,Good,0
703,Darwin,703,Darwin,1,Good,Good,0
704,Jabiru - Tiwi,704,Jabiru - Tiwi,1,Good,Good,0
705,Katherine,705,Katherine,1,Good,Good,0
706,Nhulunbuy,706,Nhulunbuy,1,Good,Good,0
707,Tennant Creek,707,Tennant Creek,1,Good,Good,0
794,No usual address (NT),794,No usual address (NT),1,Good,Good,0
797,Migratory - Offshore - Shipping (NT),797,Migratory - Offshore - Shipping (NT),1,Good,Good,0
801,ACT,801,ACT,1,Good,Good,0
894,No usual address (ACT),894,No usual address (ACT),1,Good,Good,0
897,Migratory - Offshore - Shipping (ACT),897,Migratory - Offshore - Shipping (ACT),1,Good,Good,0
901,Christmas - Cocos (Keeling) Is.,901,Christmas - Cocos (Keeling) Is.,1,Good,Good,0
902,Jervis Bay,902,Jervis Bay,1,Good,Good,0
903,Norfolk Island,903,Norfolk Island,1,Good,Good,0
994,No usual address (OT),994,No usual address (OT),1,Good,Good,0
997,Migratory - Offshore - Shipping (OT),997,Migratory - Offshore - Shipping (OT),1,Good,Good,0
,,ZZZ,Outside Australia,,NA,Good,3
