LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury (C),1RNSW,Rest of NSW,1,Good,Good,0
10130,Armidale Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
10250,Ballina (A),1RNSW,Rest of NSW,1,Good,Good,0
10300,Balranald (A),1RNSW,Rest of NSW,1,Good,Good,0
10470,Bathurst Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
10500,Bayside (A),1GSYD,Greater Sydney,1,Good,Good,0
10550,Bega Valley (A),1RNSW,Rest of NSW,1,Good,Good,0
10600,Bellingen (A),1RNSW,Rest of NSW,1,Good,Good,0
10650,Berrigan (A),1RNSW,Rest of NSW,1,Good,Good,0
10750,Blacktown (C),1GSYD,Greater Sydney,1,Good,Good,0
10800,Bland (A),1RNSW,Rest of NSW,1,Good,Good,0
10850,Blayney (A),1RNSW,Rest of NSW,1,Good,Good,0
10900,Blue Mountains (C),1GSYD,Greater Sydney,0.9999999,Good,Good,0
10900,Blue Mountains (C),1RNSW,Rest of NSW,1.00E-07,Good,Good,1
10950,Bogan (A),1RNSW,Rest of NSW,1,Good,Good,0
11150,Bourke (A),1RNSW,Rest of NSW,1,Good,Good,0
11200,Brewarrina (A),1RNSW,Rest of NSW,1,Good,Good,0
11250,Broken Hill (C),1RNSW,Rest of NSW,1,Good,Good,0
11300,Burwood (A),1GSYD,Greater Sydney,1,Good,Good,0
11350,Byron (A),1RNSW,Rest of NSW,1,Good,Good,0
11400,Cabonne (A),1RNSW,Rest of NSW,1,Good,Good,0
11450,Camden (A),1GSYD,Greater Sydney,1,Good,Good,0
11500,Campbelltown (C) (NSW),1GSYD,Greater Sydney,0.9999999,Good,Good,0
11500,Campbelltown (C) (NSW),1RNSW,Rest of NSW,1.00E-07,Good,Good,1
11520,Canada Bay (A),1GSYD,Greater Sydney,1,Good,Good,0
11570,Canterbury-Bankstown (A),1GSYD,Greater Sydney,1,Good,Good,0
11600,Carrathool (A),1RNSW,Rest of NSW,1,Good,Good,0
11650,Central Coast (C) (NSW),1GSYD,Greater Sydney,1,Good,Good,0
11700,Central Darling (A),1RNSW,Rest of NSW,1,Good,Good,0
11720,Cessnock (C),1RNSW,Rest of NSW,1,Good,Good,0
11730,Clarence Valley (A),1RNSW,Rest of NSW,1,Good,Good,0
11750,Cobar (A),1RNSW,Rest of NSW,1,Good,Good,0
11800,Coffs Harbour (C),1RNSW,Rest of NSW,1,Good,Good,0
12000,Coolamon (A),1RNSW,Rest of NSW,1,Good,Good,0
12150,Coonamble (A),1RNSW,Rest of NSW,1,Good,Good,0
12160,Cootamundra-Gundagai Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
12350,Cowra (A),1RNSW,Rest of NSW,1,Good,Good,0
12380,Cumberland (A),1GSYD,Greater Sydney,1,Good,Good,0
12390,Dubbo Regional (A),1RNSW,Rest of NSW,1,Good,Good,0
12700,Dungog (A),1RNSW,Rest of NSW,1,Good,Good,0
12730,Edward River (A),1RNSW,Rest of NSW,1,Good,Good,0
12750,Eurobodalla (A),1RNSW,Rest of NSW,1,Good,Good,0
12850,Fairfield (C),1GSYD,Greater Sydney,1,Good,Good,0
12870,Federation (A),1RNSW,Rest of NSW,1,Good,Good,0
12900,Forbes (A),1RNSW,Rest of NSW,1,Good,Good,0
12930,Georges River (A),,,1.00E-07,Poor,Good,4
12930,Georges River (A),1GSYD,Greater Sydney,0.9999999,Good,Good,0
12950,Gilgandra (A),1RNSW,Rest of NSW,1,Good,Good,0
13010,Glen Innes Severn (A),1RNSW,Rest of NSW,1,Good,Good,0
13310,Goulburn Mulwaree (A),1RNSW,Rest of NSW,1,Good,Good,0
13340,Greater Hume Shire (A),1RNSW,Rest of NSW,1,Good,Good,0
13450,Griffith (C),1RNSW,Rest of NSW,1,Good,Good,0
13550,Gunnedah (A),1RNSW,Rest of NSW,1,Good,Good,0
13660,Gwydir (A),1RNSW,Rest of NSW,1,Good,Good,0
13800,Hawkesbury (C),1GSYD,Greater Sydney,1,Good,Good,0
13850,Hay (A),1RNSW,Rest of NSW,1,Good,Good,0
13910,Hilltops (A),1RNSW,Rest of NSW,1,Good,Good,0
14000,Hornsby (A),1GSYD,Greater Sydney,1,Good,Good,0
14100,Hunters Hill (A),1GSYD,Greater Sydney,1,Good,Good,0
14170,Inner West (A),1GSYD,Greater Sydney,1,Good,Good,0
14200,Inverell (A),1RNSW,Rest of NSW,1,Good,Good,0
14300,Junee (A),1RNSW,Rest of NSW,1,Good,Good,0
14350,Kempsey (A),1RNSW,Rest of NSW,1,Good,Good,0
14400,Kiama (A),1RNSW,Rest of NSW,1,Good,Good,0
14500,Ku-ring-gai (A),1GSYD,Greater Sydney,1,Good,Good,0
