LGA_CODE_2020,LGA_NAME_2020,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury (C),10050,Albury,1,Good,Good,0
10180,Armidale Regional (A),10180,Armidale Regional,1,Good,Good,0
10250,Ballina (A),10250,Ballina,1,Good,Good,0
10300,Balranald (A),10300,Balranald,1,Good,Good,0
10470,Bathurst Regional (A),10470,Bathurst Regional,1,Good,Good,0
10500,Bayside (A),10500,Bayside (NSW),1,Good,Good,0
10550,Bega Valley (A),10550,Bega Valley,1,Good,Good,0
10600,Bellingen (A),10600,Bellingen,1,Good,Good,0
10650,Berrigan (A),10650,Berrigan,1,Good,Good,0
10750,Blacktown (C),10750,Blacktown,0.999982,Good,Good,0
10750,Blacktown (C),12380,Cumberland,1.80E-05,Good,Good,1
10800,Bland (A),10800,Bland,1,Good,Good,0
10850,Blayney (A),10850,Blayney,1,Good,Good,0
10900,Blue Mountains (C),10900,Blue Mountains,1,Good,Good,0
10950,Bogan (A),10950,Bogan,1,Good,Good,0
11150,Bourke (A),11150,Bourke,1,Good,Good,0
11200,Brewarrina (A),11200,Brewarrina,1,Good,Good,0
11250,Broken Hill (C),11250,Broken Hill,1,Good,Good,0
11300,Burwood (A),11300,Burwood,1,Good,Good,0
11350,Byron (A),11350,Byron,1,Good,Good,0
11400,Cabonne (A),11400,Cabonne,1,Good,Good,0
11450,Camden (A),11450,Camden,0.9999408,Good,Good,0
11450,Camden (A),11500,Campbelltown (NSW),5.92E-05,Good,Good,1
11500,Campbelltown (C) (NSW),11450,Camden,0.0004083,Good,Good,1
11500,Campbelltown (C) (NSW),11500,Campbelltown (NSW),0.9995917,Good,Good,0
11520,Canada Bay (A),11520,Canada Bay,1,Good,Good,0
11570,Canterbury-Bankstown (A),11570,Canterbury-Bankstown,1,Good,Good,0
11600,Carrathool (A),11600,Carrathool,1,Good,Good,0
11650,Central Coast (C) (NSW),11650,Central Coast (NSW),1,Good,Good,0
11700,Central Darling (A),11700,Central Darling,1,Good,Good,0
11720,Cessnock (C),11720,Cessnock,1,Good,Good,0
11730,Clarence Valley (A),11730,Clarence Valley,1,Good,Good,0
11750,Cobar (A),11750,Cobar,1,Good,Good,0
11800,Coffs Harbour (C),11800,Coffs Harbour,1,Good,Good,0
12000,Coolamon (A),12000,Coolamon,1,Good,Good,0
12150,Coonamble (A),12150,Coonamble,1,Good,Good,0
12160,Cootamundra-Gundagai Regional (A),12160,Cootamundra-Gundagai Regional,1,Good,Good,0
12350,Cowra (A),12350,Cowra,1,Good,Good,0
12380,Cumberland (A),12380,Cumberland,0.9999886,Good,Good,0
12380,Cumberland (A),16260,Parramatta,1.14E-05,Good,Good,1
12390,Dubbo Regional (A),12390,Dubbo Regional,1,Good,Good,0
12700,Dungog (A),12700,Dungog,1,Good,Good,0
12730,Edward River (A),12730,Edward River,1,Good,Good,0
12750,Eurobodalla (A),12750,Eurobodalla,1,Good,Good,0
12850,Fairfield (C),12850,Fairfield,1,Good,Good,0
12870,Federation (A),12870,Federation,1,Good,Good,0
12900,Forbes (A),12900,Forbes,1,Good,Good,0
12930,Georges River (A),12930,Georges River,1,Good,Good,0
12950,Gilgandra (A),12950,Gilgandra,1,Good,Good,0
13010,Glen Innes Severn (A),13010,Glen Innes Severn,1,Good,Good,0
13310,Goulburn Mulwaree (A),13310,Goulburn Mulwaree,1,Good,Good,0
13340,Greater Hume Shire (A),13340,Greater Hume Shire,1,Good,Good,0
13450,Griffith (C),13450,Griffith,1,Good,Good,0
13550,Gunnedah (A),13550,Gunnedah,1,Good,Good,0
13660,Gwydir (A),13660,Gwydir,1,Good,Good,0
13800,Hawkesbury (C),13800,Hawkesbury,1,Good,Good,0
13850,Hay (A),13850,Hay,1,Good,Good,0
13910,Hilltops (A),13910,Hilltops,1,Good,Good,0
14000,Hornsby (A),14000,Hornsby,1,Good,Good,0
14100,Hunters Hill (A),14100,Hunters Hill,1,Good,Good,0
14170,Inner West (A),14170,Inner West,1,Good,Good,0
14220,Inverell (A),14220,Inverell,1,Good,Good,0
14300,Junee (A),14300,Junee,1,Good,Good,0
14350,Kempsey (A),14350,Kempsey,1,Good,Good,0
14400,Kiama (A),14400,Kiama,1,Good,Good,0
14500,Ku-ring-gai (A),14500,Ku-ring-gai,1,Good,Good,0
14550,Kyogle (A),14550,Kyogle,1,Good,Good,0
14600,Lachlan (A),14600,Lachlan,1,Good,Good,0
14650,Lake Macquarie (C),14650,Lake Macquarie,1,Good,Good,0
14700,Lane Cove (A),14700,Lane Cove,1,Good,Good,0
14750,Leeton (A),14750,Leeton,1,Good,Good,0
14850,Lismore (C),14850,Lismore,1,Good,Good,0
14870,Lithgow (C),14870,Lithgow,1,Good,Good,0
14900,Liverpool (C),14900,Liverpool,1,Good,Good,0
14920,Liverpool Plains (A),14920,Liverpool Plains,1,Good,Good,0
14950,Lockhart (A),14950,Lockhart,1,Good,Good,0
15050,Maitland (C),15050,Maitland,1,Good,Good,0
15240,Mid-Coast (A),15240,Mid-Coast,1,Good,Good,0
15270,Mid-Western Regional (A),15270,Mid-Western Regional,1,Good,Good,0
15300,Moree Plains (A),15300,Moree Plains,1,Good,Good,0
15350,Mosman (A),15350,Mosman,1,Good,Good,0
15520,Murray River (A),15520,Murray River,1,Good,Good,0
15560,Murrumbidgee (A),15560,Murrumbidgee,1,Good,Good,0
15650,Muswellbrook (A),15650,Muswellbrook,1,Good,Good,0
15700,Nambucca Valley (A),15700,Nambucca Valley,1,Good,Good,0
15750,Narrabri (A),15750,Narrabri,1,Good,Good,0
15800,Narrandera (A),15800,Narrandera,1,Good,Good,0
15850,Narromine (A),15850,Narromine,1,Good,Good,0
15900,Newcastle (C),15900,Newcastle,1,Good,Good,0
15950,North Sydney (A),15950,North Sydney,1,Good,Good,0
15990,Northern Beaches (A),15990,Northern Beaches,1,Good,Good,0
16100,Oberon (A),16100,Oberon,1,Good,Good,0
16150,Orange (C),16150,Orange,1,Good,Good,0
16200,Parkes (A),16200,Parkes,1,Good,Good,0
16260,Parramatta (C),16260,Parramatta,1,Good,Good,0
16350,Penrith (C),16350,Penrith,1,Good,Good,0
16380,Port Macquarie-Hastings (A),16380,Port Macquarie-Hastings,1,Good,Good,0
16400,Port Stephens (A),16400,Port Stephens,1,Good,Good,0
16490,Queanbeyan-Palerang Regional (A),16490,Queanbeyan-Palerang Regional,1,Good,Good,0
16550,Randwick (C),16550,Randwick,1,Good,Good,0
16610,Richmond Valley (A),16610,Richmond Valley,1,Good,Good,0
16700,Ryde (C),16700,Ryde,1,Good,Good,0
16900,Shellharbour (C),16900,Shellharbour,1,Good,Good,0
16950,Shoalhaven (C),16950,Shoalhaven,1,Good,Good,0
17000,Singleton (A),17000,Singleton,1,Good,Good,0
17040,Snowy Monaro Regional (A),17040,Snowy Monaro Regional,1,Good,Good,0
17080,Snowy Valleys (A),17080,Snowy Valleys,1,Good,Good,0
17100,Strathfield (A),17100,Strathfield,1,Good,Good,0
17150,Sutherland Shire (A),17150,Sutherland Shire,0.9999773,Good,Good,0
17150,Sutherland Shire (A),,,2.27E-05,Poor,Good,4
17200,Sydney (C),17200,Sydney,1,Good,Good,0
17310,Tamworth Regional (A),17310,Tamworth Regional,1,Good,Good,0
17350,Temora (A),17350,Temora,1,Good,Good,0
