LGA_CODE_2021,LGA_NAME_2021,ADD_CODE_2021,ADD_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,D03,Murray-Darling Basin,1,Good,Good,0
10180,Armidale Regional,D03,Murray-Darling Basin,0.0821703,Good,Good,0
10180,Armidale Regional,D08,South East Coast (NSW),0.9178297,Good,Good,0
10250,Ballina,D08,South East Coast (NSW),1,Good,Good,0
10300,Balranald,D03,Murray-Darling Basin,1,Good,Good,0
10470,Bathurst Regional,D03,Murray-Darling Basin,1,Good,Good,0
10500,Bayside (NSW),D08,South East Coast (NSW),1,Good,Good,0
10550,Bega Valley,D08,South East Coast (NSW),0.9995505,Good,Good,0
10550,Bega Valley,D09,South East Coast (Victoria),0.0004495,Good,Good,1
10600,Bellingen,D08,South East Coast (NSW),1,Good,Good,0
10650,Berrigan,D03,Murray-Darling Basin,1,Good,Good,0
10750,Blacktown,D08,South East Coast (NSW),1,Good,Good,0
10800,Bland,D03,Murray-Darling Basin,1,Good,Good,0
10850,Blayney,D03,Murray-Darling Basin,1,Good,Good,0
10900,Blue Mountains,D08,South East Coast (NSW),1,Good,Good,0
10950,Bogan,D03,Murray-Darling Basin,1,Good,Good,0
11150,Bourke,D03,Murray-Darling Basin,1,Good,Good,0
11200,Brewarrina,D03,Murray-Darling Basin,1,Good,Good,0
11250,Broken Hill,D03,Murray-Darling Basin,1,Good,Good,0
11300,Burwood,D08,South East Coast (NSW),1,Good,Good,0
11350,Byron,D08,South East Coast (NSW),1,Good,Good,0
11400,Cabonne,D03,Murray-Darling Basin,1,Good,Good,0
11450,Camden,D08,South East Coast (NSW),1,Good,Good,0
11500,Campbelltown (NSW),D08,South East Coast (NSW),1,Good,Good,0
11520,Canada Bay,D08,South East Coast (NSW),1,Good,Good,0
11570,Canterbury-Bankstown,D08,South East Coast (NSW),1,Good,Good,0
11600,Carrathool,D03,Murray-Darling Basin,1,Good,Good,0
11650,Central Coast (NSW),D08,South East Coast (NSW),1,Good,Good,0
11700,Central Darling,D02,Lake Eyre Basin,0.009829,Acceptable,Good,1
11700,Central Darling,D03,Murray-Darling Basin,0.990171,Good,Good,0
11720,Cessnock,D08,South East Coast (NSW),1,Good,Good,0
11730,Clarence Valley,D08,South East Coast (NSW),1,Good,Good,0
11750,Cobar,D03,Murray-Darling Basin,1,Good,Good,0
11800,Coffs Harbour,D08,South East Coast (NSW),1,Good,Good,0
12000,Coolamon,D03,Murray-Darling Basin,1,Good,Good,0
12150,Coonamble,D03,Murray-Darling Basin,1,Good,Good,0
12160,Cootamundra-Gundagai Regional,D03,Murray-Darling Basin,1,Good,Good,0
12350,Cowra,D03,Murray-Darling Basin,1,Good,Good,0
12380,Cumberland,D08,South East Coast (NSW),1,Good,Good,0
12390,Dubbo Regional,D03,Murray-Darling Basin,1,Good,Good,0
12700,Dungog,D08,South East Coast (NSW),1,Good,Good,0
12730,Edward River,D03,Murray-Darling Basin,1,Good,Good,0
12750,Eurobodalla,D08,South East Coast (NSW),1,Good,Good,0
12850,Fairfield,D08,South East Coast (NSW),1,Good,Good,0
12870,Federation,D03,Murray-Darling Basin,1,Good,Good,0
12900,Forbes,D03,Murray-Darling Basin,1,Good,Good,0
12930,Georges River,D08,South East Coast (NSW),1,Good,Good,0
12950,Gilgandra,D03,Murray-Darling Basin,1,Good,Good,0
13010,Glen Innes Severn,D03,Murray-Darling Basin,0.8985597,Good,Good,0
13010,Glen Innes Severn,D08,South East Coast (NSW),0.1014403,Good,Good,0
13310,Goulburn Mulwaree,D03,Murray-Darling Basin,0.0032582,Good,Good,1
13310,Goulburn Mulwaree,D08,South East Coast (NSW),0.9967418,Good,Good,0
13340,Greater Hume Shire,D03,Murray-Darling Basin,1,Good,Good,0
13450,Griffith,D03,Murray-Darling Basin,1,Good,Good,0
13550,Gunnedah,D03,Murray-Darling Basin,1,Good,Good,0
13660,Gwydir,D03,Murray-Darling Basin,1,Good,Good,0
13800,Hawkesbury,D08,South East Coast (NSW),1,Good,Good,0
13850,Hay,D03,Murray-Darling Basin,1,Good,Good,0
13910,Hilltops,D03,Murray-Darling Basin,1,Good,Good,0
