LGA_CODE_2021,LGA_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,114,Farrer,1,Good,Poor,0
10180,Armidale Regional,130,New England,1,Good,Poor,0
10250,Ballina,133,Page,0.2673716,Acceptable,Poor,0
10250,Ballina,138,Richmond,0.7326284,Good,Poor,0
10300,Balranald,114,Farrer,1,Good,Poor,0
10470,Bathurst Regional,107,Calare,1,Good,Poor,0
10500,Bayside (NSW),102,Barton,0.5387954,Poor,Poor,0
10500,Bayside (NSW),109,Cook,0.1255007,Poor,Poor,0
10500,Bayside (NSW),122,Kingsford Smith,0.3357039,Poor,Poor,0
10550,Bega Valley,113,Eden-Monaro,1,Good,Poor,0
10600,Bellingen,110,Cowper,1,Acceptable,Poor,0
10650,Berrigan,114,Farrer,1,Good,Poor,0
10750,Blacktown,108,Chifley,0.509161,Poor,Poor,0
10750,Blacktown,118,Greenway,0.4761803,Poor,Poor,0
10750,Blacktown,128,McMahon,0.0146587,Poor,Poor,0
10800,Bland,139,Riverina,1,Good,Poor,0
10850,Blayney,107,Calare,1,Good,Poor,0
10900,Blue Mountains,127,Macquarie,1,Good,Poor,0
10950,Bogan,134,Parkes,1,Good,Poor,0
11150,Bourke,134,Parkes,1,Good,Poor,0
11200,Brewarrina,134,Parkes,1,Good,Poor,0
11250,Broken Hill,134,Parkes,1,Good,Poor,0
11300,Burwood,137,Reid,0.7122343,Poor,Poor,0
11300,Burwood,144,Watson,0.2877657,Poor,Poor,0
11350,Byron,138,Richmond,1,Good,Poor,0
11400,Cabonne,107,Calare,1,Good,Poor,0
11450,Camden,120,Hume,0.4866059,Poor,Poor,0
11450,Camden,125,Macarthur,0.5133941,Poor,Poor,0
11500,Campbelltown (NSW),125,Macarthur,0.8169979,Poor,Poor,0
11500,Campbelltown (NSW),146,Werriwa,0.1830021,Poor,Poor,0
11520,Canada Bay,137,Reid,1,Poor,Poor,0
11570,Canterbury-Bankstown,101,Banks,0.1750438,Poor,Poor,0
11570,Canterbury-Bankstown,102,Barton,0.0923203,Poor,Poor,0
11570,Canterbury-Bankstown,105,Blaxland,0.3247286,Poor,Poor,0
11570,Canterbury-Bankstown,117,Grayndler,0.0099577,Acceptable,Poor,1
11570,Canterbury-Bankstown,144,Watson,0.3979497,Poor,Poor,0
11600,Carrathool,114,Farrer,1,Good,Poor,0
11650,Central Coast (NSW),112,Dobell,0.4698878,Poor,Poor,0
11650,Central Coast (NSW),140,Robertson,0.438011,Poor,Poor,0
11650,Central Coast (NSW),141,Shortland,0.0921012,Poor,Poor,0
11700,Central Darling,134,Parkes,1,Good,Poor,0
11720,Cessnock,121,Hunter,0.6649135,Poor,Poor,0
11720,Cessnock,136,Paterson,0.3350865,Acceptable,Poor,0
11730,Clarence Valley,110,Cowper,4.00E-07,Acceptable,Poor,1
11730,Clarence Valley,133,Page,0.9999996,Acceptable,Poor,0
11750,Cobar,134,Parkes,1,Good,Poor,0
11800,Coffs Harbour,110,Cowper,0.68211,Acceptable,Poor,0
