LGA_CODE_2021,LGA_NAME_2021,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,PHN205,Murray,1,Good,Good,0
10180,Armidale Regional,PHN108,Hunter New England and Central Coast,1,Good,Good,0
10250,Ballina,PHN109,North Coast,1,Good,Good,0
10300,Balranald,PHN107,Western NSW,1,Good,Good,0
10470,Bathurst Regional,PHN107,Western NSW,1,Good,Good,0
10500,Bayside (NSW),PHN101,Central and Eastern Sydney,1,Good,Good,0
10550,Bega Valley,PHN106,South Eastern NSW,1,Good,Good,0
10600,Bellingen,PHN109,North Coast,1,Good,Good,0
10650,Berrigan,PHN110,Murrumbidgee,1,Good,Good,0
10750,Blacktown,PHN103,Western Sydney,1,Good,Good,0
10800,Bland,PHN110,Murrumbidgee,1,Good,Good,0
10850,Blayney,PHN107,Western NSW,1,Good,Good,0
10900,Blue Mountains,PHN104,Nepean Blue Mountains,1,Good,Good,0
10950,Bogan,PHN107,Western NSW,1,Good,Good,0
11150,Bourke,PHN107,Western NSW,1,Good,Good,0
11200,Brewarrina,PHN107,Western NSW,1,Good,Good,0
11250,Broken Hill,PHN107,Western NSW,1,Good,Good,0
11300,Burwood,PHN101,Central and Eastern Sydney,1,Good,Good,0
11350,Byron,PHN109,North Coast,1,Good,Good,0
11400,Cabonne,PHN107,Western NSW,1,Good,Good,0
11450,Camden,PHN105,South Western Sydney,1,Good,Good,0
11500,Campbelltown (NSW),PHN105,South Western Sydney,1,Good,Good,0
11520,Canada Bay,PHN101,Central and Eastern Sydney,1,Good,Good,0
11570,Canterbury-Bankstown,PHN101,Central and Eastern Sydney,0.4214125,Good,Good,0
11570,Canterbury-Bankstown,PHN105,South Western Sydney,0.5785875,Good,Good,0
11600,Carrathool,PHN110,Murrumbidgee,1,Good,Good,0
11650,Central Coast (NSW),PHN108,Hunter New England and Central Coast,1,Good,Good,0
