LGA_CODE_2021,LGA_NAME_2021,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury,11,Inner Regional Australia,1,Acceptable,Good,0
10180,Armidale Regional,12,Outer Regional Australia,0.0812624,Poor,Good,0
10180,Armidale Regional,11,Inner Regional Australia,0.9187376,Acceptable,Good,0
10250,Ballina,11,Inner Regional Australia,1,Acceptable,Good,0
10300,Balranald,13,Remote Australia,0.1481575,Poor,Good,0
10300,Balranald,12,Outer Regional Australia,0.8518425,Poor,Good,0
10470,Bathurst Regional,12,Outer Regional Australia,0.0187898,Poor,Good,0
10470,Bathurst Regional,11,Inner Regional Australia,0.9812102,Acceptable,Good,0
10500,Bayside (NSW),10,Major Cities of Australia,1,Good,Good,0
10550,Bega Valley,12,Outer Regional Australia,1,Poor,Good,0
10600,Bellingen,12,Outer Regional Australia,0.102206,Poor,Good,0
10600,Bellingen,11,Inner Regional Australia,0.897794,Acceptable,Good,0
10650,Berrigan,12,Outer Regional Australia,0.2259713,Poor,Good,0
10650,Berrigan,11,Inner Regional Australia,0.7740287,Acceptable,Good,0
10750,Blacktown,10,Major Cities of Australia,1,Good,Good,0
10800,Bland,13,Remote Australia,0.0226867,Poor,Good,0
10800,Bland,12,Outer Regional Australia,0.9773133,Poor,Good,0
10850,Blayney,12,Outer Regional Australia,0.1298892,Poor,Good,0
10850,Blayney,11,Inner Regional Australia,0.8701108,Acceptable,Good,0
10900,Blue Mountains,12,Outer Regional Australia,1.00E-07,Poor,Good,1
10900,Blue Mountains,11,Inner Regional Australia,0.0838299,Acceptable,Good,0
10900,Blue Mountains,10,Major Cities of Australia,0.9161699,Good,Good,0
10950,Bogan,14,Very Remote Australia,0.0040714,Acceptable,Good,1
10950,Bogan,13,Remote Australia,0.9959286,Poor,Good,0
11150,Bourke,14,Very Remote Australia,1,Acceptable,Good,0
11200,Brewarrina,13,Remote Australia,0.0125291,Poor,Good,0
11200,Brewarrina,14,Very Remote Australia,0.9874709,Acceptable,Good,0
11250,Broken Hill,12,Outer Regional Australia,1,Poor,Good,0
11300,Burwood,10,Major Cities of Australia,1,Good,Good,0
11350,Byron,11,Inner Regional Australia,1,Acceptable,Good,0
11400,Cabonne,12,Outer Regional Australia,0.3956869,Poor,Good,0
11400,Cabonne,11,Inner Regional Australia,0.6043131,Acceptable,Good,0
11450,Camden,11,Inner Regional Australia,0.0022715,Acceptable,Good,1
11450,Camden,10,Major Cities of Australia,0.9977285,Good,Good,0
11500,Campbelltown (NSW),11,Inner Regional Australia,2.86E-05,Acceptable,Good,1
11500,Campbelltown (NSW),10,Major Cities of Australia,0.9999714,Good,Good,0
11520,Canada Bay,10,Major Cities of Australia,1,Good,Good,0
11570,Canterbury-Bankstown,10,Major Cities of Australia,1,Good,Good,0
11600,Carrathool,12,Outer Regional Australia,0.3485976,Poor,Good,0
11600,Carrathool,13,Remote Australia,0.6514024,Poor,Good,0
11650,Central Coast (NSW),11,Inner Regional Australia,0.0191664,Acceptable,Good,0
11650,Central Coast (NSW),10,Major Cities of Australia,0.9808336,Good,Good,0
11700,Central Darling,14,Very Remote Australia,1,Acceptable,Good,0
11720,Cessnock,11,Inner Regional Australia,0.3055572,Acceptable,Good,0
11720,Cessnock,10,Major Cities of Australia,0.6944428,Good,Good,0
11730,Clarence Valley,12,Outer Regional Australia,0.0458238,Poor,Good,0
11730,Clarence Valley,11,Inner Regional Australia,0.9541762,Acceptable,Good,0
11750,Cobar,14,Very Remote Australia,0.1027475,Acceptable,Good,0
11750,Cobar,13,Remote Australia,0.8972525,Poor,Good,0
11800,Coffs Harbour,11,Inner Regional Australia,1,Acceptable,Good,0
12000,Coolamon,12,Outer Regional Australia,0.4052651,Poor,Good,0
12000,Coolamon,11,Inner Regional Australia,0.5947349,Acceptable,Good,0
12150,Coonamble,12,Outer Regional Australia,0.0963892,Poor,Good,0
12150,Coonamble,13,Remote Australia,0.9036108,Poor,Good,0
12160,Cootamundra-Gundagai Regional,12,Outer Regional Australia,0.1277436,Poor,Good,0
12160,Cootamundra-Gundagai Regional,11,Inner Regional Australia,0.8722564,Acceptable,Good,0
12350,Cowra,12,Outer Regional Australia,0.2264626,Poor,Good,0
12350,Cowra,11,Inner Regional Australia,0.7735374,Acceptable,Good,0
12380,Cumberland,10,Major Cities of Australia,1,Good,Good,0
12390,Dubbo Regional,12,Outer Regional Australia,0.2525509,Poor,Good,0
12390,Dubbo Regional,11,Inner Regional Australia,0.7474491,Acceptable,Good,0
12700,Dungog,12,Outer Regional Australia,0.0517411,Poor,Good,0
12700,Dungog,11,Inner Regional Australia,0.9482589,Acceptable,Good,0
12730,Edward River,12,Outer Regional Australia,0.168624,Poor,Good,0
12730,Edward River,11,Inner Regional Australia,0.831376,Acceptable,Good,0
12750,Eurobodalla,12,Outer Regional Australia,0.2944429,Poor,Good,0
12750,Eurobodalla,11,Inner Regional Australia,0.7055571,Acceptable,Good,0
12850,Fairfield,10,Major Cities of Australia,1,Good,Good,0
12870,Federation,12,Outer Regional Australia,0.1017266,Poor,Good,0
12870,Federation,11,Inner Regional Australia,0.8982734,Acceptable,Good,0
12900,Forbes,12,Outer Regional Australia,1,Poor,Good,0
12930,Georges River,10,Major Cities of Australia,1,Good,Good,0
12950,Gilgandra,12,Outer Regional Australia,1,Poor,Good,0
13010,Glen Innes Severn,12,Outer Regional Australia,0.4189595,Poor,Good,0
13010,Glen Innes Severn,11,Inner Regional Australia,0.5810405,Acceptable,Good,0
13310,Goulburn Mulwaree,12,Outer Regional Australia,0.0224572,Poor,Good,0
13310,Goulburn Mulwaree,11,Inner Regional Australia,0.9775428,Acceptable,Good,0
13340,Greater Hume Shire,12,Outer Regional Australia,0.0919032,Poor,Good,0
13340,Greater Hume Shire,11,Inner Regional Australia,0.9080968,Acceptable,Good,0
13450,Griffith,12,Outer Regional Australia,1,Poor,Good,0
13550,Gunnedah,12,Outer Regional Australia,1,Poor,Good,0
13660,Gwydir,12,Outer Regional Australia,1,Poor,Good,0
13800,Hawkesbury,12,Outer Regional Australia,0.0050322,Poor,Good,1
13800,Hawkesbury,11,Inner Regional Australia,0.3327958,Acceptable,Good,0
13800,Hawkesbury,10,Major Cities of Australia,0.662172,Good,Good,0
13850,Hay,13,Remote Australia,0.2367694,Poor,Good,0
13850,Hay,12,Outer Regional Australia,0.7632306,Poor,Good,0
13910,Hilltops,12,Outer Regional Australia,0.1541308,Poor,Good,0
13910,Hilltops,11,Inner Regional Australia,0.8458692,Acceptable,Good,0
14000,Hornsby,11,Inner Regional Australia,0.0386153,Acceptable,Good,0
14000,Hornsby,10,Major Cities of Australia,0.9613847,Good,Good,0
14100,Hunters Hill,10,Major Cities of Australia,1,Good,Good,0
14170,Inner West,10,Major Cities of Australia,1,Good,Good,0
14220,Inverell,12,Outer Regional Australia,1,Poor,Good,0
14300,Junee,12,Outer Regional Australia,0.1066477,Poor,Good,0
14300,Junee,11,Inner Regional Australia,0.8933523,Acceptable,Good,0
14350,Kempsey,12,Outer Regional Australia,0.038399,Poor,Good,0
14350,Kempsey,11,Inner Regional Australia,0.961601,Acceptable,Good,0
14400,Kiama,11,Inner Regional Australia,0.3482832,Acceptable,Good,0
