LOCALITY_PID_2021,LOCALITY_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,802,Canberra,1,Good,Good,0
ACT102,DICKSON,802,Canberra,1,Good,Good,0
ACT103,O'CONNOR,802,Canberra,1,Good,Good,0
ACT104,AINSLIE,802,Canberra,1,Good,Good,0
ACT105,TURNER,802,Canberra,1,Good,Good,0
ACT106,BRADDON,802,Canberra,1,Good,Good,0
ACT107,ACTON,802,Canberra,1,Good,Good,0
ACT108,CITY,802,Canberra,1,Good,Good,0
ACT109,REID,802,Canberra,1,Good,Good,0
ACT110,CAMPBELL,802,Canberra,1,Good,Good,0
ACT122,RUSSELL,802,Canberra,1,Good,Good,0
ACT124,DOWNER,802,Canberra,1,Good,Good,0
ACT125,WATSON,802,Canberra,1,Good,Good,0
ACT126,HACKETT,802,Canberra,1,Good,Good,0
ACT211,PARKES,802,Canberra,1,Good,Good,0
ACT212,YARRALUMLA,802,Canberra,1,Good,Good,0
ACT213,CAPITAL HILL,802,Canberra,1,Good,Good,0
ACT214,BARTON,802,Canberra,1,Good,Good,0
ACT215,DEAKIN,802,Canberra,1,Good,Good,0
ACT216,FORREST,802,Canberra,1,Good,Good,0
ACT217,KINGSTON,802,Canberra,1,Good,Good,0
ACT218,NARRABUNDAH,802,Canberra,1,Good,Good,0
ACT219,FYSHWICK,802,Canberra,1,Good,Good,0
ACT220,GRIFFITH,802,Canberra,1,Good,Good,0
ACT221,RED HILL,802,Canberra,1,Good,Good,0
ACT251,PIALLIGO,802,Canberra,1,Good,Good,0
ACT327,HUGHES,802,Canberra,1,Good,Good,0
ACT328,CURTIN,802,Canberra,1,Good,Good,0
ACT329,LYONS,802,Canberra,1,Good,Good,0
ACT330,GARRAN,802,Canberra,1,Good,Good,0
ACT331,PEARCE,801,Bean,1,Good,Good,0
ACT332,TORRENS,801,Bean,1,Good,Good,0
ACT333,MAWSON,801,Bean,1,Good,Good,0
ACT334,FARRER,801,Bean,1,Good,Good,0
ACT335,O'MALLEY,801,Bean,1,Good,Good,0
ACT336,ISAACS,801,Bean,1,Good,Good,0
ACT337,CHIFLEY,801,Bean,1,Good,Good,0
ACT338,PHILLIP,801,Bean,1,Good,Good,0
ACT441,WESTON,801,Bean,1,Good,Good,0
ACT442,WARAMANGA,801,Bean,1,Good,Good,0
ACT443,FISHER,801,Bean,1,Good,Good,0
ACT444,CHAPMAN,801,Bean,1,Good,Good,0
ACT445,RIVETT,801,Bean,1,Good,Good,0
ACT446,DUFFY,801,Bean,1,Good,Good,0
ACT447,HOLDER,801,Bean,1,Good,Good,0
ACT448,STIRLING,801,Bean,1,Good,Good,0
ACT552,GIRALANG,802,Canberra,1,Good,Good,0
ACT553,KALEEN,802,Canberra,1,Good,Good,0
ACT555,BRUCE,802,Canberra,1,Good,Good,0
ACT556,ARANDA,802,Canberra,1,Good,Good,0
ACT557,COOK,802,Canberra,1,Good,Good,0
