LOCALITY_PID,LOCALITY_NAME,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,801001,Canberra - North,1,Good,Good,0
ACT102,DICKSON,801001,Canberra - North,1,Good,Good,0
ACT103,O'CONNOR,801001,Canberra - North,1,Good,Good,0
ACT104,AINSLIE,801001,Canberra - North,1,Good,Good,0
ACT105,TURNER,801001,Canberra - North,1,Good,Good,0
ACT106,BRADDON,801001,Canberra - North,1,Good,Good,0
ACT107,ACTON,801001,Canberra - North,0.9999912,Good,Good,0
ACT107,ACTON,801002,Canberra - South,8.80E-06,Good,Good,1
ACT108,CITY,801001,Canberra - North,1,Good,Good,0
ACT109,REID,801001,Canberra - North,1,Good,Good,0
ACT110,CAMPBELL,801001,Canberra - North,1,Good,Good,0
ACT122,RUSSELL,801001,Canberra - North,1,Good,Good,0
ACT124,DOWNER,801001,Canberra - North,1,Good,Good,0
ACT125,WATSON,801001,Canberra - North,1,Good,Good,0
ACT126,HACKETT,801001,Canberra - North,1,Good,Good,0
ACT211,PARKES,801001,Canberra - North,0.2406542,Good,Good,0
ACT211,PARKES,801002,Canberra - South,0.7593458,Good,Good,0
ACT212,YARRALUMLA,801002,Canberra - South,1,Good,Good,0
ACT213,CAPITAL HILL,801002,Canberra - South,1,Good,Good,0
ACT214,BARTON,801001,Canberra - North,5.10E-06,Good,Good,1
ACT214,BARTON,801002,Canberra - South,0.9999949,Good,Good,0
ACT215,DEAKIN,801002,Canberra - South,1,Good,Good,0
ACT216,FORREST,801002,Canberra - South,1,Good,Good,0
ACT217,KINGSTON,801002,Canberra - South,1,Good,Good,0
ACT218,NARRABUNDAH,801002,Canberra - South,1,Good,Good,0
ACT219,FYSHWICK,801002,Canberra - South,1,Good,Good,0
ACT220,GRIFFITH,801002,Canberra - South,1,Good,Good,0
ACT221,RED HILL,801002,Canberra - South,1,Good,Good,0
ACT251,PIALLIGO,801001,Canberra - North,1,Good,Good,0
ACT327,HUGHES,801002,Canberra - South,1,Good,Good,0
ACT328,CURTIN,801002,Canberra - South,1,Good,Good,0
ACT329,LYONS,801002,Canberra - South,1,Good,Good,0
ACT330,GARRAN,801002,Canberra - South,1,Good,Good,0
ACT331,PEARCE,801002,Canberra - South,1,Good,Good,0
ACT332,TORRENS,801002,Canberra - South,1,Good,Good,0
ACT333,MAWSON,801002,Canberra - South,1,Good,Good,0
ACT334,FARRER,801002,Canberra - South,1,Good,Good,0
ACT335,O'MALLEY,801002,Canberra - South,1,Good,Good,0
ACT336,ISAACS,801002,Canberra - South,1,Good,Good,0
ACT337,CHIFLEY,801002,Canberra - South,1,Good,Good,0
ACT338,PHILLIP,801002,Canberra - South,1,Good,Good,0
ACT441,WESTON,801002,Canberra - South,0.9999975,Good,Good,0
ACT441,WESTON,801003,Stromlo - Namadgi,2.50E-06,Good,Good,1
ACT442,WARAMANGA,801002,Canberra - South,1,Good,Good,0
ACT443,FISHER,801002,Canberra - South,1,Good,Good,0
ACT444,CHAPMAN,801002,Canberra - South,1,Good,Good,0
ACT445,RIVETT,801002,Canberra - South,1,Good,Good,0
ACT446,DUFFY,801002,Canberra - South,1,Good,Good,0
ACT447,HOLDER,801002,Canberra - South,1,Good,Good,0
ACT448,STIRLING,801002,Canberra - South,1,Good,Good,0
ACT552,GIRALANG,801001,Canberra - North,1,Good,Good,0
ACT553,KALEEN,801001,Canberra - North,1,Good,Good,0
ACT555,BRUCE,801001,Canberra - North,1,Good,Good,0
ACT556,ARANDA,801001,Canberra - North,1,Good,Good,0
ACT557,COOK,801001,Canberra - North,1,Good,Good,0
ACT558,MACQUARIE,801001,Canberra - North,1,Good,Good,0
ACT559,BELCONNEN,801001,Canberra - North,1,Good,Good,0
ACT560,FLOREY,801001,Canberra - North,1,Good,Good,0
ACT561,PAGE,801001,Canberra - North,1,Good,Good,0
ACT562,WEETANGERA,801001,Canberra - North,1,Good,Good,0
ACT563,HAWKER,801001,Canberra - North,1,Good,Good,0
ACT564,SCULLIN,801001,Canberra - North,1,Good,Good,0
ACT566,LATHAM,801001,Canberra - North,1,Good,Good,0
ACT567,HIGGINS,801001,Canberra - North,1,Good,Good,0
ACT568,HOLT,801001,Canberra - North,1,Good,Good,0
ACT569,MACGREGOR,801001,Canberra - North,1,Good,Good,0
ACT570,CHARNWOOD,801001,Canberra - North,1,Good,Good,0
ACT571,FLYNN,801001,Canberra - North,1,Good,Good,0
ACT572,MELBA,801001,Canberra - North,1,Good,Good,0
ACT574,EVATT,801001,Canberra - North,1,Good,Good,0
ACT575,MCKELLAR,801001,Canberra - North,1,Good,Good,0
ACT576,SPENCE,801001,Canberra - North,1,Good,Good,0
ACT577,FRASER,801001,Canberra - North,1,Good,Good,0
