LOCALITY_PID,LOCALITY_NAME,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,80100102,Braddon - Kowen,1,Good,Good,0
ACT102,DICKSON,80100102,Braddon - Kowen,1,Good,Good,0
ACT103,O'CONNOR,80100102,Braddon - Kowen,1,Good,Good,0
ACT104,AINSLIE,80100102,Braddon - Kowen,1,Good,Good,0
ACT105,TURNER,80100102,Braddon - Kowen,1,Good,Good,0
ACT106,BRADDON,80100102,Braddon - Kowen,1,Good,Good,0
ACT107,ACTON,80100101,Belconnen,3.50E-06,Good,Good,1
ACT107,ACTON,80100102,Braddon - Kowen,0.9999877,Good,Good,0
ACT107,ACTON,80100201,Narrabundah - Weston,8.80E-06,Good,Good,1
ACT108,CITY,80100102,Braddon - Kowen,1,Good,Good,0
ACT109,REID,80100102,Braddon - Kowen,1,Good,Good,0
ACT110,CAMPBELL,80100102,Braddon - Kowen,1,Good,Good,0
ACT122,RUSSELL,80100102,Braddon - Kowen,1,Good,Good,0
ACT124,DOWNER,80100102,Braddon - Kowen,1,Good,Good,0
ACT125,WATSON,80100102,Braddon - Kowen,1,Good,Good,0
ACT126,HACKETT,80100102,Braddon - Kowen,1,Good,Good,0
ACT211,PARKES,80100102,Braddon - Kowen,0.2406542,Good,Good,0
ACT211,PARKES,80100201,Narrabundah - Weston,0.7593458,Good,Good,0
ACT212,YARRALUMLA,80100201,Narrabundah - Weston,1,Good,Good,0
ACT213,CAPITAL HILL,80100201,Narrabundah - Weston,1,Good,Good,0
ACT214,BARTON,80100102,Braddon - Kowen,5.10E-06,Good,Good,1
ACT214,BARTON,80100201,Narrabundah - Weston,0.9999949,Good,Good,0
ACT215,DEAKIN,80100201,Narrabundah - Weston,1,Good,Good,0
ACT216,FORREST,80100201,Narrabundah - Weston,1,Good,Good,0
ACT217,KINGSTON,80100201,Narrabundah - Weston,1,Good,Good,0
ACT218,NARRABUNDAH,80100201,Narrabundah - Weston,1,Good,Good,0
ACT219,FYSHWICK,80100201,Narrabundah - Weston,1,Good,Good,0
ACT220,GRIFFITH,80100201,Narrabundah - Weston,1,Good,Good,0
ACT221,RED HILL,80100201,Narrabundah - Weston,1,Good,Good,0
ACT251,PIALLIGO,80100102,Braddon - Kowen,1,Good,Good,0
ACT327,HUGHES,80100201,Narrabundah - Weston,1,Good,Good,0
ACT328,CURTIN,80100201,Narrabundah - Weston,1,Good,Good,0
ACT329,LYONS,80100201,Narrabundah - Weston,1,Good,Good,0
ACT330,GARRAN,80100201,Narrabundah - Weston,1,Good,Good,0
ACT331,PEARCE,80100201,Narrabundah - Weston,1,Good,Good,0
ACT332,TORRENS,80100201,Narrabundah - Weston,1,Good,Good,0
ACT333,MAWSON,80100201,Narrabundah - Weston,1,Good,Good,0
ACT334,FARRER,80100201,Narrabundah - Weston,1,Good,Good,0
ACT335,O'MALLEY,80100201,Narrabundah - Weston,1,Good,Good,0
ACT336,ISAACS,80100201,Narrabundah - Weston,1,Good,Good,0
ACT337,CHIFLEY,80100201,Narrabundah - Weston,1,Good,Good,0
ACT338,PHILLIP,80100201,Narrabundah - Weston,1,Good,Good,0
ACT441,WESTON,80100201,Narrabundah - Weston,0.9999975,Good,Good,0
