LOCALITY_PID,LOCALITY_NAME,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,PHN801,Australian Capital Territory,1,Good,Good,0
ACT102,DICKSON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT103,O'CONNOR,PHN801,Australian Capital Territory,1,Good,Good,0
ACT104,AINSLIE,PHN801,Australian Capital Territory,1,Good,Good,0
ACT105,TURNER,PHN801,Australian Capital Territory,1,Good,Good,0
ACT106,BRADDON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT107,ACTON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT108,CITY,PHN801,Australian Capital Territory,1,Good,Good,0
ACT109,REID,PHN801,Australian Capital Territory,1,Good,Good,0
ACT110,CAMPBELL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT122,RUSSELL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT124,DOWNER,PHN801,Australian Capital Territory,1,Good,Good,0
ACT125,WATSON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT126,HACKETT,PHN801,Australian Capital Territory,1,Good,Good,0
ACT211,PARKES,PHN801,Australian Capital Territory,1,Good,Good,0
ACT212,YARRALUMLA,PHN801,Australian Capital Territory,1,Good,Good,0
ACT213,CAPITAL HILL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT214,BARTON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT215,DEAKIN,PHN801,Australian Capital Territory,1,Good,Good,0
ACT216,FORREST,PHN801,Australian Capital Territory,1,Good,Good,0
ACT217,KINGSTON,PHN801,Australian Capital Territory,1,Good,Good,0
ACT218,NARRABUNDAH,PHN801,Australian Capital Territory,1,Good,Good,0
ACT219,FYSHWICK,PHN801,Australian Capital Territory,1,Good,Good,0
ACT220,GRIFFITH,PHN801,Australian Capital Territory,1,Good,Good,0
ACT221,RED HILL,PHN801,Australian Capital Territory,1,Good,Good,0
ACT251,PIALLIGO,PHN801,Australian Capital Territory,1,Good,Good,0
ACT327,HUGHES,PHN801,Australian Capital Territory,1,Good,Good,0
ACT328,CURTIN,PHN801,Australian Capital Territory,1,Good,Good,0
ACT329,LYONS,PHN801,Australian Capital Territory,1,Good,Good,0
ACT330,GARRAN,PHN801,Australian Capital Territory,1,Good,Good,0
ACT331,PEARCE,PHN801,Australian Capital Territory,1,Good,Good,0
ACT332,TORRENS,PHN801,Australian Capital Territory,1,Good,Good,0
ACT333,MAWSON,PHN801,Australian Capital Territory,1,Good,Good,0
