LOCALITY_PID_2021,LOCALITY_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,80,Major Cities of Australia,1,Good,Good,0
ACT102,DICKSON,80,Major Cities of Australia,1,Good,Good,0
ACT103,O'CONNOR,80,Major Cities of Australia,1,Good,Good,0
ACT104,AINSLIE,80,Major Cities of Australia,1,Good,Good,0
ACT105,TURNER,80,Major Cities of Australia,1,Good,Good,0
ACT106,BRADDON,80,Major Cities of Australia,1,Good,Good,0
ACT107,ACTON,80,Major Cities of Australia,1,Good,Good,0
ACT108,CITY,80,Major Cities of Australia,1,Good,Good,0
ACT109,REID,80,Major Cities of Australia,1,Good,Good,0
ACT110,CAMPBELL,80,Major Cities of Australia,1,Good,Good,0
ACT122,RUSSELL,80,Major Cities of Australia,1,Good,Good,0
ACT124,DOWNER,80,Major Cities of Australia,1,Good,Good,0
ACT125,WATSON,80,Major Cities of Australia,1,Good,Good,0
ACT126,HACKETT,80,Major Cities of Australia,1,Good,Good,0
ACT211,PARKES,80,Major Cities of Australia,1,Good,Good,0
ACT212,YARRALUMLA,80,Major Cities of Australia,1,Good,Good,0
ACT213,CAPITAL HILL,80,Major Cities of Australia,1,Good,Good,0
ACT214,BARTON,80,Major Cities of Australia,1,Good,Good,0
ACT215,DEAKIN,80,Major Cities of Australia,1,Good,Good,0
ACT216,FORREST,80,Major Cities of Australia,1,Good,Good,0
ACT217,KINGSTON,80,Major Cities of Australia,1,Good,Good,0
ACT218,NARRABUNDAH,80,Major Cities of Australia,1,Good,Good,0
ACT219,FYSHWICK,80,Major Cities of Australia,1,Good,Good,0
ACT220,GRIFFITH,80,Major Cities of Australia,1,Good,Good,0
ACT221,RED HILL,80,Major Cities of Australia,1,Good,Good,0
ACT251,PIALLIGO,80,Major Cities of Australia,1,Good,Good,0
ACT327,HUGHES,80,Major Cities of Australia,1,Good,Good,0
ACT328,CURTIN,80,Major Cities of Australia,1,Good,Good,0
ACT329,LYONS,80,Major Cities of Australia,1,Good,Good,0
ACT330,GARRAN,80,Major Cities of Australia,1,Good,Good,0
ACT331,PEARCE,80,Major Cities of Australia,1,Good,Good,0
ACT332,TORRENS,80,Major Cities of Australia,1,Good,Good,0
ACT333,MAWSON,80,Major Cities of Australia,1,Good,Good,0
ACT334,FARRER,80,Major Cities of Australia,1,Good,Good,0
ACT335,O'MALLEY,80,Major Cities of Australia,1,Good,Good,0
ACT336,ISAACS,80,Major Cities of Australia,1,Good,Good,0
ACT337,CHIFLEY,80,Major Cities of Australia,1,Good,Good,0
ACT338,PHILLIP,80,Major Cities of Australia,1,Good,Good,0
ACT441,WESTON,80,Major Cities of Australia,1,Good,Good,0
ACT442,WARAMANGA,80,Major Cities of Australia,1,Good,Good,0
ACT443,FISHER,80,Major Cities of Australia,1,Good,Good,0
ACT444,CHAPMAN,80,Major Cities of Australia,1,Good,Good,0
ACT445,RIVETT,80,Major Cities of Australia,1,Good,Good,0
ACT446,DUFFY,80,Major Cities of Australia,1,Good,Good,0
ACT447,HOLDER,80,Major Cities of Australia,1,Good,Good,0
ACT448,STIRLING,80,Major Cities of Australia,1,Good,Good,0
ACT552,GIRALANG,80,Major Cities of Australia,1,Good,Good,0
ACT553,KALEEN,80,Major Cities of Australia,1,Good,Good,0
ACT555,BRUCE,80,Major Cities of Australia,1,Good,Good,0
ACT556,ARANDA,80,Major Cities of Australia,1,Good,Good,0
ACT557,COOK,80,Major Cities of Australia,1,Good,Good,0
ACT558,MACQUARIE,80,Major Cities of Australia,1,Good,Good,0
ACT559,BELCONNEN,80,Major Cities of Australia,1,Good,Good,0
ACT560,FLOREY,80,Major Cities of Australia,1,Good,Good,0
ACT561,PAGE,80,Major Cities of Australia,1,Good,Good,0
ACT562,WEETANGERA,80,Major Cities of Australia,1,Good,Good,0
ACT563,HAWKER,80,Major Cities of Australia,1,Good,Good,0
ACT564,SCULLIN,80,Major Cities of Australia,1,Good,Good,0
ACT566,LATHAM,80,Major Cities of Australia,1,Good,Good,0
ACT567,HIGGINS,80,Major Cities of Australia,1,Good,Good,0
ACT568,HOLT,80,Major Cities of Australia,1,Good,Good,0
ACT569,MACGREGOR,80,Major Cities of Australia,1,Good,Good,0
ACT570,CHARNWOOD,80,Major Cities of Australia,1,Good,Good,0
ACT571,FLYNN,80,Major Cities of Australia,1,Good,Good,0
ACT572,MELBA,80,Major Cities of Australia,1,Good,Good,0
ACT574,EVATT,80,Major Cities of Australia,1,Good,Good,0
ACT575,MCKELLAR,80,Major Cities of Australia,1,Good,Good,0
ACT576,SPENCE,80,Major Cities of Australia,1,Good,Good,0
ACT577,FRASER,80,Major Cities of Australia,1,Good,Good,0
ACT578,DUNLOP,80,Major Cities of Australia,1,Good,Good,0
ACT580,LAWSON,80,Major Cities of Australia,1,Good,Good,0
ACT601,KAMBAH,80,Major Cities of Australia,1,Good,Good,0
ACT602,WANNIASSA,80,Major Cities of Australia,1,Good,Good,0
ACT603,MONASH,80,Major Cities of Australia,1,Good,Good,0
ACT604,GOWRIE,80,Major Cities of Australia,1,Good,Good,0
ACT605,FADDEN,80,Major Cities of Australia,1,Good,Good,0
ACT606,MACARTHUR,80,Major Cities of Australia,1,Good,Good,0
ACT607,RICHARDSON,80,Major Cities of Australia,1,Good,Good,0
ACT608,GILMORE,80,Major Cities of Australia,1,Good,Good,0
ACT609,CHISHOLM,80,Major Cities of Australia,1,Good,Good,0
ACT610,THEODORE,80,Major Cities of Australia,1,Good,Good,0
ACT611,CALWELL,80,Major Cities of Australia,1,Good,Good,0
ACT612,ISABELLA PLAINS,80,Major Cities of Australia,1,Good,Good,0
ACT613,CONDER,80,Major Cities of Australia,1,Good,Good,0
ACT614,BANKS,80,Major Cities of Australia,1,Good,Good,0
ACT615,GREENWAY,80,Major Cities of Australia,1,Good,Good,0
ACT616,GORDON,80,Major Cities of Australia,1,Good,Good,0
ACT619,BONYTHON,80,Major Cities of Australia,1,Good,Good,0
ACT623,OXLEY,80,Major Cities of Australia,1,Good,Good,0
ACT659,THARWA,81,Inner Regional Australia,1,Good,Good,0
ACT701,MITCHELL,80,Major Cities of Australia,1,Good,Good,0
ACT706,NGUNNAWAL,80,Major Cities of Australia,1,Good,Good,0
ACT707,AMAROO,80,Major Cities of Australia,1,Good,Good,0
ACT708,NICHOLLS,80,Major Cities of Australia,1,Good,Good,0
ACT709,PALMERSTON,80,Major Cities of Australia,1,Good,Good,0
ACT710,GUNGAHLIN,80,Major Cities of Australia,1,Good,Good,0
ACT711,HARRISON,80,Major Cities of Australia,1,Good,Good,0
ACT716,FORDE,80,Major Cities of Australia,1,Good,Good,0
ACT719,BONNER,80,Major Cities of Australia,1,Good,Good,0
ACT801,OAKS ESTATE,80,Major Cities of Australia,1,Good,Good,0
ACT802,HUME,80,Major Cities of Australia,1,Good,Good,0
ACT803,SYMONSTON,80,Major Cities of Australia,1,Good,Good,0
ACT901,HALL,80,Major Cities of Australia,1,Good,Good,0
ACT902,FRANKLIN,80,Major Cities of Australia,1,Good,Good,0
