LOCALITY_PID_2021,LOCALITY_NAME_2021,SA2_CODE_2021,SA2_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,801051057,Lyneham,1,Good,Good,0
ACT102,DICKSON,801051054,Dickson,1,Good,Good,0
ACT103,O'CONNOR,801051058,O'Connor (ACT),1,Good,Good,0
ACT104,AINSLIE,801051050,Ainslie,1,Good,Good,0
ACT105,TURNER,801051060,Turner,1,Good,Good,0
ACT106,BRADDON,801051051,Braddon,1,Good,Good,0
ACT107,ACTON,801051049,Acton,0.9999895,Good,Good,0
ACT107,ACTON,801051126,Parkes (ACT) - North,1.80E-06,Poor,Good,1
ACT107,ACTON,801061066,Lake Burley Griffin,8.80E-06,Poor,Good,1
ACT108,CITY,801051053,Civic,1,Good,Good,0
ACT109,REID,801051126,Parkes (ACT) - North,2.60E-06,Poor,Good,1
ACT109,REID,801051127,Reid,0.9999974,Good,Good,0
ACT110,CAMPBELL,801051124,Campbell,0.6996776,Poor,Good,0
ACT110,CAMPBELL,801051125,Duntroon,0.3003224,Poor,Good,0
ACT122,RUSSELL,801051128,Russell,1,Good,Good,0
ACT124,DOWNER,801051055,Downer,1,Good,Good,0
ACT125,WATSON,801051061,Watson,1,Good,Good,0
ACT126,HACKETT,801051056,Hackett,1,Good,Good,0
ACT211,PARKES,801051053,Civic,0.0934579,Good,Good,0
ACT211,PARKES,801051126,Parkes (ACT) - North,0.1471963,Poor,Good,0
ACT211,PARKES,801061066,Lake Burley Griffin,0.1051402,Poor,Good,0
ACT211,PARKES,801061068,Parkes (ACT) - South,0.5957944,Poor,Good,0
ACT211,PARKES,801061129,Barton,0.0584112,Good,Good,0
ACT212,YARRALUMLA,801061066,Lake Burley Griffin,5.90E-06,Poor,Good,1
ACT212,YARRALUMLA,801061068,Parkes (ACT) - South,4.80E-06,Poor,Good,1
ACT212,YARRALUMLA,801061070,Yarralumla,0.9999893,Good,Good,0
ACT213,CAPITAL HILL,801061068,Parkes (ACT) - South,1,Poor,Good,0
ACT214,BARTON,801051126,Parkes (ACT) - North,5.10E-06,Poor,Good,1
ACT214,BARTON,801061066,Lake Burley Griffin,2.60E-06,Poor,Good,1
ACT214,BARTON,801061068,Parkes (ACT) - South,0.0010258,Poor,Good,1
ACT214,BARTON,801061129,Barton,0.9989666,Good,Good,0
ACT215,DEAKIN,801061062,Deakin,1,Good,Good,0
ACT216,FORREST,801061063,Forrest,1,Good,Good,0
ACT217,KINGSTON,801061131,Kingston (ACT),1,Good,Good,0
ACT218,NARRABUNDAH,801061067,Narrabundah,1,Good,Good,0
ACT219,FYSHWICK,801061130,Fyshwick,1,Good,Good,0
ACT220,GRIFFITH,801061064,Griffith (ACT),1,Good,Good,0
ACT221,RED HILL,801061069,Red Hill (ACT),1,Good,Good,0
ACT251,PIALLIGO,801031115,Majura,0.9999635,Good,Good,0
ACT251,PIALLIGO,801051125,Duntroon,3.65E-05,Poor,Good,1
ACT327,HUGHES,801091103,Hughes,1,Good,Good,0
ACT328,CURTIN,801091100,Curtin,1,Good,Good,0
ACT329,LYONS,801091105,Lyons (ACT),1,Good,Good,0
ACT330,GARRAN,801091102,Garran,1,Good,Good,0
ACT331,PEARCE,801091108,Pearce,1,Good,Good,0
ACT332,TORRENS,801091110,Torrens,1,Good,Good,0
ACT333,MAWSON,801091106,Mawson,1,Good,Good,0
ACT334,FARRER,801091101,Farrer,1,Good,Good,0
ACT335,O'MALLEY,801091107,O'Malley,1,Good,Good,0
ACT336,ISAACS,801091104,Isaacs,1,Good,Good,0
ACT337,CHIFLEY,801091099,Chifley,1,Good,Good,0
ACT338,PHILLIP,801091109,Phillip,1,Good,Good,0
ACT441,WESTON,801081098,Weston,1,Good,Good,0
ACT442,WARAMANGA,801081097,Waramanga,1,Good,Good,0
ACT443,FISHER,801081093,Fisher,1,Good,Good,0
ACT444,CHAPMAN,801081091,Chapman,1,Good,Good,0
ACT445,RIVETT,801081095,Rivett,1,Good,Good,0
ACT446,DUFFY,801081092,Duffy,1,Good,Good,0
ACT447,HOLDER,801081094,Holder,1,Good,Good,0
ACT448,STIRLING,801081096,Stirling,1,Good,Good,0
ACT552,GIRALANG,801011011,Giralang,1,Good,Good,0
