LOCALITY_PID,LOCALITY_NAME,SA3_CODE_2021,SA3_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
ACT101,LYNEHAM,80105,North Canberra,1,Good,Good,0
ACT102,DICKSON,80105,North Canberra,1,Good,Good,0
ACT103,O'CONNOR,80105,North Canberra,1,Good,Good,0
ACT104,AINSLIE,80105,North Canberra,1,Good,Good,0
ACT105,TURNER,80105,North Canberra,1,Good,Good,0
ACT106,BRADDON,80105,North Canberra,1,Good,Good,0
ACT107,ACTON,80105,North Canberra,0.9999912,Good,Good,0
ACT107,ACTON,80106,South Canberra,8.80E-06,Good,Good,1
ACT108,CITY,80105,North Canberra,1,Good,Good,0
ACT109,REID,80105,North Canberra,1,Good,Good,0
ACT110,CAMPBELL,80105,North Canberra,1,Good,Good,0
ACT122,RUSSELL,80105,North Canberra,1,Good,Good,0
ACT124,DOWNER,80105,North Canberra,1,Good,Good,0
ACT125,WATSON,80105,North Canberra,1,Good,Good,0
ACT126,HACKETT,80105,North Canberra,1,Good,Good,0
ACT211,PARKES,80105,North Canberra,0.2406542,Good,Good,0
ACT211,PARKES,80106,South Canberra,0.7593458,Good,Good,0
ACT212,YARRALUMLA,80106,South Canberra,1,Good,Good,0
ACT213,CAPITAL HILL,80106,South Canberra,1,Good,Good,0
ACT214,BARTON,80105,North Canberra,5.10E-06,Good,Good,1
ACT214,BARTON,80106,South Canberra,0.9999949,Good,Good,0
ACT215,DEAKIN,80106,South Canberra,1,Good,Good,0
ACT216,FORREST,80106,South Canberra,1,Good,Good,0
ACT217,KINGSTON,80106,South Canberra,1,Good,Good,0
ACT218,NARRABUNDAH,80106,South Canberra,1,Good,Good,0
ACT219,FYSHWICK,80106,South Canberra,1,Good,Good,0
ACT220,GRIFFITH,80106,South Canberra,1,Good,Good,0
ACT221,RED HILL,80106,South Canberra,1,Good,Good,0
ACT251,PIALLIGO,80103,Canberra East,0.9999635,Good,Good,0
ACT251,PIALLIGO,80105,North Canberra,3.65E-05,Good,Good,1
ACT327,HUGHES,80109,Woden Valley,1,Good,Good,0
ACT328,CURTIN,80109,Woden Valley,1,Good,Good,0
ACT329,LYONS,80109,Woden Valley,1,Good,Good,0
ACT330,GARRAN,80109,Woden Valley,1,Good,Good,0
ACT331,PEARCE,80109,Woden Valley,1,Good,Good,0
ACT332,TORRENS,80109,Woden Valley,1,Good,Good,0
ACT333,MAWSON,80109,Woden Valley,1,Good,Good,0
ACT334,FARRER,80109,Woden Valley,1,Good,Good,0
ACT335,O'MALLEY,80109,Woden Valley,1,Good,Good,0
ACT336,ISAACS,80109,Woden Valley,1,Good,Good,0
ACT337,CHIFLEY,80109,Woden Valley,1,Good,Good,0
ACT338,PHILLIP,80109,Woden Valley,1,Good,Good,0
ACT441,WESTON,80108,Weston Creek,1,Good,Good,0
ACT442,WARAMANGA,80108,Weston Creek,1,Good,Good,0
ACT443,FISHER,80108,Weston Creek,1,Good,Good,0
ACT444,CHAPMAN,80108,Weston Creek,1,Good,Good,0
ACT445,RIVETT,80108,Weston Creek,1,Good,Good,0
ACT446,DUFFY,80108,Weston Creek,1,Good,Good,0
ACT447,HOLDER,80108,Weston Creek,1,Good,Good,0
ACT448,STIRLING,80108,Weston Creek,1,Good,Good,0
ACT552,GIRALANG,80101,Belconnen,1,Good,Good,0
ACT553,KALEEN,80101,Belconnen,1,Good,Good,0
ACT555,BRUCE,80101,Belconnen,0.9999987,Good,Good,0
ACT555,BRUCE,80105,North Canberra,1.30E-06,Good,Good,1
ACT556,ARANDA,80101,Belconnen,1,Good,Good,0
ACT557,COOK,80101,Belconnen,1,Good,Good,0
ACT558,MACQUARIE,80101,Belconnen,1,Good,Good,0
ACT559,BELCONNEN,80101,Belconnen,1,Good,Good,0
ACT560,FLOREY,80101,Belconnen,1,Good,Good,0
ACT561,PAGE,80101,Belconnen,1,Good,Good,0
ACT562,WEETANGERA,80101,Belconnen,1,Good,Good,0
ACT563,HAWKER,80101,Belconnen,1,Good,Good,0
ACT564,SCULLIN,80101,Belconnen,1,Good,Good,0
ACT566,LATHAM,80101,Belconnen,1,Good,Good,0
ACT567,HIGGINS,80101,Belconnen,1,Good,Good,0
ACT568,HOLT,80101,Belconnen,1,Good,Good,0
ACT569,MACGREGOR,80101,Belconnen,1,Good,Good,0
ACT570,CHARNWOOD,80101,Belconnen,1,Good,Good,0
ACT571,FLYNN,80101,Belconnen,1,Good,Good,0
ACT572,MELBA,80101,Belconnen,1,Good,Good,0
ACT574,EVATT,80101,Belconnen,1,Good,Good,0
ACT575,MCKELLAR,80101,Belconnen,1,Good,Good,0
ACT576,SPENCE,80101,Belconnen,1,Good,Good,0
ACT577,FRASER,80101,Belconnen,1,Good,Good,0
ACT578,DUNLOP,80101,Belconnen,1,Good,Good,0
ACT580,LAWSON,80101,Belconnen,1,Good,Good,0
ACT601,KAMBAH,80107,Tuggeranong,1,Good,Good,0
ACT602,WANNIASSA,80107,Tuggeranong,1,Good,Good,0
ACT603,MONASH,80107,Tuggeranong,1,Good,Good,0
ACT604,GOWRIE,80107,Tuggeranong,1,Good,Good,0
ACT605,FADDEN,80107,Tuggeranong,1,Good,Good,0
ACT606,MACARTHUR,80107,Tuggeranong,1,Good,Good,0
ACT607,RICHARDSON,80107,Tuggeranong,1,Good,Good,0
ACT608,GILMORE,80107,Tuggeranong,1,Good,Good,0
ACT609,CHISHOLM,80107,Tuggeranong,1,Good,Good,0
ACT610,THEODORE,80107,Tuggeranong,1,Good,Good,0
ACT611,CALWELL,80107,Tuggeranong,1,Good,Good,0
ACT612,ISABELLA PLAINS,80107,Tuggeranong,1,Good,Good,0
ACT613,CONDER,80107,Tuggeranong,1,Good,Good,0
ACT614,BANKS,80107,Tuggeranong,1,Good,Good,0
ACT615,GREENWAY,80107,Tuggeranong,1,Good,Good,0
ACT616,GORDON,80107,Tuggeranong,1,Good,Good,0
ACT619,BONYTHON,80107,Tuggeranong,1,Good,Good,0
ACT623,OXLEY,80107,Tuggeranong,1,Good,Good,0
ACT659,THARWA,80111,Uriarra - Namadgi,1,Good,Good,0
ACT701,MITCHELL,80104,Gungahlin,1,Good,Good,0
ACT706,NGUNNAWAL,80104,Gungahlin,1,Good,Good,0
ACT707,AMAROO,80104,Gungahlin,1,Good,Good,0
ACT708,NICHOLLS,80104,Gungahlin,1,Good,Good,0
ACT709,PALMERSTON,80104,Gungahlin,1,Good,Good,0
