LOCALITY_PID,LOCALITY_NAME,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
loc00055278d626,Newstead,21,Inner Regional Australia,1,Good,Good,0
loc00067aeff8fc,West Beach,53,Remote Australia,1,Good,Good,0
loc000b0ce181b2,Dukin,53,Remote Australia,1,Good,Good,0
loc001418bbc0d5,Mount Elphinstone,52,Outer Regional Australia,1,Good,Good,0
loc0015d417b77d,Lochington,33,Remote Australia,1,Good,Good,0
loc0017f1710709,Butler,43,Remote Australia,1,Good,Good,0
loc001969119bde,Manorina,22,Outer Regional Australia,1,Good,Good,0
loc001ecf69cf9a,Westminster,50,Major Cities of Australia,1,Good,Good,0
loc002ffd10586c,Mathinna,62,Outer Regional Australia,1,Good,Good,0
loc00304bb5096e,Erigolia,12,Outer Regional Australia,1,Good,Good,0
loc0032e73d0c78,Guyra,11,Inner Regional Australia,0.8435986,Good,Good,0
loc0032e73d0c78,Guyra,12,Outer Regional Australia,0.1564014,Good,Good,0
loc0035746c37e9,Coragulac,21,Inner Regional Australia,1,Good,Good,0
loc00358aa111dc,Middle Dural,10,Major Cities of Australia,0.5986532,Good,Good,0
loc00358aa111dc,Middle Dural,11,Inner Regional Australia,0.4013468,Good,Good,0
loc0042a1d97193,Wellington Vale,12,Outer Regional Australia,1,Good,Good,0
loc0048f02fb102,Callaghans Creek,12,Outer Regional Australia,1,Good,Good,0
loc004bbac6e5e5,Wialki,53,Remote Australia,1,Good,Good,0
loc004e26acc9fa,Tottenham,13,Remote Australia,1,Good,Good,0
loc0051ff524c27,Narraport,22,Outer Regional Australia,1,Good,Good,0
loc00522824bef9,Coila,12,Outer Regional Australia,1,Good,Good,0
loc005ad261d476,Victory Heights,52,Outer Regional Australia,1,Good,Good,0
loc0067a4549ed1,Korumburra,21,Inner Regional Australia,1,Good,Good,0
loc006d05c87d16,Lyneham,80,Major Cities of Australia,1,Good,Good,0
loc007070aaeb0f,Ideraway,32,Outer Regional Australia,1,Good,Good,0
loc0072f7062952,Darwin City,72,Outer Regional Australia,1,Good,Good,0
loc0082fa96a6be,Dunmore,32,Outer Regional Australia,1,Good,Good,0
loc008656dc7afc,Timbarra,12,Outer Regional Australia,1,Good,Good,0
loc009bcef3e14d,Gillieston,21,Inner Regional Australia,1,Good,Good,0
loc009c0cdbdbc1,Freshwater,32,Outer Regional Australia,1,Good,Good,0
loc009d0d76ec9c,Fumina South,21,Inner Regional Australia,1,Good,Good,0
loc009f6b1f4b1e,Kincumber,10,Major Cities of Australia,1,Good,Good,0
loc00a28a455691,Oakhampton,10,Major Cities of Australia,1,Good,Good,0
loc00a571effff1,Nathalia,21,Inner Regional Australia,1,Good,Good,0
loc00a9769647d7,Kew,20,Major Cities of Australia,1,Good,Good,0
loc00ac0096ae70,Lower Moira,21,Inner Regional Australia,1,Good,Good,0
loc00b25cb27734,Yarrawonga,72,Outer Regional Australia,1,Good,Good,0
loc00b279251235,Cookamidgera,12,Outer Regional Australia,1,Good,Good,0
loc00b42c075bd3,Morans Crossing,12,Outer Regional Australia,1,Good,Good,0
loc00bdf5b42726,Arthurville,12,Outer Regional Australia,1,Good,Good,0
loc00be05cedd64,Salem,41,Inner Regional Australia,1,Good,Good,0
loc00be660f1042,Panuara,11,Inner Regional Australia,1,Good,Good,0
loc00be7be37493,Oombabeer,33,Remote Australia,1,Good,Good,0
loc00c7eab94e27,Rossmore,10,Major Cities of Australia,1,Good,Good,0
loc00c9ed7af997,Ross River,32,Outer Regional Australia,1,Good,Good,0
loc00caf924ad8b,D'Aguilar,31,Inner Regional Australia,1,Good,Good,0
loc00cdd0496038,Reedy Creek,30,Major Cities of Australia,1,Good,Good,0
loc00d0dcee29d9,Paskeville,42,Outer Regional Australia,1,Good,Good,0
loc00d1503504f1,Glen Waverley,20,Major Cities of Australia,1,Good,Good,0
loc00d819116c02,West Busselton,51,Inner Regional Australia,1,Good,Good,0
loc00ded3fc66d0,Dolphin Point,11,Inner Regional Australia,1,Good,Good,0
loc00dfefe6aadb,Kununurra,54,Very Remote Australia,1,Good,Good,0
loc00e2f99154ca,Wentworth Point,10,Major Cities of Australia,1,Good,Good,0
loc00e6e39d335b,Sailors Falls,21,Inner Regional Australia,1,Good,Good,0
loc00ea79a8a5f6,Winnambool,22,Outer Regional Australia,1,Good,Good,0
loc00ed289410c1,O'Halloran Hill,40,Major Cities of Australia,1,Good,Good,0
loc00edea490164,North Balgowlah,10,Major Cities of Australia,1,Good,Good,0
loc00f0949ea0ad,Sunbury,20,Major Cities of Australia,0.9822159,Good,Good,0
loc00f0949ea0ad,Sunbury,21,Inner Regional Australia,0.0177841,Good,Good,0
loc00f17fd098b9,Nerrena,21,Inner Regional Australia,1,Good,Good,0
loc00f5e8d13dec,Franklyn,42,Outer Regional Australia,1,Good,Good,0
loc00f9bddd442c,Alberta,32,Outer Regional Australia,1,Good,Good,0
loc00f9bf6d3434,Little Jilliby,11,Inner Regional Australia,1,Good,Good,0
loc0105ed6bf8c5,Pine Mountain,30,Major Cities of Australia,0.8081698,Good,Good,0
loc0105ed6bf8c5,Pine Mountain,31,Inner Regional Australia,0.1918302,Good,Good,0
loc010b8605633b,Pheasant Creek,32,Outer Regional Australia,1,Good,Good,0
loc0112542b2295,Marshall Mount,10,Major Cities of Australia,1,Good,Good,0
loc0115c25c528c,Natimuk,22,Outer Regional Australia,1,Good,Good,0
loc01161b908add,Kilgra,11,Inner Regional Australia,1,Good,Good,0
loc0125be3ace60,South Launceston,61,Inner Regional Australia,1,Good,Good,0
loc012bcda91df4,Shoal Bay,72,Outer Regional Australia,1,Good,Good,0
loc0130f7b73580,Swanbourne,50,Major Cities of Australia,1,Good,Good,0
loc01321d0654f6,Phillip Bay,10,Major Cities of Australia,1,Good,Good,0
loc0135f55f5b30,Wheeny Creek,11,Inner Regional Australia,1,Good,Good,0
loc013b7af36a79,Goodooga,14,Very Remote Australia,1,Good,Good,0
loc01406c326fdf,Raby,10,Major Cities of Australia,1,Good,Good,0
loc0141dfbad4c8,Poowong North,21,Inner Regional Australia,1,Good,Good,0
loc0142a7e8b558,Tannum Sands,31,Inner Regional Australia,1,Good,Good,0
loc0142d0700e9e,Dalysford,32,Outer Regional Australia,1,Good,Good,0
loc014436e29be5,Pelican Waters,30,Major Cities of Australia,1,Good,Good,0
loc0145836a53ce,Greenwith,40,Major Cities of Australia,1,Good,Good,0
loc0146d9a23de1,Tusmore,40,Major Cities of Australia,1,Good,Good,0
loc01478eda4021,Braybrook,20,Major Cities of Australia,1,Good,Good,0
loc01534aad5e22,Nulkaba,10,Major Cities of Australia,0.9226964,Good,Good,0
loc01534aad5e22,Nulkaba,11,Inner Regional Australia,0.0773036,Good,Good,0
loc0156508b3afe,Nurrabiel,22,Outer Regional Australia,1,Good,Good,0
loc01594a43adfa,Ob Flat,42,Outer Regional Australia,1,Good,Good,0
loc01636b23f63e,Cape Woolamai,21,Inner Regional Australia,1,Good,Good,0
loc016450e38416,Elizabeth Park,40,Major Cities of Australia,1,Good,Good,0
loc01686b129937,Traynors Lagoon,22,Outer Regional Australia,1,Good,Good,0
loc01699d7adbaa,Birregurra,21,Inner Regional Australia,1,Good,Good,0
loc016ebd9a05d4,Rozelle,10,Major Cities of Australia,1,Good,Good,0
loc016f1437298f,Merbein West,22,Outer Regional Australia,1,Good,Good,0
loc01730ee7c76d,Wirraminna,44,Very Remote Australia,1,Good,Good,0
loc017383c3aae9,Byellee,31,Inner Regional Australia,1,Good,Good,0
loc0176e11efd18,Mundic Creek,42,Outer Regional Australia,1,Good,Good,0
loc017cd395ee62,Mount Adrah,11,Inner Regional Australia,1,Good,Good,0
loc017db1055fd4,Hillcrest,40,Major Cities of Australia,1,Good,Good,0
loc01962d7ff7d0,Cooroo Lands,32,Outer Regional Australia,1,Good,Good,0
loc01a2358e6e1d,Grasstree Hill,61,Inner Regional Australia,1,Good,Good,0
loc01b0a5377805,Monkey Mia,54,Very Remote Australia,1,Good,Good,0
loc01b2571bfe68,Kingsholme,30,Major Cities of Australia,1,Good,Good,0
loc01b50f3cbbef,Errinundra,23,Remote Australia,1,Good,Good,0
loc01b82ad09716,Wulkuraka,30,Major Cities of Australia,1,Good,Good,0
loc01b8f1fc4dd2,Warrill View,31,Inner Regional Australia,1,Good,Good,0
loc01baf6f9880e,East Lynne,11,Inner Regional Australia,1,Good,Good,0
loc01c2784fcea2,Williamstown North,20,Major Cities of Australia,1,Good,Good,0
loc01cdfccda0db,Redmond West,52,Outer Regional Australia,1,Good,Good,0
loc01d3e214d4c8,Cow Flat,11,Inner Regional Australia,1,Good,Good,0
loc01d47ed99928,Angourie,11,Inner Regional Australia,1,Good,Good,0
loc01d74ac3c49f,Duns Creek,11,Inner Regional Australia,1,Good,Good,0
loc01d9547b8c7c,Fitzgerald Bay,42,Outer Regional Australia,1,Good,Good,0
loc01e74fe4bba0,Western Junction,61,Inner Regional Australia,1,Good,Good,0
loc01ebfaaed97d,Bulga,11,Inner Regional Australia,0.9716892,Good,Good,0
loc01ebfaaed97d,Bulga,12,Outer Regional Australia,0.0283108,Good,Good,0
loc01eca9f757f9,Pomona,31,Inner Regional Australia,1,Good,Good,0
loc01ee6d4bc0ce,Osborne Park,50,Major Cities of Australia,1,Good,Good,0
loc01effe413378,Alstonville,11,Inner Regional Australia,1,Good,Good,0
loc01f1ecd246a0,Friendly Beaches,63,Remote Australia,1,Good,Good,0
loc01f29e612a27,Cowcowing,52,Outer Regional Australia,1,Good,Good,0
loc01f4aeb5ece3,Royston,31,Inner Regional Australia,1,Good,Good,0
loc01f59701d602,Whipstick,21,Inner Regional Australia,1,Good,Good,0
loc01f8a17a4026,Peep Hill,42,Outer Regional Australia,1,Good,Good,0
loc01fcd5e2fb04,Wallaloo,22,Outer Regional Australia,1,Good,Good,0
loc0202c85ee584,Mount Crosby,30,Major Cities of Australia,1,Good,Good,0
loc0203d6d85b27,Wynn Vale,40,Major Cities of Australia,1,Good,Good,0
loc020460c91572,Bethel,41,Inner Regional Australia,1,Good,Good,0
loc02096b320298,Pinelands,31,Inner Regional Australia,1,Good,Good,0
loc0213edea47bf,Nullawil,22,Outer Regional Australia,1,Good,Good,0
loc02143e7526bf,Bahgallah,22,Outer Regional Australia,1,Good,Good,0
loc0215de94ef9e,Yandoit,21,Inner Regional Australia,1,Good,Good,0
loc0218d151eee9,Alexander Heights,50,Major Cities of Australia,1,Good,Good,0
loc02199e927f06,Tinamba,21,Inner Regional Australia,1,Good,Good,0
loc022158d9dfd6,Craignish,31,Inner Regional Australia,1,Good,Good,0
loc0222a44698a9,Woodchester,41,Inner Regional Australia,1,Good,Good,0
loc0229ddbbd5cd,Capeen Creek,12,Outer Regional Australia,1,Good,Good,0
loc022e6c3c638e,Jericho,22,Outer Regional Australia,1,Good,Good,0
loc022f04ec5fa7,Silkwood,32,Outer Regional Australia,1,Good,Good,0
loc0230d351bb60,Onslow,54,Very Remote Australia,1,Good,Good,0
loc02314b4062ce,Leslie,31,Inner Regional Australia,1,Good,Good,0
loc0232dd12ac46,Wandsworth,12,Outer Regional Australia,1,Good,Good,0
loc02343f0beeb1,Doolandella,30,Major Cities of Australia,1,Good,Good,0
loc023bd7cfefbb,Christmas Hills,63,Remote Australia,1,Good,Good,0
loc023cc4f21baa,Forster,11,Inner Regional Australia,1,Good,Good,0
loc023d92887e08,Maidenhead,32,Outer Regional Australia,1,Good,Good,0
loc02406a3fcbc9,Glenfield,10,Major Cities of Australia,1,Good,Good,0
loc0244edb29dea,Gre Gre,22,Outer Regional Australia,1,Good,Good,0
loc02464fdc35c1,Bambaroo,32,Outer Regional Australia,1,Good,Good,0
loc0246752b9952,Araluen,73,Remote Australia,1,Good,Good,0
loc02490589c681,Rouchel,12,Outer Regional Australia,1,Good,Good,0
loc024ee609be60,Spalford,62,Outer Regional Australia,1,Good,Good,0
loc024f6af2bb5d,Dobies Bight,11,Inner Regional Australia,1,Good,Good,0
loc025c42fd6114,Drummond North,21,Inner Regional Australia,1,Good,Good,0
loc025dead673cc,Parkdale,20,Major Cities of Australia,1,Good,Good,0
loc02634b305072,Mallowa,13,Remote Australia,1,Good,Good,0
loc026581c7d572,Munglinup,54,Very Remote Australia,1,Good,Good,0
loc026adfdc5bdf,Horsnell Gully,40,Major Cities of Australia,1,Good,Good,0
loc026de7bbb515,Togari,63,Remote Australia,1,Good,Good,0
loc026e47177cdd,Ruby,21,Inner Regional Australia,1,Good,Good,0
loc0271834975a2,Tummaville,32,Outer Regional Australia,1,Good,Good,0
loc027d57011fb6,Stafford Heights,30,Major Cities of Australia,1,Good,Good,0
loc027f19ecb72a,Broughton River Valley,42,Outer Regional Australia,1,Good,Good,0
loc0284ba026daa,Manton,11,Inner Regional Australia,1,Good,Good,0
loc0284ee42ab55,Imanpa,74,Very Remote Australia,1,Good,Good,0
loc028cc8cd9c17,Peel Island,33,Remote Australia,1,Good,Good,0
loc028d9f6b0760,Fortitude Valley,30,Major Cities of Australia,1,Good,Good,0
loc028fa152b305,Colebrook,62,Outer Regional Australia,1,Good,Good,0
loc02944f391125,Primrose Valley,11,Inner Regional Australia,1,Good,Good,0
loc0297eb9fdb05,Tamboon,23,Remote Australia,1,Good,Good,0
loc0298c71527e7,Narwee,10,Major Cities of Australia,1,Good,Good,0
loc02a0328ba570,Tumbarumba,12,Outer Regional Australia,1,Good,Good,0
loc02a204b20053,Coolah,12,Outer Regional Australia,1,Good,Good,0
loc02a3553c9bdf,Ringtail Creek,31,Inner Regional Australia,1,Good,Good,0
loc02a3a330fe2f,Indented Head,21,Inner Regional Australia,1,Good,Good,0
loc02a508205e25,Ongerup,53,Remote Australia,1,Good,Good,0
loc02a64afeffdd,Montarra,41,Inner Regional Australia,1,Good,Good,0
loc02aa2a91f51a,Lachlan,61,Inner Regional Australia,0.5563998,Good,Good,0
loc02aa2a91f51a,Lachlan,62,Outer Regional Australia,0.4436002,Good,Good,0
loc02aee4626a98,Big Desert,23,Remote Australia,1,Good,Good,0
loc02af34d535ba,Sandy Grove,42,Outer Regional Australia,1,Good,Good,0
loc02b398437eb5,Kelly,43,Remote Australia,1,Good,Good,0
loc02b6eecf276b,Mangrove Mountain,11,Inner Regional Australia,1,Good,Good,0
loc02b6f951e9b4,Winmalee,10,Major Cities of Australia,1,Good,Good,0
loc02bcd12a7e36,Minnie Downs,34,Very Remote Australia,1,Good,Good,0
loc02bf16416894,Balldale,12,Outer Regional Australia,1,Good,Good,0
loc02c11272d158,Boonarga,32,Outer Regional Australia,1,Good,Good,0
loc02c44cfe1198,Willangie,22,Outer Regional Australia,1,Good,Good,0
loc02cbee2b57e4,Wombat Creek,22,Outer Regional Australia,1,Good,Good,0
loc02cd82a23e13,Bencubbin,53,Remote Australia,1,Good,Good,0
loc02cd9dda073a,Julia Creek,34,Very Remote Australia,1,Good,Good,0
loc02d1b61fc1fb,Hanging Rock,12,Outer Regional Australia,1,Good,Good,0
