POA_CODE_2016,POA_NAME_2016,POA_CODE_2021,POA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
0800,0800,0800,0800,1,Good,Good,0
0810,0810,0810,0810,1,Good,Good,0
0812,0812,0812,0812,1,Good,Good,0
0815,0815,0810,0810,1,Good,Good,0
0820,0820,0820,0820,1,Good,Good,0
0822,0822,0837,0837,0.00291,Acceptable,Good,1
0822,0822,0822,0822,0.99709,Good,Good,0
0828,0828,0828,0828,1,Good,Good,0
0829,0829,0829,0829,1,Good,Good,0
0830,0830,0830,0830,1,Good,Good,0
0832,0832,0832,0832,1,Good,Good,0
0834,0834,0834,0834,1,Good,Good,0
0835,0835,0835,0835,1,Good,Good,0
0836,0836,0836,0836,1,Good,Good,0
0837,0837,0837,0837,1,Acceptable,Good,0
0838,0838,0838,0838,1,Good,Good,0
0839,0839,0839,0839,1,Good,Good,0
0840,0840,0840,0840,1,Good,Good,0
0841,0841,0841,0841,1,Good,Good,0
0845,0845,0845,0845,1,Good,Good,0
0846,0846,0846,0846,1,Good,Good,0
0847,0847,0847,0847,1,Good,Good,0
0850,0850,0850,0850,1,Good,Good,0
0852,0852,0852,0852,1,Good,Good,0
0853,0853,0853,0853,1,Good,Good,0
0854,0854,0854,0854,1,Good,Good,0
0860,0860,0860,0860,1,Good,Good,0
0862,0862,0862,0862,1,Good,Good,0
0870,0870,0870,0870,1,Good,Good,0
0872,0872,0872,0872,1,Good,Good,0
0873,0873,0873,0873,1,Good,Good,0
0874,0874,0874,0874,1,Good,Good,0
0875,0875,0875,0875,1,Good,Good,0
0880,0880,0880,0880,1,Good,Good,0
0885,0885,0885,0885,1,Good,Good,0
0886,0886,0886,0886,1,Good,Good,0
2000,2000,2000,2000,1,Good,Good,0
2006,2006,2050,2050,1,Good,Good,0
2007,2007,2007,2007,1,Good,Good,0
2008,2008,2008,2008,1,Good,Good,0
2009,2009,2009,2009,1,Good,Good,0
2010,2010,2010,2010,1,Good,Good,0
2011,2011,2011,2011,1,Good,Good,0
2015,2015,2015,2015,1,Good,Good,0
2016,2016,2016,2016,1,Good,Good,0
2017,2017,2017,2017,1,Good,Good,0
2018,2018,2018,2018,1,Good,Good,0
2019,2019,2019,2019,1,Good,Good,0
2020,2020,2020,2020,1,Good,Good,0
