POSTCODE,LGA_CODE_2022,LGA_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
0800,71150,Darwin Waterfront Precinct,0.0396031,Poor,Good,0
0800,71000,Darwin,0.9603969,Good,Good,0
0810,71000,Darwin,1,Good,Good,0
0812,71000,Darwin,1,Good,Good,0
0820,79399,Unincorporated NT,0.0000013,Poor,Good,1
0820,71000,Darwin,0.9999987,Good,Good,0
0822,72800,Palmerston,0.0000009,Good,Good,1
0822,71000,Darwin,0.0000013,Good,Good,1
0822,72200,Katherine,0.0000794,Good,Good,1
0822,,,0.0002785,Poor,Good,4
0822,70540,Belyuen,0.0059035,Poor,Good,1
0822,74560,Wagait,0.0165625,Poor,Good,0
0822,74550,Victoria Daly,0.0205508,Poor,Good,0
0822,70700,Coomalie,0.0221886,Poor,Good,0
0822,73600,Roper Gulf,0.0284035,Poor,Good,0
0822,79399,Unincorporated NT,0.0409132,Poor,Good,0
0822,74050,Tiwi Islands,0.0932479,Poor,Good,0
0822,74680,West Daly,0.1175723,Poor,Good,0
0822,72300,Litchfield,0.1548317,Acceptable,Good,0
0822,74660,West Arnhem,0.2189892,Poor,Good,0
0822,71300,East Arnhem,0.2804768,Poor,Good,0
0828,72800,Palmerston,0.026664,Good,Good,0
0828,79399,Unincorporated NT,0.2082689,Poor,Good,0
0828,72300,Litchfield,0.2942955,Acceptable,Good,0
0828,71000,Darwin,0.4707716,Good,Good,0
0829,72800,Palmerston,0.0111872,Good,Good,0
0829,72300,Litchfield,0.9888128,Acceptable,Good,0
0830,72300,Litchfield,0.0000033,Acceptable,Good,1
0830,72800,Palmerston,0.9999967,Good,Good,0
0832,72800,Palmerston,1,Good,Good,0
0834,72300,Litchfield,1,Acceptable,Good,0
0835,72300,Litchfield,1,Acceptable,Good,0
0836,72300,Litchfield,1,Acceptable,Good,0
0837,72300,Litchfield,1,Acceptable,Good,0
0838,72300,Litchfield,1,Acceptable,Good,0
0839,72300,Litchfield,1,Acceptable,Good,0
0840,79399,Unincorporated NT,1,Poor,Good,0
0841,72300,Litchfield,1,Acceptable,Good,0
0845,70700,Coomalie,1,Poor,Good,0
0846,70700,Coomalie,1,Poor,Good,0
0847,74550,Victoria Daly,1,Poor,Good,0
0850,73600,Roper Gulf,0.002406,Poor,Good,1
0850,72200,Katherine,0.997594,Good,Good,0
0852,,,0.0000012,Poor,Good,4
0852,70420,Barkly,0.0252209,Poor,Good,0
0852,70620,Central Desert,0.0812059,Poor,Good,0
0852,72200,Katherine,0.1159504,Good,Good,0
0852,74550,Victoria Daly,0.2422342,Poor,Good,0
0852,73600,Roper Gulf,0.5353873,Poor,Good,0
0853,72200,Katherine,1,Good,Good,0
0854,73600,Roper Gulf,1,Poor,Good,0
0860,70420,Barkly,1,Poor,Good,0
0862,73600,Roper Gulf,0.0351779,Poor,Good,0
0862,70420,Barkly,0.9648221,Poor,Good,0
0870,70200,Alice Springs,1,Good,Good,0
0872,54970,Laverton,0.0000003,Good,Good,1
0872,49399,Unincorporated SA,0.0009899,Poor,Good,1
0872,53220,East Pilbara,0.0178834,Good,Good,0
0872,79399,Unincorporated NT,0.0577331,Poor,Good,0
0872,56620,Ngaanyatjarraku,0.057935,Poor,Good,0
0872,70420,Barkly,0.132049,Poor,Good,0
0872,40250,Anangu Pitjantjatjara Yunkunytjatjara,0.1589065,Poor,Good,0
0872,70620,Central Desert,0.1998447,Poor,Good,0
0872,72330,MacDonnell,0.3746581,Poor,Good,0
0873,72330,MacDonnell,0.08336,Poor,Good,0
0873,70200,Alice Springs,0.91664,Good,Good,0
0874,70200,Alice Springs,1,Good,Good,0
0875,70200,Alice Springs,1,Good,Good,0
0880,71300,East Arnhem,0.3411277,Poor,Good,0
0880,79399,Unincorporated NT,0.6588723,Poor,Good,0
0885,71300,East Arnhem,0.0000133,Poor,Good,1
0885,79399,Unincorporated NT,0.9999867,Poor,Good,0
0886,74660,West Arnhem,1,Poor,Good,0
2000,17200,Sydney,1,Good,Good,0
2007,17200,Sydney,1,Good,Good,0
2008,17200,Sydney,1,Good,Good,0
2009,17200,Sydney,1,Good,Good,0
2010,17200,Sydney,1,Good,Good,0
2011,17200,Sydney,1,Good,Good,0
2015,17200,Sydney,1,Good,Good,0
2016,17200,Sydney,1,Good,Good,0
2017,17200,Sydney,1,Good,Good,0
2018,10500,Bayside (NSW),0.4504984,Acceptable,Good,0
2018,17200,Sydney,0.5495016,Good,Good,0
2019,10500,Bayside (NSW),1,Acceptable,Good,0
2020,17200,Sydney,0.0000002,Good,Good,1
2020,10500,Bayside (NSW),0.9999998,Acceptable,Good,0
2021,16550,Randwick,0.0000057,Good,Good,1
2021,17200,Sydney,0.3394409,Good,Good,0
2021,18500,Woollahra,0.6605534,Acceptable,Good,0
2022,18050,Waverley,1,Good,Good,0
2023,18500,Woollahra,1,Acceptable,Good,0
2024,18050,Waverley,1,Good,Good,0
2025,18500,Woollahra,1,Acceptable,Good,0
2026,18050,Waverley,1,Good,Good,0
2027,18500,Woollahra,1,Acceptable,Good,0
2028,18500,Woollahra,1,Acceptable,Good,0
2029,18050,Waverley,0.4103107,Good,Good,0
2029,18500,Woollahra,0.5896893,Acceptable,Good,0
2030,18050,Waverley,0.4877665,Good,Good,0
2030,18500,Woollahra,0.5122335,Acceptable,Good,0
2031,16550,Randwick,1,Good,Good,0
2032,10500,Bayside (NSW),0.0790532,Acceptable,Good,0
2032,16550,Randwick,0.9209468,Good,Good,0
2033,17200,Sydney,0.0010093,Good,Good,1
2033,16550,Randwick,0.9989907,Good,Good,0
2034,16550,Randwick,1,Good,Good,0
2035,10500,Bayside (NSW),0.1120837,Acceptable,Good,0
2035,16550,Randwick,0.8879163,Good,Good,0
2036,10500,Bayside (NSW),0.2889683,Acceptable,Good,0
2036,16550,Randwick,0.7110317,Good,Good,0
2037,17200,Sydney,1,Good,Good,0
2038,17200,Sydney,0.0024314,Good,Good,1
2038,14170,Inner West,0.9975686,Good,Good,0
2039,14170,Inner West,1,Good,Good,0
2040,14170,Inner West,1,Good,Good,0
2041,14170,Inner West,1,Good,Good,0
2042,17200,Sydney,0.3647576,Good,Good,0
2042,14170,Inner West,0.6352424,Good,Good,0
2043,17200,Sydney,1,Good,Good,0
2044,17200,Sydney,0.0018123,Good,Good,1
2044,14170,Inner West,0.9981877,Good,Good,0
2045,11520,Canada Bay,0.0000031,Good,Good,1
2045,14170,Inner West,0.9999969,Good,Good,0
2046,11520,Canada Bay,1,Good,Good,0
2047,11520,Canada Bay,1,Good,Good,0
2048,14170,Inner West,1,Good,Good,0
2049,14170,Inner West,1,Good,Good,0
2050,14170,Inner West,0.3580364,Good,Good,0
2050,17200,Sydney,0.6419636,Good,Good,0
2060,15950,North Sydney,1,Acceptable,Good,0
2061,15950,North Sydney,1,Acceptable,Good,0
2062,15950,North Sydney,1,Acceptable,Good,0
2063,18250,Willoughby,1,Acceptable,Good,0
2064,18250,Willoughby,1,Acceptable,Good,0
2065,18250,Willoughby,0.2532262,Acceptable,Good,0
2065,14700,Lane Cove,0.2558394,Acceptable,Good,0
2065,15950,North Sydney,0.4909344,Acceptable,Good,0
2066,18250,Willoughby,0.074315,Acceptable,Good,0
2066,14700,Lane Cove,0.925685,Acceptable,Good,0
2067,16700,Ryde,0.0123878,Good,Good,0
2067,18250,Willoughby,0.9876122,Acceptable,Good,0
2068,18250,Willoughby,1,Acceptable,Good,0
2069,15990,Northern Beaches,0.0000002,Good,Good,1
2069,18250,Willoughby,0.3427651,Acceptable,Good,0
2069,14500,Ku-ring-gai,0.6572347,Good,Good,0
2070,15990,Northern Beaches,0.0000006,Good,Good,1
2070,14500,Ku-ring-gai,0.9999994,Good,Good,0
2071,14500,Ku-ring-gai,1,Good,Good,0
2072,14500,Ku-ring-gai,1,Good,Good,0
2073,14500,Ku-ring-gai,1,Good,Good,0
2074,14500,Ku-ring-gai,1,Good,Good,0
2075,15990,Northern Beaches,0.0000003,Good,Good,1
2075,14500,Ku-ring-gai,0.9999997,Good,Good,0
2076,14000,Hornsby,0.399985,Acceptable,Good,0
2076,14500,Ku-ring-gai,0.600015,Good,Good,0
2077,14000,Hornsby,1,Acceptable,Good,0
2079,15990,Northern Beaches,0.0002526,Good,Good,1
2079,14000,Hornsby,0.9997474,Acceptable,Good,0
2080,14000,Hornsby,1,Acceptable,Good,0
2081,14000,Hornsby,1,Acceptable,Good,0
2082,14000,Hornsby,1,Acceptable,Good,0
2083,11650,Central Coast (NSW),0.3428194,Good,Good,0
2083,14000,Hornsby,0.6571806,Acceptable,Good,0
2084,15990,Northern Beaches,1,Good,Good,0
2085,15990,Northern Beaches,1,Good,Good,0
2086,15990,Northern Beaches,1,Good,Good,0
2087,15990,Northern Beaches,1,Good,Good,0
2088,15350,Mosman,1,Good,Good,0
2089,15950,North Sydney,1,Acceptable,Good,0
2090,15950,North Sydney,1,Acceptable,Good,0
2092,15990,Northern Beaches,1,Good,Good,0
2093,15990,Northern Beaches,1,Good,Good,0
2094,15990,Northern Beaches,1,Good,Good,0
2095,15990,Northern Beaches,1,Good,Good,0
2096,15990,Northern Beaches,1,Good,Good,0
2097,15990,Northern Beaches,1,Good,Good,0
2099,15990,Northern Beaches,1,Good,Good,0
2100,15990,Northern Beaches,1,Good,Good,0
2101,15990,Northern Beaches,1,Good,Good,0
2102,15990,Northern Beaches,1,Good,Good,0
2103,15990,Northern Beaches,1,Good,Good,0
2104,15990,Northern Beaches,1,Good,Good,0
2105,15990,Northern Beaches,1,Good,Good,0
2106,15990,Northern Beaches,1,Good,Good,0
2107,15990,Northern Beaches,1,Good,Good,0
2108,15990,Northern Beaches,1,Good,Good,0
2110,14100,Hunters Hill,1,Acceptable,Good,0
2111,14100,Hunters Hill,0.2402501,Acceptable,Good,0
2111,16700,Ryde,0.7597499,Good,Good,0
2112,16700,Ryde,1,Good,Good,0
2113,16700,Ryde,1,Good,Good,0
2114,16260,Parramatta,0.0194788,Acceptable,Good,0
2114,16700,Ryde,0.9805212,Good,Good,0
2115,16260,Parramatta,1,Acceptable,Good,0
