"POSTCODE","POSTCODE","PHN_CODE_2017","PHN_NAME_2017","RATIO_FROM_TO","INDIV_TO_REGION_QLTY_INDICATOR","OVERALL_QUALITY_INDICATOR","BMOS_NULL_FLAG"
"","","","","1","Poor","Good",3
"","","PHN101","Central and Eastern Sydney","1","Good","Good",3
"","","PHN102","Northern Sydney","1","Good","Good",3
"","","PHN103","Western Sydney","1","Good","Good",3
"","","PHN106","South Eastern NSW","1","Good","Good",3
"","","PHN108","Hunter New England and Central Coast","1","Good","Good",3
"","","PHN109","North Coast","1","Good","Good",3
"","","PHN110","Murrumbidgee","1","Good","Good",3
"","","PHN201","North Western Melbourne","1","Good","Good",3
"","","PHN203","South Eastern Melbourne","1","Good","Good",3
"","","PHN204","Gippsland","1","Good","Good",3
"","","PHN205","Murray","1","Good","Good",3
"","","PHN206","Western Victoria","1","Good","Good",3
"","","PHN301","Brisbane North","1","Good","Good",3
"","","PHN302","Brisbane South","1","Good","Good",3
"","","PHN303","Gold Coast","1","Good","Good",3
"","","PHN306","Central Queensland, Wide Bay, Sunshine Coast","1","Good","Good",3
"","","PHN402","Country SA","1","Good","Good",3
"","","PHN501","Perth North","1","Good","Good",3
"","","PHN502","Perth South","1","Good","Good",3
"","","PHN503","Country WA","1","Good","Good",3
"","","PHN601","Tasmania","1","Good","Good",3
"","","PHN701","Northern Territory","1","Good","Good",3
"","","PHN801","Australian Capital Territory","1","Good","Good",3
"0800","0800","PHN701","Northern Territory","1","Good","Good",0
"0810","0810","PHN701","Northern Territory","1","Good","Good",0
"0812","0812","PHN701","Northern Territory","1","Good","Good",0
"0820","0820","PHN701","Northern Territory","1","Good","Good",0
"0822","0822","","","0.0007874","Poor","Good",4
"0822","0822","PHN701","Northern Territory","0.9992126","Good","Good",0
"0828","0828","PHN701","Northern Territory","1","Good","Good",0
"0829","0829","PHN701","Northern Territory","1","Good","Good",0
"0830","0830","PHN701","Northern Territory","1","Good","Good",0
"0832","0832","PHN701","Northern Territory","1","Good","Good",0
"0834","0834","PHN701","Northern Territory","1","Good","Good",0
"0835","0835","PHN701","Northern Territory","1","Good","Good",0
"0836","0836","PHN701","Northern Territory","1","Good","Good",0
"0837","0837","PHN701","Northern Territory","1","Good","Good",0
"0838","0838","PHN701","Northern Territory","1","Good","Good",0
"0839","0839","PHN701","Northern Territory","1","Good","Good",0
"0840","0840","PHN701","Northern Territory","1","Good","Good",0
"0841","0841","PHN701","Northern Territory","1","Good","Good",0
"0845","0845","PHN701","Northern Territory","1","Good","Good",0
"0846","0846","PHN701","Northern Territory","1","Good","Good",0
"0847","0847","PHN701","Northern Territory","1","Good","Good",0
"0850","0850","PHN701","Northern Territory","1","Good","Good",0
"0852","0852","","","1.2e-6","Poor","Good",4
"0852","0852","PHN701","Northern Territory","0.9999988","Good","Good",0
"0853","0853","PHN701","Northern Territory","1","Good","Good",0
"0854","0854","PHN701","Northern Territory","1","Good","Good",0
"0860","0860","PHN701","Northern Territory","1","Good","Good",0
"0862","0862","PHN701","Northern Territory","1","Good","Good",0
"0870","0870","PHN701","Northern Territory","1","Good","Good",0
"0872","0872","PHN402","Country SA","0.1598963","Good","Good",0
"0872","0872","PHN503","Country WA","0.0758188","Good","Good",0
"0872","0872","PHN701","Northern Territory","0.7642849","Good","Good",0
"0873","0873","PHN701","Northern Territory","1","Good","Good",0
"0874","0874","PHN701","Northern Territory","1","Good","Good",0
"0875","0875","PHN701","Northern Territory","1","Good","Good",0
"0880","0880","PHN701","Northern Territory","1","Good","Good",0
"0885","0885","PHN701","Northern Territory","1","Good","Good",0
"0886","0886","PHN701","Northern Territory","1","Good","Good",0
"2000","2000","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2007","2007","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2008","2008","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2009","2009","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2010","2010","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2011","2011","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2015","2015","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2016","2016","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2017","2017","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2018","2018","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2019","2019","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2020","2020","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2021","2021","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2022","2022","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2023","2023","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2024","2024","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2025","2025","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2026","2026","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2027","2027","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2028","2028","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2029","2029","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2030","2030","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2031","2031","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2032","2032","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2033","2033","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2034","2034","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2035","2035","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2036","2036","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2037","2037","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2038","2038","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2039","2039","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2040","2040","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2041","2041","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2042","2042","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2043","2043","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2044","2044","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2045","2045","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2046","2046","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2047","2047","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2048","2048","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2049","2049","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2050","2050","PHN101","Central and Eastern Sydney","1","Good","Good",0
"2060","2060","PHN102","Northern Sydney","1","Good","Good",0
"2061","2061","PHN102","Northern Sydney","1","Good","Good",0
"2062","2062","PHN102","Northern Sydney","1","Good","Good",0
"2063","2063","PHN102","Northern Sydney","1","Good","Good",0
"2064","2064","PHN102","Northern Sydney","1","Good","Good",0
"2065","2065","PHN102","Northern Sydney","1","Good","Good",0
"2066","2066","PHN102","Northern Sydney","1","Good","Good",0
"2067","2067","PHN102","Northern Sydney","1","Good","Good",0
"2068","2068","PHN102","Northern Sydney","1","Good","Good",0
"2069","2069","PHN102","Northern Sydney","1","Good","Good",0
"2070","2070","PHN102","Northern Sydney","1","Good","Good",0
"2071","2071","PHN102","Northern Sydney","1","Good","Good",0
