POSTCODE,POSTCODE,RA_CODE_2021,RA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
800,800,72,Outer Regional Australia,1,Good,Good,0
810,810,72,Outer Regional Australia,1,Good,Good,0
812,812,72,Outer Regional Australia,1,Good,Good,0
820,820,72,Outer Regional Australia,1,Good,Good,0
822,822,,,0.0002785,Poor,Good,4
822,822,72,Outer Regional Australia,0.1555204,Good,Good,0
822,822,73,Remote Australia,0.2759565,Acceptable,Good,0
822,822,74,Very Remote Australia,0.5682446,Poor,Good,0
828,828,72,Outer Regional Australia,1,Good,Good,0
829,829,72,Outer Regional Australia,1,Good,Good,0
830,830,72,Outer Regional Australia,1,Good,Good,0
832,832,72,Outer Regional Australia,1,Good,Good,0
834,834,72,Outer Regional Australia,1,Good,Good,0
835,835,72,Outer Regional Australia,1,Good,Good,0
836,836,72,Outer Regional Australia,1,Good,Good,0
837,837,72,Outer Regional Australia,1,Good,Good,0
838,838,72,Outer Regional Australia,1,Good,Good,0
839,839,72,Outer Regional Australia,1,Good,Good,0
840,840,73,Remote Australia,1,Acceptable,Good,0
841,841,72,Outer Regional Australia,1,Good,Good,0
845,845,73,Remote Australia,1,Acceptable,Good,0
846,846,73,Remote Australia,1,Acceptable,Good,0
847,847,73,Remote Australia,1,Acceptable,Good,0
850,850,73,Remote Australia,1,Acceptable,Good,0
852,852,,,1.10E-06,Poor,Good,4
852,852,73,Remote Australia,0.108054,Acceptable,Good,0
852,852,74,Very Remote Australia,0.8919449,Poor,Good,0
853,853,73,Remote Australia,1,Acceptable,Good,0
854,854,74,Very Remote Australia,1,Poor,Good,0
860,860,74,Very Remote Australia,1,Poor,Good,0
862,862,74,Very Remote Australia,1,Poor,Good,0
870,870,73,Remote Australia,1,Acceptable,Good,0
872,872,44,Very Remote Australia,0.1598963,Acceptable,Good,0
872,872,54,Very Remote Australia,0.0758188,Good,Good,0
872,872,73,Remote Australia,0.1358517,Acceptable,Good,0
872,872,74,Very Remote Australia,0.6284332,Poor,Good,0
873,873,73,Remote Australia,1,Acceptable,Good,0
874,874,73,Remote Australia,1,Acceptable,Good,0
875,875,73,Remote Australia,1,Acceptable,Good,0
880,880,74,Very Remote Australia,1,Poor,Good,0
885,885,74,Very Remote Australia,1,Poor,Good,0
886,886,73,Remote Australia,1,Acceptable,Good,0
2000,2000,10,Major Cities of Australia,1,Good,Good,0
2007,2007,10,Major Cities of Australia,1,Good,Good,0
2008,2008,10,Major Cities of Australia,1,Good,Good,0
2009,2009,10,Major Cities of Australia,1,Good,Good,0
2010,2010,10,Major Cities of Australia,1,Good,Good,0
2011,2011,10,Major Cities of Australia,1,Good,Good,0
2015,2015,10,Major Cities of Australia,1,Good,Good,0
2016,2016,10,Major Cities of Australia,1,Good,Good,0
2017,2017,10,Major Cities of Australia,1,Good,Good,0
2018,2018,10,Major Cities of Australia,1,Good,Good,0
2019,2019,10,Major Cities of Australia,1,Good,Good,0
2020,2020,10,Major Cities of Australia,1,Good,Good,0
2021,2021,10,Major Cities of Australia,1,Good,Good,0
2022,2022,10,Major Cities of Australia,1,Good,Good,0
2023,2023,10,Major Cities of Australia,1,Good,Good,0
2024,2024,10,Major Cities of Australia,1,Good,Good,0
2025,2025,10,Major Cities of Australia,1,Good,Good,0
2026,2026,10,Major Cities of Australia,1,Good,Good,0
2027,2027,10,Major Cities of Australia,1,Good,Good,0
2028,2028,10,Major Cities of Australia,1,Good,Good,0
2029,2029,10,Major Cities of Australia,1,Good,Good,0
2030,2030,10,Major Cities of Australia,1,Good,Good,0
2031,2031,10,Major Cities of Australia,1,Good,Good,0
2032,2032,10,Major Cities of Australia,1,Good,Good,0
2033,2033,10,Major Cities of Australia,1,Good,Good,0
2034,2034,10,Major Cities of Australia,1,Good,Good,0
2035,2035,10,Major Cities of Australia,1,Good,Good,0
2036,2036,10,Major Cities of Australia,1,Good,Good,0
2037,2037,10,Major Cities of Australia,1,Good,Good,0
2038,2038,10,Major Cities of Australia,1,Good,Good,0
2039,2039,10,Major Cities of Australia,1,Good,Good,0
2040,2040,10,Major Cities of Australia,1,Good,Good,0
2041,2041,10,Major Cities of Australia,1,Good,Good,0
2042,2042,10,Major Cities of Australia,1,Good,Good,0
2043,2043,10,Major Cities of Australia,1,Good,Good,0
2044,2044,10,Major Cities of Australia,1,Good,Good,0
2045,2045,10,Major Cities of Australia,1,Good,Good,0
2046,2046,10,Major Cities of Australia,1,Good,Good,0
2047,2047,10,Major Cities of Australia,1,Good,Good,0
2048,2048,10,Major Cities of Australia,1,Good,Good,0
2049,2049,10,Major Cities of Australia,1,Good,Good,0
2050,2050,10,Major Cities of Australia,1,Good,Good,0
2060,2060,10,Major Cities of Australia,1,Good,Good,0
2061,2061,10,Major Cities of Australia,1,Good,Good,0
2062,2062,10,Major Cities of Australia,1,Good,Good,0
2063,2063,10,Major Cities of Australia,1,Good,Good,0
2064,2064,10,Major Cities of Australia,1,Good,Good,0
2065,2065,10,Major Cities of Australia,1,Good,Good,0
2066,2066,10,Major Cities of Australia,1,Good,Good,0
2067,2067,10,Major Cities of Australia,1,Good,Good,0
2068,2068,10,Major Cities of Australia,1,Good,Good,0
2069,2069,10,Major Cities of Australia,1,Good,Good,0
2070,2070,10,Major Cities of Australia,1,Good,Good,0
2071,2071,10,Major Cities of Australia,1,Good,Good,0
2072,2072,10,Major Cities of Australia,1,Good,Good,0
2073,2073,10,Major Cities of Australia,1,Good,Good,0
2074,2074,10,Major Cities of Australia,1,Good,Good,0
2075,2075,10,Major Cities of Australia,1,Good,Good,0
2076,2076,10,Major Cities of Australia,1,Good,Good,0
