SA1_MAINCODE_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102100701,13310,Goulburn Mulwaree,1,Good,Good,0
10102100702,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100703,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100704,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100705,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100706,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100707,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100708,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100709,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100710,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100801,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100802,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100803,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100804,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100805,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100806,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100807,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100808,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100809,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100810,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100811,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100812,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100813,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100814,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100815,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100816,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100817,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100818,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100819,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100820,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100821,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100822,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100823,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100901,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100902,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100904,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100905,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100907,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100908,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100909,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100910,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100911,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100912,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100913,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100914,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100915,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100916,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100917,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100918,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100919,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100920,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100921,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100923,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100924,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100925,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100926,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100927,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100928,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102100929,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101001,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101002,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101003,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101004,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101006,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101007,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101008,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101009,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101010,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101011,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101012,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101013,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101014,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101015,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101016,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101017,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101101,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101102,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101103,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101104,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101105,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101106,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101107,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
