"SA1_CODE_2021","SA1_NAME_2021","Region","Region_Nam","RATIO_FROM_TO","INDIV_TO_REGION_QLTY_INDICATOR","OVERALL_QUALITY_INDICATOR","BMOS_NULL_FLAG"
"","","B","North Queensland",0,"Good","Good",5
"","","C","Kimberley",0,"Good","Good",5
"10102100701","","J","Eastern NSW","1","Good","Good",3
"10102100702","","J","Eastern NSW","1","Good","Good",3
"10102100703","","J","Eastern NSW","1","Good","Good",3
"10102100704","","J","Eastern NSW","1","Good","Good",3
"10102100705","","J","Eastern NSW","1","Good","Good",3
"10102100706","","J","Eastern NSW","1","Good","Good",3
"10102100707","","J","Eastern NSW","1","Good","Good",3
"10102100708","","J","Eastern NSW","1","Good","Good",3
"10102100709","","J","Eastern NSW","1","Good","Good",3
"10102100710","","J","Eastern NSW","1","Good","Good",3
"10102100801","","J","Eastern NSW","1","Good","Good",3
"10102100802","","J","Eastern NSW","1","Good","Good",3
"10102100803","","J","Eastern NSW","1","Good","Good",3
"10102100804","","J","Eastern NSW","1","Good","Good",3
"10102100805","","J","Eastern NSW","1","Good","Good",3
"10102100806","","J","Eastern NSW","1","Good","Good",3
"10102100807","","J","Eastern NSW","1","Good","Good",3
"10102100808","","J","Eastern NSW","1","Good","Good",3
"10102100809","","J","Eastern NSW","1","Good","Good",3
"10102100810","","J","Eastern NSW","1","Good","Good",3
"10102100811","","J","Eastern NSW","1","Good","Good",3
"10102100812","","J","Eastern NSW","1","Good","Good",3
"10102100813","","J","Eastern NSW","1","Good","Good",3
"10102100814","","J","Eastern NSW","1","Good","Good",3
"10102100815","","J","Eastern NSW","1","Good","Good",3
"10102100816","","J","Eastern NSW","1","Good","Good",3
"10102100817","","J","Eastern NSW","1","Good","Good",3
"10102100818","","J","Eastern NSW","1","Good","Good",3
"10102100819","","J","Eastern NSW","1","Good","Good",3
"10102100820","","J","Eastern NSW","1","Good","Good",3
"10102100821","","J","Eastern NSW","1","Good","Good",3
"10102100822","","J","Eastern NSW","1","Good","Good",3
"10102100823","","J","Eastern NSW","1","Good","Good",3
"10102100901","","J","Eastern NSW","1","Good","Good",3
"10102100902","","J","Eastern NSW","1","Good","Good",3
"10102100904","","J","Eastern NSW","1","Good","Good",3
"10102100905","","J","Eastern NSW","1","Good","Good",3
"10102100907","","J","Eastern NSW","1","Good","Good",3
"10102100908","","J","Eastern NSW","1","Good","Good",3
"10102100909","","J","Eastern NSW","1","Good","Good",3
"10102100910","","J","Eastern NSW","1","Good","Good",3
"10102100911","","J","Eastern NSW","1","Good","Good",3
"10102100912","","J","Eastern NSW","1","Good","Good",3
"10102100913","","J","Eastern NSW","1","Good","Good",3
"10102100914","","J","Eastern NSW","1","Good","Good",3
"10102100915","","J","Eastern NSW","1","Good","Good",3
"10102100916","","J","Eastern NSW","1","Good","Good",3
"10102100917","","J","Eastern NSW","1","Good","Good",3
"10102100918","","J","Eastern NSW","1","Good","Good",3
"10102100919","","J","Eastern NSW","1","Good","Good",3
"10102100920","","J","Eastern NSW","1","Good","Good",3
"10102100921","","J","Eastern NSW","1","Good","Good",3
"10102100923","","J","Eastern NSW","1","Good","Good",3
"10102100924","","J","Eastern NSW","1","Good","Good",3
"10102100925","","J","Eastern NSW","1","Good","Good",3
"10102100926","","J","Eastern NSW","1","Good","Good",3
"10102100927","","J","Eastern NSW","1","Good","Good",3
"10102100928","","J","Eastern NSW","1","Good","Good",3
"10102100929","","J","Eastern NSW","1","Good","Good",3
"10102101001","","J","Eastern NSW","1","Good","Good",3
"10102101002","","J","Eastern NSW","1","Good","Good",3
"10102101003","","J","Eastern NSW","1","Good","Good",3
"10102101004","","J","Eastern NSW","1","Good","Good",3
"10102101006","","J","Eastern NSW","1","Good","Good",3
