SA1_CODE_2021,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102100701,12411,Lower Boro,0.7114855,Poor,Good,0
10102100701,13073,Oallen,0.2885145,Poor,Good,0
10102100702,10544,Braidwood,1,Good,Good,0
10102100703,10544,Braidwood,1,Good,Good,0
10102100704,10544,Braidwood,1,Good,Good,0
10102100705,10544,Braidwood,1,Good,Good,0
10102100706,12461,Majors Creek (NSW),1,Good,Good,0
10102100707,10071,Araluen (NSW),0.5156554,Poor,Good,0
10102100707,10306,Berlang,4.86E-05,Poor,Good,1
10102100707,12688,Monga,0.0561066,Poor,Good,0
10102100707,12937,Neringla,0.0293174,Poor,Good,0
10102100707,13031,Northangera,0.0949533,Poor,Good,0
10102100707,13361,Reidsdale,0.3039187,Poor,Good,0
10102100708,10159,Ballalaba,0.0458598,Poor,Good,0
10102100708,10292,Bendoura,0.1660343,Poor,Good,0
10102100708,10306,Berlang,0.0001265,Poor,Good,1
10102100708,10455,Bombay,0.2072149,Poor,Good,0
10102100708,11497,Farringdon,0.0332606,Poor,Good,0
10102100708,11862,Harolds Cross,0.1249486,Poor,Good,0
10102100708,11900,Hereford Hall,0.0364223,Poor,Good,0
10102100708,12016,Jembaicumbene,0.1011888,Poor,Good,0
10102100708,12024,Jerrabattgulla,0.0253407,Poor,Good,0
10102100708,12040,Jinden,0.0316798,Poor,Good,0
10102100708,12152,Kindervale,0.0284865,Poor,Good,0
10102100708,12211,Krawarree,0.1296437,Poor,Good,0
10102100708,12461,Majors Creek (NSW),3.16E-05,Good,Good,1
10102100708,12937,Neringla,3.16E-05,Poor,Good,1
10102100708,13582,Snowball,0.0048531,Poor,Good,1
10102100708,14451,Wyanbene,0.0648772,Poor,Good,0
10102100709,10512,Boro,0.2184643,Poor,Good,0
10102100709,11337,Durran Durra,2.25E-05,Poor,Good,1
10102100709,12286,Larbert,0.0765819,Poor,Good,0
10102100709,12472,Manar,0.252218,Poor,Good,0
10102100709,12507,Marlowe,2.25E-05,Poor,Good,1
10102100709,12542,Mayfield (Queanbeyan-Palerang Regional - NSW),0.128417,Poor,Good,0
10102100709,14190,Warri,0.3242738,Poor,Good,0
10102100710,10127,Back Creek (Queanbeyan-Palerang Regional - NSW),0.0132949,Poor,Good,0
10102100710,10633,Budawang,0.0569727,Poor,Good,0
10102100710,10885,Charleys Forest,0.1328162,Poor,Good,0
10102100710,11066,Corang,0.0076242,Poor,Good,1
10102100710,11337,Durran Durra,0.20297,Poor,Good,0
10102100710,12507,Marlowe,0.0151915,Poor,Good,0
10102100710,12689,Mongarlowe,0.2276443,Poor,Good,0
10102100710,12939,Nerriga,0.1385059,Poor,Good,0
10102100710,13073,Oallen,0.1081799,Poor,Good,0
10102100710,13911,Tomboye,0.0682952,Poor,Good,0
10102100710,14365,Wog Wog (Queanbeyan-Palerang Regional - NSW),0.0285053,Poor,Good,0
10102100801,12079,Karabar,1,Good,Good,0
10102100802,12079,Karabar,1,Good,Good,0
10102100803,12079,Karabar,1,Good,Good,0
10102100804,12079,Karabar,1,Good,Good,0
10102100805,12079,Karabar,1,Good,Good,0
10102100806,12079,Karabar,1,Good,Good,0
10102100807,12079,Karabar,1,Good,Good,0
