SA1_CODE_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102100701,10031,Goulburn,1,Good,Good,3
10102100702,10053,Monaro,1,Good,Good,3
10102100703,10053,Monaro,1,Good,Good,3
10102100704,10053,Monaro,1,Good,Good,3
10102100705,10053,Monaro,1,Good,Good,3
10102100706,10053,Monaro,1,Good,Good,3
10102100707,10053,Monaro,1,Good,Good,3
10102100708,10053,Monaro,1,Good,Good,3
10102100709,10053,Monaro,1,Good,Good,3
10102100710,10031,Goulburn,3.79E-05,Good,Good,5
10102100710,10053,Monaro,0.9999621,Good,Good,3
10102100801,10053,Monaro,1,Good,Good,3
10102100802,10053,Monaro,1,Good,Good,3
10102100803,10053,Monaro,1,Good,Good,3
10102100804,10053,Monaro,1,Good,Good,3
10102100805,10053,Monaro,1,Good,Good,3
10102100806,10053,Monaro,1,Good,Good,3
10102100807,10053,Monaro,1,Good,Good,3
10102100808,10053,Monaro,1,Good,Good,3
10102100809,10053,Monaro,1,Good,Good,3
10102100810,10053,Monaro,1,Good,Good,3
10102100811,10053,Monaro,1,Good,Good,3
10102100812,10053,Monaro,1,Good,Good,3
10102100813,10053,Monaro,1,Good,Good,3
10102100814,10053,Monaro,1,Good,Good,3
10102100815,10053,Monaro,1,Good,Good,3
10102100816,10053,Monaro,1,Good,Good,3
10102100817,10053,Monaro,1,Good,Good,3
10102100818,10053,Monaro,1,Good,Good,3
10102100819,10053,Monaro,1,Good,Good,3
10102100820,10053,Monaro,1,Good,Good,3
10102100821,10053,Monaro,1,Good,Good,3
10102100822,10053,Monaro,1,Good,Good,3
10102100823,10053,Monaro,1,Good,Good,3
10102100901,10053,Monaro,1,Good,Good,3
10102100902,10053,Monaro,1,Good,Good,3
10102100904,10053,Monaro,1,Good,Good,3
10102100905,10053,Monaro,1,Good,Good,3
10102100907,10053,Monaro,1,Good,Good,3
10102100908,10053,Monaro,1,Good,Good,3
10102100909,10053,Monaro,1,Good,Good,3
10102100910,10053,Monaro,1,Good,Good,3
10102100911,10053,Monaro,1,Good,Good,3
10102100912,10053,Monaro,1,Good,Good,3
10102100913,10053,Monaro,1,Good,Good,3
10102100914,10053,Monaro,1,Good,Good,3
10102100915,10053,Monaro,1,Good,Good,3
10102100916,10053,Monaro,1,Good,Good,3
10102100917,10053,Monaro,1,Good,Good,3
10102100918,10053,Monaro,1,Good,Good,3
10102100919,10053,Monaro,1,Good,Good,3
10102100920,10053,Monaro,1,Good,Good,3
10102100921,10053,Monaro,1,Good,Good,3
10102100923,10053,Monaro,1,Good,Good,3
10102100924,10053,Monaro,1,Good,Good,3
10102100925,10053,Monaro,1,Good,Good,3
10102100926,10053,Monaro,1,Good,Good,3
10102100927,10053,Monaro,1,Good,Good,3
10102100928,10053,Monaro,1,Good,Good,3
10102100929,10053,Monaro,1,Good,Good,3
10102101001,10053,Monaro,1,Good,Good,3
10102101002,10053,Monaro,1,Good,Good,3
10102101003,10053,Monaro,1,Good,Good,3
10102101004,10053,Monaro,1,Good,Good,3
10102101006,10053,Monaro,1,Good,Good,3
10102101007,10053,Monaro,1,Good,Good,3
10102101008,10053,Monaro,1,Good,Good,3
10102101009,10053,Monaro,1,Good,Good,3
10102101010,10053,Monaro,1,Good,Good,3
10102101011,10053,Monaro,1,Good,Good,3
10102101012,10053,Monaro,1,Good,Good,3
10102101013,10053,Monaro,1,Good,Good,3
10102101014,10053,Monaro,1,Good,Good,3
10102101015,10053,Monaro,1,Good,Good,3
10102101016,10053,Monaro,1,Good,Good,3
10102101017,10053,Monaro,1,Good,Good,3
10102101201,10053,Monaro,1,Good,Good,3
10102101202,10053,Monaro,1,Good,Good,3
10102101203,10053,Monaro,1,Good,Good,3
10102101204,10053,Monaro,1,Good,Good,3
10102101205,10053,Monaro,1,Good,Good,3
10102101206,10053,Monaro,1,Good,Good,3
10102101207,10053,Monaro,1,Good,Good,3
10102101208,10053,Monaro,1,Good,Good,3
10102101209,10053,Monaro,1,Good,Good,3
10102101210,10053,Monaro,1,Good,Good,3
10102101211,10053,Monaro,1,Good,Good,3
10102101212,10053,Monaro,1,Good,Good,3
10102101213,10053,Monaro,1,Good,Good,3
10102101214,10053,Monaro,1,Good,Good,3
10102101215,10053,Monaro,1,Good,Good,3
10102101216,10053,Monaro,1,Good,Good,3
10102101217,10053,Monaro,1,Good,Good,3
10102101218,10053,Monaro,1,Good,Good,3
10102101219,10053,Monaro,1,Good,Good,3
10102101220,10053,Monaro,1,Good,Good,3
10102101221,10053,Monaro,1,Good,Good,3
10102101222,10053,Monaro,1,Good,Good,3
10102101223,10053,Monaro,1,Good,Good,3
10102101224,10053,Monaro,1,Good,Good,3
10102101225,10053,Monaro,1,Good,Good,3
10102101226,10053,Monaro,1,Good,Good,3
10102101227,10053,Monaro,1,Good,Good,3
10102101228,10053,Monaro,1,Good,Good,3
10102101229,10053,Monaro,1,Good,Good,3
10102101230,10053,Monaro,1,Good,Good,3
10102101231,10053,Monaro,1,Good,Good,3
10102101232,10053,Monaro,1,Good,Good,3
10102161001,10053,Monaro,1,Good,Good,3
10102161002,10053,Monaro,1,Good,Good,3
10102161003,10053,Monaro,1,Good,Good,3
10102161004,10053,Monaro,1,Good,Good,3
10102161005,10053,Monaro,1,Good,Good,3
10102161006,10053,Monaro,1,Good,Good,3
10102161007,10053,Monaro,1,Good,Good,3
10102161008,10053,Monaro,1,Good,Good,3
10102161009,10053,Monaro,1,Good,Good,3
10102161010,10053,Monaro,1,Good,Good,3
10102161011,10053,Monaro,1,Good,Good,3
10102161012,10053,Monaro,1,Good,Good,3
10102161013,10053,Monaro,1,Good,Good,3
10102161014,10053,Monaro,1,Good,Good,3
10102161015,10053,Monaro,1,Good,Good,3
10102161101,10053,Monaro,1,Good,Good,3
10102161102,10053,Monaro,1,Good,Good,3
10102161103,10053,Monaro,1,Good,Good,3
10102161104,10053,Monaro,1,Good,Good,3
10102161105,10053,Monaro,1,Good,Good,3
10102161106,10053,Monaro,1,Good,Good,3
10102161107,10031,Goulburn,0.8184566,Good,Good,3
10102161107,10053,Monaro,0.1815434,Good,Good,3
10102161108,10053,Monaro,1,Good,Good,3
10102161109,10053,Monaro,1,Good,Good,3
10102161110,10053,Monaro,1,Good,Good,3
10102161111,10053,Monaro,1,Good,Good,3
10102161112,10053,Monaro,1,Good,Good,3
10102161113,10053,Monaro,1,Good,Good,3
10102161114,10053,Monaro,1,Good,Good,3
10102161115,10053,Monaro,1,Good,Good,3
10102161116,10053,Monaro,1,Good,Good,3
10102161117,10053,Monaro,1,Good,Good,3
10102161118,10053,Monaro,1,Good,Good,3
10102161119,10053,Monaro,1,Good,Good,3
10102161120,10053,Monaro,1,Good,Good,3
10102161121,10053,Monaro,1,Good,Good,3
10102161122,10053,Monaro,1,Good,Good,3
10102161123,10053,Monaro,1,Good,Good,3
10102161124,10053,Monaro,1,Good,Good,3
10102161125,10053,Monaro,1,Good,Good,3
10102161126,10053,Monaro,1,Good,Good,3
10102161127,10053,Monaro,1,Good,Good,3
10102161128,10053,Monaro,1,Good,Good,3
10102161129,10053,Monaro,1,Good,Good,3
10102161130,10053,Monaro,1,Good,Good,3
10102161131,10053,Monaro,1,Good,Good,3
10102161132,10053,Monaro,1,Good,Good,3
10102161133,10053,Monaro,1,Good,Good,3
10102161134,10053,Monaro,1,Good,Good,3
10102161135,10053,Monaro,1,Good,Good,3
10102161136,10053,Monaro,1,Good,Good,3
10102161137,10053,Monaro,1,Good,Good,3
10102161138,10053,Monaro,1,Good,Good,3
10102161139,10053,Monaro,1,Good,Good,3
10102161140,10053,Monaro,1,Good,Good,3
10102161141,10053,Monaro,1,Good,Good,3
10102161142,10053,Monaro,1,Good,Good,3
10102161143,10053,Monaro,1,Good,Good,3
10102161144,10053,Monaro,1,Good,Good,3
10102161145,10053,Monaro,1,Good,Good,3
