SA2_MAINCODE_2016,SA2_NAME_2016,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,113,Eden-Monaro,0.933196,Good,Good,0
101021007,Braidwood,120,Hume,0.066804,Acceptable,Good,0
101021008,Karabar,113,Eden-Monaro,1,Good,Good,0
101021009,Queanbeyan,113,Eden-Monaro,1,Good,Good,0
101021010,Queanbeyan - East,113,Eden-Monaro,1,Good,Good,0
101021011,Queanbeyan Region,113,Eden-Monaro,0.9801274,Good,Good,0
101021011,Queanbeyan Region,120,Hume,0.0198726,Acceptable,Good,0
101021012,Queanbeyan West - Jerrabomberra,113,Eden-Monaro,1,Good,Good,0
101031013,Bombala,113,Eden-Monaro,1,Good,Good,0
101031014,Cooma,113,Eden-Monaro,1,Good,Good,0
101031015,Cooma Region,113,Eden-Monaro,1,Good,Good,0
101031016,Jindabyne - Berridale,113,Eden-Monaro,1,Good,Good,0
101041017,Batemans Bay,116,Gilmore,1,Good,Good,0
101041018,Batemans Bay - South,116,Gilmore,1,Good,Good,0
101041019,Bega - Tathra,113,Eden-Monaro,1,Good,Good,0
101041020,Bega-Eden Hinterland,113,Eden-Monaro,1,Good,Good,0
101041021,Broulee - Tomakin,116,Gilmore,1,Good,Good,0
101041022,Deua - Wadbilliga,113,Eden-Monaro,0.8485992,Good,Good,0
101041022,Deua - Wadbilliga,116,Gilmore,0.1514008,Good,Good,0
101041023,Eden,113,Eden-Monaro,1,Good,Good,0
101041024,Eurobodalla Hinterland,113,Eden-Monaro,0.3191125,Good,Good,0
101041024,Eurobodalla Hinterland,116,Gilmore,0.6808875,Good,Good,0
101041025,Merimbula - Tura Beach,113,Eden-Monaro,1,Good,Good,0
101041026,Moruya - Tuross Head,116,Gilmore,1,Good,Good,0
101041027,Narooma - Bermagui,113,Eden-Monaro,1,Good,Good,0
101051539,Goulburn,120,Hume,1,Acceptable,Good,0
101051540,Goulburn Region,113,Eden-Monaro,0.0091733,Good,Good,1
101051540,Goulburn Region,120,Hume,0.9908267,Acceptable,Good,0
101061541,Yass,113,Eden-Monaro,1,Good,Good,0
101061542,Yass Region,113,Eden-Monaro,0.8699091,Good,Good,0
101061542,Yass Region,120,Hume,0.1230833,Acceptable,Good,0
101061542,Yass Region,139,Riverina,0.0070076,Good,Good,1
101061543,Young,139,Riverina,1,Good,Good,0
101061544,Young Region,120,Hume,0.3254877,Acceptable,Good,0
101061544,Young Region,139,Riverina,0.6745123,Good,Good,0
102011028,Avoca Beach - Copacabana,140,Robertson,1,Good,Good,0
102011029,Box Head - MacMasters Beach,140,Robertson,1,Good,Good,0
102011030,Calga - Kulnura,112,Dobell,0.0924935,Good,Good,0
102011030,Calga - Kulnura,140,Robertson,0.9075065,Good,Good,0
102011031,Erina - Green Point,112,Dobell,0.1505779,Good,Good,0
102011031,Erina - Green Point,140,Robertson,0.8494221,Good,Good,0
102011032,Gosford - Springfield,140,Robertson,1,Good,Good,0
102011033,Kariong,140,Robertson,1,Good,Good,0
102011034,Kincumber - Picketts Valley,140,Robertson,1,Good,Good,0
102011035,Narara,140,Robertson,1,Good,Good,0
102011036,Niagara Park - Lisarow,112,Dobell,0.6472351,Good,Good,0
102011036,Niagara Park - Lisarow,140,Robertson,0.3527649,Good,Good,0
102011037,Point Clare - Koolewong,140,Robertson,1,Good,Good,0
102011038,Saratoga - Davistown,140,Robertson,1,Good,Good,0
102011039,Terrigal - North Avoca,140,Robertson,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,140,Robertson,1,Good,Good,0
102011041,Wamberal - Forresters Beach,112,Dobell,0.6577383,Good,Good,0
102011041,Wamberal - Forresters Beach,140,Robertson,0.3422617,Good,Good,0
102011042,Woy Woy - Blackwall,140,Robertson,1,Good,Good,0
102011043,Wyoming,112,Dobell,1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,112,Dobell,1,Good,Good,0
102021045,Blue Haven - San Remo,112,Dobell,0.5784677,Good,Good,0
102021045,Blue Haven - San Remo,141,Shortland,0.4215323,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,112,Dobell,1.1e-6,Good,Good,1
102021046,Budgewoi - Buff Point - Halekulani,141,Shortland,0.9999989,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,112,Dobell,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,112,Dobell,1,Good,Good,0
102021049,Jilliby - Yarramalong,112,Dobell,1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,141,Shortland,1,Good,Good,0
102021051,Ourimbah - Fountaindale,112,Dobell,1,Good,Good,0
102021052,Summerland Point - Gwandalan,141,Shortland,1,Good,Good,0
102021053,The Entrance,112,Dobell,1,Good,Good,0
102021054,Toukley - Norah Head,112,Dobell,1,Good,Good,0
102021055,Tuggerah - Kangy Angy,112,Dobell,1,Good,Good,0
102021056,Warnervale - Wadalba,112,Dobell,1,Good,Good,0
102021057,Wyong,112,Dobell,1,Good,Good,0
103011058,Bathurst,107,Calare,1,Good,Good,0
103011059,Bathurst - East,107,Calare,1,Good,Good,0
103011060,Bathurst Region,107,Calare,1,Good,Good,0
