SA2_MAINCODE_2016,SA2_NAME_2016,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,13310,Goulburn Mulwaree,0.0682693,Acceptable,Good,0
101021007,Braidwood,16490,Queanbeyan-Palerang Regional,0.9317307,Good,Good,0
101021008,Karabar,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101021009,Queanbeyan,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101021010,Queanbeyan - East,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101021011,Queanbeyan Region,13310,Goulburn Mulwaree,0.0226691,Acceptable,Good,0
101021011,Queanbeyan Region,16490,Queanbeyan-Palerang Regional,0.9271874,Good,Good,0
101021011,Queanbeyan Region,17040,Snowy Monaro Regional,0.0501436,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
101031013,Bombala,17040,Snowy Monaro Regional,0.9999875,Good,Good,0
101031013,Bombala,10550,Bega Valley,0.0000125,Good,Good,1
101031014,Cooma,17040,Snowy Monaro Regional,1,Good,Good,0
101031015,Cooma Region,17040,Snowy Monaro Regional,0.9999788,Good,Good,0
101031015,Cooma Region,10550,Bega Valley,0.0000212,Good,Good,1
101031016,Jindabyne - Berridale,17040,Snowy Monaro Regional,1,Good,Good,0
101041017,Batemans Bay,12750,Eurobodalla,1,Good,Good,0
101041018,Batemans Bay - South,12750,Eurobodalla,1,Good,Good,0
101041019,Bega - Tathra,10550,Bega Valley,1,Good,Good,0
101041020,Bega-Eden Hinterland,10550,Bega Valley,0.9972606,Good,Good,0
101041020,Bega-Eden Hinterland,12750,Eurobodalla,0.0027359,Good,Good,1
101041020,Bega-Eden Hinterland,17040,Snowy Monaro Regional,0.0000034,Good,Good,1
101041021,Broulee - Tomakin,12750,Eurobodalla,1,Good,Good,0
101041022,Deua - Wadbilliga,17040,Snowy Monaro Regional,0.0003765,Good,Good,1
101041022,Deua - Wadbilliga,10550,Bega Valley,0.0105422,Good,Good,0
101041022,Deua - Wadbilliga,12750,Eurobodalla,0.9890813,Good,Good,0
101041023,Eden,10550,Bega Valley,1,Good,Good,0
101041024,Eurobodalla Hinterland,12750,Eurobodalla,0.9513458,Good,Good,0
101041024,Eurobodalla Hinterland,16950,Shoalhaven,0.0486542,Good,Good,0
101041025,Merimbula - Tura Beach,10550,Bega Valley,1,Good,Good,0
101041026,Moruya - Tuross Head,12750,Eurobodalla,1,Good,Good,0
101041027,Narooma - Bermagui,10550,Bega Valley,0.2492888,Good,Good,0
101041027,Narooma - Bermagui,12750,Eurobodalla,0.7507112,Good,Good,0
101051539,Goulburn,13310,Goulburn Mulwaree,1,Acceptable,Good,0
101051540,Goulburn Region,18350,Wingecarribee,0.0004768,Good,Good,1
101051540,Goulburn Region,18710,Yass Valley,0.000238,Good,Good,1
101051540,Goulburn Region,13310,Goulburn Mulwaree,0.4798483,Acceptable,Good,0
101051540,Goulburn Region,16490,Queanbeyan-Palerang Regional,0.0144743,Good,Good,0
101051540,Goulburn Region,17640,Upper Lachlan Shire,0.5049626,Poor,Good,0
101061541,Yass,18710,Yass Valley,1,Good,Good,0
101061542,Yass Region,18710,Yass Valley,0.8385465,Good,Good,0
101061542,Yass Region,13910,Hilltops,0.0491744,Good,Good,0
101061542,Yass Region,17640,Upper Lachlan Shire,0.1122782,Poor,Good,0
101061542,Yass Region,17080,Snowy Valleys,0.0000009,Good,Good,1
101061543,Young,13910,Hilltops,1,Good,Good,0
101061544,Young Region,13910,Hilltops,1,Good,Good,0
102011028,Avoca Beach - Copacabana,11650,Central Coast (NSW),1,Good,Good,0
102011029,Box Head - MacMasters Beach,11650,Central Coast (NSW),1,Good,Good,0
102011030,Calga - Kulnura,11650,Central Coast (NSW),1,Good,Good,0
102011031,Erina - Green Point,11650,Central Coast (NSW),1,Good,Good,0
102011032,Gosford - Springfield,11650,Central Coast (NSW),1,Good,Good,0
102011033,Kariong,11650,Central Coast (NSW),1,Good,Good,0
102011034,Kincumber - Picketts Valley,11650,Central Coast (NSW),1,Good,Good,0
102011035,Narara,11650,Central Coast (NSW),1,Good,Good,0
102011036,Niagara Park - Lisarow,11650,Central Coast (NSW),1,Good,Good,0
102011037,Point Clare - Koolewong,11650,Central Coast (NSW),1,Good,Good,0
102011038,Saratoga - Davistown,11650,Central Coast (NSW),1,Good,Good,0
102011039,Terrigal - North Avoca,11650,Central Coast (NSW),1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,11650,Central Coast (NSW),1,Good,Good,0
102011041,Wamberal - Forresters Beach,11650,Central Coast (NSW),1,Good,Good,0
102011042,Woy Woy - Blackwall,11650,Central Coast (NSW),1,Good,Good,0
102011043,Wyoming,11650,Central Coast (NSW),1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,11650,Central Coast (NSW),1,Good,Good,0
102021045,Blue Haven - San Remo,11650,Central Coast (NSW),1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,11650,Central Coast (NSW),1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,11650,Central Coast (NSW),1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,11650,Central Coast (NSW),1,Good,Good,0
102021049,Jilliby - Yarramalong,11650,Central Coast (NSW),1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,11650,Central Coast (NSW),0.9999991,Good,Good,0
102021050,Lake Munmorah - Mannering Park,14650,Lake Macquarie,0.0000009,Good,Good,1
102021051,Ourimbah - Fountaindale,11650,Central Coast (NSW),1,Good,Good,0
102021052,Summerland Point - Gwandalan,11650,Central Coast (NSW),1,Good,Good,0
