SA2_CODE_2021,SA2_NAME_2021,ADD_CODE_2021,ADD_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,D08,South East Coast (NSW),1,Good,Good,0
101021008,Karabar,D03,Murray-Darling Basin,1,Good,Good,0
101021009,Queanbeyan,D03,Murray-Darling Basin,1,Good,Good,0
101021010,Queanbeyan - East,D03,Murray-Darling Basin,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,D03,Murray-Darling Basin,1,Good,Good,0
101021610,Googong,D03,Murray-Darling Basin,1,Good,Good,0
101021611,Queanbeyan Surrounds,D08,South East Coast (NSW),0.046859,Good,Good,0
101021611,Queanbeyan Surrounds,D03,Murray-Darling Basin,0.953141,Good,Good,0
101031013,Bombala,D08,South East Coast (NSW),1.23E-05,Good,Good,1
101031013,Bombala,D09,South East Coast (Victoria),0.9999877,Good,Good,0
101031014,Cooma,D03,Murray-Darling Basin,1,Good,Good,0
101031015,Cooma Surrounds,D08,South East Coast (NSW),0.0080626,Good,Good,1
101031015,Cooma Surrounds,D09,South East Coast (Victoria),0.1576219,Good,Good,0
101031015,Cooma Surrounds,D03,Murray-Darling Basin,0.8343156,Good,Good,0
101031016,Jindabyne - Berridale,D09,South East Coast (Victoria),1,Good,Good,0
101041017,Batemans Bay,D08,South East Coast (NSW),1,Good,Good,0
101041018,Batemans Bay - South,D08,South East Coast (NSW),1,Good,Good,0
101041019,Bega - Tathra,D08,South East Coast (NSW),1,Good,Good,0
101041020,Bega-Eden Hinterland,D09,South East Coast (Victoria),0.0016931,Good,Good,1
101041020,Bega-Eden Hinterland,D08,South East Coast (NSW),0.9983069,Good,Good,0
101041021,Broulee - Tomakin,D08,South East Coast (NSW),1,Good,Good,0
101041022,Deua - Wadbilliga,D08,South East Coast (NSW),1,Good,Good,0
101041023,Eden,D08,South East Coast (NSW),1,Good,Good,0
101041024,Eurobodalla Hinterland,D08,South East Coast (NSW),1,Good,Good,0
101041025,Merimbula - Tura Beach,D08,South East Coast (NSW),1,Good,Good,0
101041026,Moruya - Tuross Head,D08,South East Coast (NSW),1,Good,Good,0
101041027,Narooma - Bermagui,D08,South East Coast (NSW),1,Good,Good,0
101051539,Goulburn,D08,South East Coast (NSW),1,Good,Good,0
101051540,Goulburn Surrounds,D03,Murray-Darling Basin,0.4123119,Good,Good,0
101051540,Goulburn Surrounds,D08,South East Coast (NSW),0.5876881,Good,Good,0
101061541,Yass,D03,Murray-Darling Basin,1,Good,Good,0
101061542,Yass Surrounds,D03,Murray-Darling Basin,1,Good,Good,0
101061543,Young,D03,Murray-Darling Basin,1,Good,Good,0
101061544,Young Surrounds,D03,Murray-Darling Basin,1,Good,Good,0
102011028,Avoca Beach - Copacabana,D08,South East Coast (NSW),1,Good,Good,0
