SA2_CODE_2021,SA2_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,113,Eden-Monaro,0.9296161,Good,Good,0
101021007,Braidwood,120,Hume,0.0703839,Good,Good,0
101021008,Karabar,113,Eden-Monaro,1,Good,Good,0
101021009,Queanbeyan,113,Eden-Monaro,1,Good,Good,0
101021010,Queanbeyan - East,113,Eden-Monaro,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,113,Eden-Monaro,1,Good,Good,0
101021610,Googong,113,Eden-Monaro,1,Good,Good,0
101021611,Queanbeyan Surrounds,113,Eden-Monaro,0.9770855,Good,Good,0
101021611,Queanbeyan Surrounds,120,Hume,0.0229145,Good,Good,0
101031013,Bombala,113,Eden-Monaro,1,Good,Good,0
101031014,Cooma,113,Eden-Monaro,1,Good,Good,0
101031015,Cooma Surrounds,113,Eden-Monaro,1,Good,Good,0
101031016,Jindabyne - Berridale,113,Eden-Monaro,1,Good,Good,0
101041017,Batemans Bay,116,Gilmore,1,Good,Good,0
101041018,Batemans Bay - South,116,Gilmore,1,Good,Good,0
101041019,Bega - Tathra,113,Eden-Monaro,1,Good,Good,0
101041020,Bega-Eden Hinterland,113,Eden-Monaro,1,Good,Good,0
101041021,Broulee - Tomakin,116,Gilmore,1,Good,Good,0
101041022,Deua - Wadbilliga,113,Eden-Monaro,0.9995188,Good,Good,0
101041022,Deua - Wadbilliga,116,Gilmore,0.0004812,Good,Good,1
101041023,Eden,113,Eden-Monaro,1,Good,Good,0
101041024,Eurobodalla Hinterland,113,Eden-Monaro,0.3084462,Good,Good,0
101041024,Eurobodalla Hinterland,116,Gilmore,0.6915538,Good,Good,0
101041025,Merimbula - Tura Beach,113,Eden-Monaro,1,Good,Good,0
101041026,Moruya - Tuross Head,116,Gilmore,1,Good,Good,0
101041027,Narooma - Bermagui,113,Eden-Monaro,1,Good,Good,0
101051539,Goulburn,120,Hume,1,Good,Good,0
101051540,Goulburn Surrounds,113,Eden-Monaro,0.0112668,Good,Good,0
101051540,Goulburn Surrounds,120,Hume,0.9887332,Good,Good,0
