SA2_CODE_2021,SA2_NAME_2021,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,106004,Snowy - Monaro,0.9296207,Good,Good,0
101021007,Braidwood,106005,Southern Tablelands,0.0703793,Good,Good,0
101021008,Karabar,106004,Snowy - Monaro,1,Good,Good,0
101021009,Queanbeyan,106004,Snowy - Monaro,1,Good,Good,0
101021010,Queanbeyan - East,106004,Snowy - Monaro,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,106004,Snowy - Monaro,1,Good,Good,0
101021610,Googong,106004,Snowy - Monaro,1,Good,Good,0
101021611,Queanbeyan Surrounds,106004,Snowy - Monaro,1,Good,Good,0
101031013,Bombala,106004,Snowy - Monaro,1,Good,Good,0
101031014,Cooma,106004,Snowy - Monaro,1,Good,Good,0
101031015,Cooma Surrounds,106004,Snowy - Monaro,1,Good,Good,0
101031016,Jindabyne - Berridale,106004,Snowy - Monaro,1,Good,Good,0
101041017,Batemans Bay,106002,Eurobodalla,1,Good,Good,0
101041018,Batemans Bay - South,106002,Eurobodalla,1,Good,Good,0
101041019,Bega - Tathra,106001,Bega Valley,1,Good,Good,0
101041020,Bega-Eden Hinterland,106001,Bega Valley,1,Good,Good,0
101041021,Broulee - Tomakin,106002,Eurobodalla,1,Good,Good,0
101041022,Deua - Wadbilliga,106001,Bega Valley,1,Good,Good,0
101041023,Eden,106001,Bega Valley,1,Good,Good,0
101041024,Eurobodalla Hinterland,106002,Eurobodalla,1,Good,Good,0
101041025,Merimbula - Tura Beach,106001,Bega Valley,1,Good,Good,0
101041026,Moruya - Tuross Head,106002,Eurobodalla,1,Good,Good,0
101041027,Narooma - Bermagui,106001,Bega Valley,0.2695021,Good,Good,0
101041027,Narooma - Bermagui,106002,Eurobodalla,0.7304979,Good,Good,0
101051539,Goulburn,106005,Southern Tablelands,1,Good,Good,0
101051540,Goulburn Surrounds,106004,Snowy - Monaro,0.0368477,Good,Good,0
101051540,Goulburn Surrounds,106005,Southern Tablelands,0.9631523,Good,Good,0
101061541,Yass,106005,Southern Tablelands,1,Good,Good,0
101061542,Yass Surrounds,105013,Gundagai - Junee - Harden,0.0266459,Acceptable,Good,0
101061542,Yass Surrounds,106005,Southern Tablelands,0.9733541,Good,Good,0
101061543,Young,105013,Gundagai - Junee - Harden,0.0217206,Acceptable,Good,0
101061543,Young,105022,Young,0.9782794,Acceptable,Good,0
101061544,Young Surrounds,105013,Gundagai - Junee - Harden,0.4139677,Acceptable,Good,0
101061544,Young Surrounds,105022,Young,0.2714032,Acceptable,Good,0
101061544,Young Surrounds,106005,Southern Tablelands,0.314629,Good,Good,0
102011028,Avoca Beach - Copacabana,104007,Gosford,1,Good,Good,0
102011029,Box Head - MacMasters Beach,104007,Gosford,1,Good,Good,0
102011030,Calga - Kulnura,104007,Gosford,0.917222,Good,Good,0
102011030,Calga - Kulnura,104023,Wyong,0.082778,Good,Good,0
102011031,Erina - Green Point,104007,Gosford,1,Good,Good,0
102011032,Gosford - Springfield,104007,Gosford,1,Good,Good,0
102011033,Kariong,104007,Gosford,1,Good,Good,0
102011034,Kincumber - Picketts Valley,104007,Gosford,1,Good,Good,0
102011035,Narara,104007,Gosford,1,Good,Good,0
102011036,Niagara Park - Lisarow,104007,Gosford,1,Good,Good,0
102011037,Point Clare - Koolewong,104007,Gosford,1,Good,Good,0
102011038,Saratoga - Davistown,104007,Gosford,1,Good,Good,0
102011039,Terrigal - North Avoca,104007,Gosford,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,104007,Gosford,1,Good,Good,0
102011041,Wamberal - Forresters Beach,104007,Gosford,0.9691364,Good,Good,0
102011041,Wamberal - Forresters Beach,104023,Wyong,0.0308636,Good,Good,0
102011042,Woy Woy - Blackwall,104007,Gosford,1,Good,Good,0
102011043,Wyoming,104007,Gosford,1,Good,Good,0
102021044,Bateau Bay - Killarney Vale,104023,Wyong,1,Good,Good,0
102021045,Blue Haven - San Remo,104023,Wyong,1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,104023,Wyong,1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,104023,Wyong,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,104023,Wyong,1,Good,Good,0
102021049,Jilliby - Yarramalong,104023,Wyong,1,Good,Good,0
102021050,Lake Munmorah - Mannering Park,104023,Wyong,1,Good,Good,0
102021051,Ourimbah - Fountaindale,104023,Wyong,1,Good,Good,0
102021052,Summerland Point - Gwandalan,104023,Wyong,1,Good,Good,0
102021053,The Entrance,104023,Wyong,1,Good,Good,0
102021054,Toukley - Norah Head,104023,Wyong,1,Good,Good,0
102021055,Tuggerah - Kangy Angy,104023,Wyong,1,Good,Good,0
102021056,Warnervale - Wadalba,104023,Wyong,1,Good,Good,0
102021057,Wyong,104023,Wyong,1,Good,Good,0
103011059,Bathurst - East,105003,Bathurst,1,Good,Good,0
103011060,Bathurst Surrounds,105003,Bathurst,0.8843294,Good,Good,0
103011060,Bathurst Surrounds,105015,Lithgow - Oberon,0.1156706,Good,Good,0
103011061,Oberon,105015,Lithgow - Oberon,1,Good,Good,0
103011612,Bathurst - South,105003,Bathurst,1,Good,Good,0
103011613,Bathurst - West,105003,Bathurst,1,Good,Good,0
103021062,Condobolin,105014,Lachlan,1,Good,Good,0
103021063,Cowra,105009,Cowra,1,Acceptable,Good,0
103021064,Cowra Surrounds,105004,Blayney - Cabonne,0.3939159,Acceptable,Good,0
103021064,Cowra Surrounds,105009,Cowra,0.6060841,Acceptable,Good,0
103021065,Forbes,105004,Blayney - Cabonne,0.0804628,Acceptable,Good,0
103021065,Forbes,105011,Forbes,0.9195372,Good,Good,0
103021066,Grenfell,105007,Coolamon - Temora - West Wyalong,1,Acceptable,Good,0
103021067,Parkes (NSW),101005,Parkes,1,Good,Good,0
103021068,Parkes Surrounds,101005,Parkes,1,Good,Good,0
103021069,West Wyalong,105007,Coolamon - Temora - West Wyalong,1,Acceptable,Good,0
103031070,Lithgow,105015,Lithgow - Oberon,1,Good,Good,0
103031071,Lithgow Surrounds,105015,Lithgow - Oberon,1,Good,Good,0
103031072,Mudgee,105016,Mudgee,1,Good,Good,0
103031073,Mudgee Surrounds - East,105016,Mudgee,1,Good,Good,0
103031074,Mudgee Surrounds - West,105016,Mudgee,1,Good,Good,0
103031075,Wollangambe - Wollemi,105015,Lithgow - Oberon,1,Good,Good,0
103041076,Blayney,105004,Blayney - Cabonne,0.9691452,Acceptable,Good,0
103041076,Blayney,105009,Cowra,0.0308548,Acceptable,Good,0
103041077,Orange,105018,Orange,1,Good,Good,0
103041078,Orange - North,105004,Blayney - Cabonne,0.0110217,Acceptable,Good,0
103041078,Orange - North,105018,Orange,0.9889783,Good,Good,0
103041079,Orange Surrounds,105004,Blayney - Cabonne,0.8447277,Acceptable,Good,0
103041079,Orange Surrounds,105018,Orange,0.1552723,Good,Good,0
104011080,Grafton,104004,Clarence Valley,1,Good,Good,0
104011081,Grafton Surrounds,104004,Clarence Valley,1,Good,Good,0
104011082,Maclean - Yamba - Iluka,104004,Clarence Valley,1,Good,Good,0
104021083,Bellingen,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021084,Coffs Harbour - North,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021085,Coffs Harbour - South,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021086,Coramba - Nana Glen - Bucca,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021087,Dorrigo,104004,Clarence Valley,0.1377158,Good,Good,0
104021087,Dorrigo,104005,Coffs Harbour - Nambucca,0.8622842,Good,Good,0
104021088,Korora - Emerald Beach,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021089,Sawtell - Boambee,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021090,Urunga,104005,Coffs Harbour - Nambucca,1,Good,Good,0
104021091,Woolgoolga - Arrawarra,104005,Coffs Harbour - Nambucca,1,Good,Good,0
105011092,Bourke - Brewarrina,103001,Bourke,0.6829878,Poor,Good,0
105011092,Bourke - Brewarrina,103002,Brewarrina,0.3170122,Poor,Good,0
105011093,Cobar,103003,Cobar - Murrin Bridge,1,Good,Good,0
105011094,Coonamble,101006,Warren,0.0533076,Poor,Good,0
