SA2_CODE_2021,SA2_NAME_2021,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
101021007,Braidwood,10600402,Snowy - Monaro,0.9296207,Good,Good,0
101021007,Braidwood,10600501,Goulburn Mulwaree,0.0703793,Acceptable,Good,0
101021008,Karabar,10600401,Queanbeyan,1,Good,Good,0
101021009,Queanbeyan,10600401,Queanbeyan,1,Good,Good,0
101021010,Queanbeyan - East,10600401,Queanbeyan,1,Good,Good,0
101021012,Queanbeyan West - Jerrabomberra,10600401,Queanbeyan,1,Good,Good,0
101021610,Googong,10600401,Queanbeyan,1,Good,Good,0
101021611,Queanbeyan Surrounds,10600401,Queanbeyan,0.1347622,Good,Good,0
101021611,Queanbeyan Surrounds,10600402,Snowy - Monaro,0.8652378,Good,Good,0
101031013,Bombala,10600402,Snowy - Monaro,1,Good,Good,0
101031014,Cooma,10600402,Snowy - Monaro,1,Good,Good,0
101031015,Cooma Surrounds,10600402,Snowy - Monaro,1,Good,Good,0
101031016,Jindabyne - Berridale,10600402,Snowy - Monaro,1,Good,Good,0
101041017,Batemans Bay,10600201,Batemans Bay,1,Good,Good,0
101041018,Batemans Bay - South,10600201,Batemans Bay,0.9999978,Good,Good,0
101041018,Batemans Bay - South,10600203,Eurobodalla,2.20E-06,Poor,Good,1
101041019,Bega - Tathra,10600101,Bega,0.4963745,Poor,Good,0
101041019,Bega - Tathra,10600102,Bega - Surrounds,0.5036255,Acceptable,Good,0
101041020,Bega-Eden Hinterland,10600102,Bega - Surrounds,1,Acceptable,Good,0
101041021,Broulee - Tomakin,10600203,Eurobodalla,1,Poor,Good,0
101041022,Deua - Wadbilliga,10600102,Bega - Surrounds,1,Acceptable,Good,0
101041023,Eden,10600102,Bega - Surrounds,0.0562212,Acceptable,Good,0
101041023,Eden,10600103,Eden,0.9437788,Good,Good,0
101041024,Eurobodalla Hinterland,10600202,Bodalla,0.0800043,Poor,Good,0
101041024,Eurobodalla Hinterland,10600203,Eurobodalla,0.9199957,Poor,Good,0
101041025,Merimbula - Tura Beach,10600102,Bega - Surrounds,1,Acceptable,Good,0
101041026,Moruya - Tuross Head,10600203,Eurobodalla,0.6745733,Poor,Good,0
101041026,Moruya - Tuross Head,10600204,Moruya,0.3254267,Poor,Good,0
101041027,Narooma - Bermagui,10600102,Bega - Surrounds,0.2695021,Acceptable,Good,0
101041027,Narooma - Bermagui,10600203,Eurobodalla,0.4155468,Poor,Good,0
101041027,Narooma - Bermagui,10600205,Narooma,0.3049649,Poor,Good,0
101041027,Narooma - Bermagui,10600206,Wallaga Lake,0.0099862,Poor,Good,1
101051539,Goulburn,10600501,Goulburn Mulwaree,1,Acceptable,Good,0
101051540,Goulburn Surrounds,10600402,Snowy - Monaro,0.0368477,Good,Good,0
101051540,Goulburn Surrounds,10600501,Goulburn Mulwaree,0.49362,Acceptable,Good,0
101051540,Goulburn Surrounds,10600502,Southern Tablelands,0.4695323,Acceptable,Good,0
101061541,Yass,10600502,Southern Tablelands,1,Acceptable,Good,0
101061542,Yass Surrounds,10501301,Gundagai - Junee - Harden,0.0266459,Acceptable,Good,0
101061542,Yass Surrounds,10600502,Southern Tablelands,0.9733541,Acceptable,Good,0
101061543,Young,10501301,Gundagai - Junee - Harden,0.0217206,Acceptable,Good,0
101061543,Young,10502201,Young,0.9782794,Acceptable,Good,0
101061544,Young Surrounds,10501301,Gundagai - Junee - Harden,0.4139677,Acceptable,Good,0
101061544,Young Surrounds,10502201,Young,0.2714032,Acceptable,Good,0
101061544,Young Surrounds,10600502,Southern Tablelands,0.314629,Acceptable,Good,0
102011028,Avoca Beach - Copacabana,10400701,Gosford - East,1,Good,Good,0
102011029,Box Head - MacMasters Beach,10400701,Gosford - East,1,Good,Good,0
102011030,Calga - Kulnura,10400702,Gosford - West,0.917222,Good,Good,0
102011030,Calga - Kulnura,10402302,Wyong - South-West,0.082778,Good,Good,0
102011031,Erina - Green Point,10400701,Gosford - East,1,Good,Good,0
102011032,Gosford - Springfield,10400702,Gosford - West,1,Good,Good,0
102011033,Kariong,10400702,Gosford - West,1,Good,Good,0
102011034,Kincumber - Picketts Valley,10400701,Gosford - East,1,Good,Good,0
102011035,Narara,10400702,Gosford - West,1,Good,Good,0
102011036,Niagara Park - Lisarow,10400702,Gosford - West,1,Good,Good,0
102011037,Point Clare - Koolewong,10400702,Gosford - West,1,Good,Good,0
102011038,Saratoga - Davistown,10400701,Gosford - East,1,Good,Good,0
102011039,Terrigal - North Avoca,10400701,Gosford - East,1,Good,Good,0
102011040,Umina - Booker Bay - Patonga,10400702,Gosford - West,1,Good,Good,0
102011041,Wamberal - Forresters Beach,10400701,Gosford - East,0.9691364,Good,Good,0
102011041,Wamberal - Forresters Beach,10402302,Wyong - South-West,0.0308636,Good,Good,0
102011042,Woy Woy - Blackwall,10400702,Gosford - West,1,Good,Good,0
102011043,Wyoming,10400701,Gosford - East,0.0617359,Good,Good,0
102011043,Wyoming,10400702,Gosford - West,0.9382641,Good,Good,0
102021044,Bateau Bay - Killarney Vale,10402302,Wyong - South-West,1,Good,Good,0
102021045,Blue Haven - San Remo,10402301,Wyong - North-East,1,Good,Good,0
102021046,Budgewoi - Buff Point - Halekulani,10402301,Wyong - North-East,1,Good,Good,0
102021047,Chittaway Bay - Tumbi Umbi,10402302,Wyong - South-West,1,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,10402301,Wyong - North-East,0.9302029,Good,Good,0
102021048,Gorokan - Kanwal - Charmhaven,10402302,Wyong - South-West,0.0697971,Good,Good,0
