SA2_CODE_2021,SA2_NAME_2021,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG,,,,,,,,,,,
101021007,Braidwood,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101021008,Karabar,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101021009,Queanbeyan,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101021010,Queanbeyan - East,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101021012,Queanbeyan West - Jerrabomberra,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101021610,Googong,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101021611,Queanbeyan Surrounds,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101031013,Bombala,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101031014,Cooma,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101031015,Cooma Surrounds,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101031016,Jindabyne - Berridale,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041017,Batemans Bay,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041018,Batemans Bay - South,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041019,Bega - Tathra,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041020,Bega-Eden Hinterland,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041021,Broulee - Tomakin,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041022,Deua - Wadbilliga,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041023,Eden,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041024,Eurobodalla Hinterland,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041025,Merimbula - Tura Beach,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041026,Moruya - Tuross Head,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101041027,Narooma - Bermagui,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101051539,Goulburn,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101051540,Goulburn Surrounds,PHN105,South Western Sydney,0.0004381,Good,Good,1,,,,,,,,,,,
101051540,Goulburn Surrounds,PHN106,South Eastern NSW,0.9995619,Good,Good,0,,,,,,,,,,,
101061541,Yass,PHN106,South Eastern NSW,1,Good,Good,0,,,,,,,,,,,
101061542,Yass Surrounds,PHN110,Murrumbidgee,0.0446977,Good,Good,0,,,,,,,,,,,
101061542,Yass Surrounds,PHN106,South Eastern NSW,0.9553023,Good,Good,0,,,,,,,,,,,
101061543,Young,PHN110,Murrumbidgee,1,Good,Good,0,,,,,,,,,,,
101061544,Young Surrounds,PHN110,Murrumbidgee,1,Good,Good,0,,,,,,,,,,,
102011028,Avoca Beach - Copacabana,PHN108,Hunter New England and Central Coast,1,Good,Good,0,,,,,,,,,,,
102011029,Box Head - MacMasters Beach,PHN108,Hunter New England and Central Coast,1,Good,Good,0,,,,,,,,,,,
102011030,Calga - Kulnura,PHN108,Hunter New England and Central Coast,1,Good,Good,0,,,,,,,,,,,
102011031,Erina - Green Point,PHN108,Hunter New England and Central Coast,1,Good,Good,0,,,,,,,,,,,
102011032,Gosford - Springfield,PHN108,Hunter New England and Central Coast,1,Good,Good,0,,,,,,,,,,,
102011033,Kariong,PHN108,Hunter New England and Central Coast,1,Good,Good,0,,,,,,,,,,,
